canonical_ticker,asset_class,motor,sector,benchmark,market_symbol,fundamentals_symbol,sec_ticker,country,active,note
SAP,Acción USA/ADR,Fundamental,Tecnologico,XLK,SAP,SAP,SAP,Exterior,SI,Universo ampliado V6.1
SHOP,Acción USA/ADR,Fundamental,Tecnologico,XLK,SHOP,SHOP,SHOP,Exterior,SI,Universo ampliado V6.1
SE,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,SE,SE,SE,Exterior,SI,Universo ampliado V6.1
JD,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,JD,JD,JD,Exterior,SI,Universo ampliado V6.1
BIDU,Acción USA/ADR,Fundamental,Comunicacion,XLC,BIDU,BIDU,BIDU,Exterior,SI,Universo ampliado V6.1
NVO,Acción USA/ADR,Fundamental,Salud,XLV,NVO,NVO,NVO,Exterior,SI,Universo ampliado V6.1
AZN,Acción USA/ADR,Fundamental,Salud,XLV,AZN,AZN,AZN,Exterior,SI,Universo ampliado V6.1
SNY,Acción USA/ADR,Fundamental,Salud,XLV,SNY,SNY,SNY,Exterior,SI,Universo ampliado V6.1
BP,Acción USA/ADR,Fundamental,Energia,XLE,BP,BP,BP,Exterior,SI,Universo ampliado V6.1
SHEL,Acción USA/ADR,Fundamental,Energia,XLE,SHEL,SHEL,SHEL,Exterior,SI,Universo ampliado V6.1
RIO,Acción USA/ADR,Fundamental,Materiales,XLB,RIO,RIO,RIO,Exterior,SI,Universo ampliado V6.1
BHP,Acción USA/ADR,Fundamental,Materiales,XLB,BHP,BHP,BHP,Exterior,SI,Universo ampliado V6.1
UL,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,UL,UL,UL,Exterior,SI,Universo ampliado V6.1
DEO,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,DEO,DEO,DEO,Exterior,SI,Universo ampliado V6.1
