feature,family,research_status,horizon_sessions,direction,development_mean_spearman_ic,development_hac_t,development_fdr_q,validation_mean_spearman_ic,validation_aligned_ic,validation_aligned_hac_t,development_coverage,validation_coverage,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
worst_day_20d,MARKET_TREND_RISK,VALIDATED,1,1,0.017161989495252904,4.247270093491917,9.421257388699813e-05,0.020033880390517515,0.020033880390517515,2.507310078910719,0.9965782929923818,0.9982581464083535,-0.002399010229608102,0.0002104464210665579,0.43861240188545203,500.0
drawdown_high_252d,MARKET_TREND_RISK,VALIDATED,1,1,0.02313545573933187,4.948206969914073,9.986699059773388e-06,0.021445609344047774,0.021445609344047774,2.5051887456613606,0.9613224567667791,0.9822664480084499,-0.0026249996465903553,0.0013323479290667582,0.6281341933235628,500.0
worst_day_60d,MARKET_TREND_RISK,VALIDATED,1,1,0.01701705443823885,4.410118786339176,6.357780374749939e-05,0.019829604741555117,0.019829604741555117,2.4441077301199994,0.9900063532521298,0.9952747588737249,-0.002223564180242203,0.0005767799717562723,0.39712574674893597,500.0
delta_operating_margin_126s,FUNDAMENTAL_CHANGE,VALIDATED,5,1,0.019709904109158485,2.5682374875956313,0.030286548223500184,0.02055561506594709,0.02055561506594709,2.411842528839874,0.2538839654120771,0.6000354851662667,0.0023663057605367533,0.002776590088750096,1.2085599528676705,496.0
drawdown_high_120d,MARKET_TREND_RISK,VALIDATED,1,1,0.019223555111721625,4.253279876050719,9.421257388699813e-05,0.01957169191246832,0.01957169191246832,2.3737587545865977,0.9809647517047265,0.9905495177474498,-0.0027258193347712255,0.0004057892769939557,0.6561371784311709,500.0
skew_60d,MARKET_TREND_RISK,VALIDATED,120,-1,-0.03492229700998605,-3.331792190840224,0.006275539193902815,-0.05248149593698311,0.05248149593698311,2.3602322158167537,0.9897874180355507,0.9953317812812873,0.03251657343256813,0.041841842549806496,0.951352571436714,381.0
mom_10d,MARKET_TREND_RISK,VALIDATED,252,1,0.02236620446508173,2.726372679693853,0.029530506987786795,0.05204207533931252,0.05204207533931252,2.3231646140568456,0.9977345631619357,0.9986330689400889,0.07327260463627398,0.0665522259513825,1.4537987659505347,249.0
downside_vol_20d,MARKET_TREND_RISK,VALIDATED,1,-1,-0.01906832820973549,-4.23976404030117,9.421257388699813e-05,-0.020063551715343107,0.020063551715343107,2.2755512679766,0.9965782929923818,0.9982581464083535,-0.002495977612947661,-9.277376225098411e-05,0.41475754333537806,500.0
trend_sma_20d,MARKET_TREND_RISK,VALIDATED,252,1,0.027433637490561838,2.8286715812122196,0.028764084839191666,0.06028691398344127,0.06028691398344127,2.245478203919837,0.9966092068867597,0.9981474486951204,0.08836636492483235,0.0701612368366406,1.473830091567841,249.0
mom_60d,MARKET_TREND_RISK,VALIDATED,252,1,0.04413427965422643,2.603742604113176,0.029530506987786795,0.1291810993704652,0.1291810993704652,2.2121793876471885,0.9869605914956721,0.9939387399053939,0.19969808889759152,0.1972272721100316,1.7871061842154874,249.0
rel_mom_60d,MARKET_TREND_RISK,VALIDATED,252,1,0.044134327367059696,2.6037465876372172,0.029530506987786795,0.1291810993704652,0.1291810993704652,2.2121793876471885,0.9869605914956721,0.9939387399053939,0.19969808889759152,0.1972272721100316,1.7871061842154874,249.0
trend_sma_60d,MARKET_TREND_RISK,VALIDATED,252,1,0.03952038144383504,2.5290285519844096,0.03155275092133088,0.11063639671903101,0.11063639671903101,2.1423737891499535,0.9896488257380549,0.995215741290311,0.17525907168577137,0.18866316498361077,1.6544859260502145,249.0
mom_skip_60_5,MARKET_TREND_RISK,VALIDATED,252,1,0.04344668826197028,2.626237093404645,0.029530506987786795,0.12064672932529415,0.12064672932529415,2.1152687112585635,0.9869605914956721,0.9939387399053939,0.18993369340403715,0.2020337713667958,1.7355460111086902,249.0
mom_accel_60_120,MARKET_TREND_RISK,VALIDATED,5,-1,-0.0143040846931011,-2.265995718187107,0.05518034214140575,-0.02457593019195,0.02457593019195,2.0899692734424886,0.9762552662737537,0.9881778367122059,0.004674335182849872,0.001794172097321755,1.3676804598759698,496.0
vol_20d,MARKET_TREND_RISK,VALIDATED,1,-1,-0.019870590011997098,-4.506662697026849,4.789468662747254e-05,-0.019228686057780713,0.019228686057780713,2.065591988240937,0.9965782929923818,0.9982581464083535,-0.0025621679654684775,0.00026314153383710705,0.38057113967932976,500.0
mom_20d,MARKET_TREND_RISK,VALIDATED,252,1,0.02856065357125227,2.5769878248186355,0.029530506987786795,0.06249377853230795,0.06249377853230795,2.040520084106979,0.9954922644902767,0.9976978003201497,0.09945820623057962,0.08786674500885985,1.5309844829643393,249.0
rel_mom_20d,MARKET_TREND_RISK,VALIDATED,252,1,0.028560645624574225,2.576995496146803,0.029530506987786795,0.06249377853230795,0.06249377853230795,2.040520084106979,0.9954922644902767,0.9976978003201497,0.09945820623057962,0.08786674500885985,1.5309844829643393,249.0
downside_vol_60d,MARKET_TREND_RISK,VALIDATED,1,-1,-0.020639030715646597,-4.4761870696900035,5.065860646066277e-05,-0.01952315896755193,0.01952315896755193,2.0087788417154964,0.9900063532521298,0.9952747588737249,-0.0023863525922852226,7.979080179616347e-05,0.36192772809709106,500.0
mom_40d,MARKET_TREND_RISK,VALIDATED,252,1,0.03687707157131395,2.458050729004534,0.037251584006979616,0.10174638112686143,0.10174638112686143,2.0035462547843044,0.991129668388006,0.9958632349502688,0.1680097705168069,0.1619267933737518,1.6857207591144812,249.0
vol_10d,MARKET_TREND_RISK,VALIDATED,1,-1,-0.016207450322614943,-3.7795776851631526,0.0005712530042484773,-0.017895768388001294,0.017895768388001294,2.0030336477847164,0.9982825481631183,0.999036421417387,-0.0024276043012650774,-0.00012053665096731898,0.41750420175423786,500.0
vol_60d,MARKET_TREND_RISK,VALIDATED,1,-1,-0.020707823534558998,-4.574243636532315,3.8235473664782184e-05,-0.020114334762458712,0.020114334762458712,1.9700780991808626,0.9900063532521298,0.9952747588737249,-0.0023939298028383977,-6.714206144353674e-05,0.3671305143113102,500.0
mom_skip_20_5,MARKET_TREND_RISK,VALIDATED,252,1,0.024890031101332172,2.53390456400421,0.03155275092133088,0.051503024395399,0.051503024395399,1.9674990845200184,0.9954922644902767,0.9976978003201497,0.08522673461720373,0.068050207311882,1.513480459948149,249.0
size_log_assets,SIZE,VALIDATED,252,-1,-0.18096733943227417,-6.8322414899055675,1.1146395239111049e-10,-0.10145230734147533,0.10145230734147533,1.9634341597800988,0.5568346988357296,0.7171531862083851,0.095044587478386,0.06050971453929366,1.4518776852970243,249.0
delta_profit_assets_126s,FUNDAMENTAL_CHANGE,VALIDATED,120,1,0.027379310118594537,2.0399646832270157,0.09522595146275459,0.043699438534318756,0.043699438534318756,1.856306398732524,0.5570984287420019,0.7347438510995042,0.039988294339190655,0.030440885661893815,1.4751676386946229,381.0
quality_operating_margin_reported,QUALITY,VALIDATED,1,1,0.011687972986213244,3.030924756095552,0.006291767656553103,0.008288572886672082,0.008288572886672082,1.7128589770350349,0.2805780893866755,0.6048771900566102,-0.00039309377192648645,-0.00031268346757320597,0.7780987696765144,500.0
vol_120d,MARKET_TREND_RISK,VALIDATED,1,-1,-0.01984634926004539,-4.366975747238475,7.19878341307256e-05,-0.01705237043557733,0.01705237043557733,1.6378565419668663,0.9807762279026538,0.9904568659606601,-0.002722137634467109,-0.0005118065649733597,0.354470054839665,500.0
quality_ocf_assets_reported,QUALITY,VALIDATED,1,1,0.010699667848665067,3.1501371907569604,0.0045018982026069024,0.010328935181534028,0.010328935181534028,1.632609052358145,0.5638011677164301,0.7441698863162576,-4.888011828112189e-05,0.00045555366293689064,1.057687027995563,500.0
growth_shares_252s,FUNDAMENTAL_CHANGE,VALIDATED,5,1,0.013224552965905387,2.0924376605257065,0.08088751742803446,0.01600632799378711,0.01600632799378711,1.5143873785478037,0.5624748606833362,0.7519680259975534,0.0032108781340643155,0.0038367339419869556,1.585346738620331,496.0
delta_profit_assets_252s,FUNDAMENTAL_CHANGE,VALIDATED,1,1,0.006972446516927539,2.6405694608167374,0.018918131289572843,0.008210019953394687,0.008210019953394687,1.5087096497687071,0.5600118392947702,0.7395280317980932,0.0003390496480862194,0.0005762976727683179,1.2371572630692853,500.0
liq_zero_volume_20d,LIQUIDITY,WATCH,1,1,6.758957563266677e-08,21.91734175786733,1.4202045327641634e-104,9.75497269143179e-08,9.75497269143179e-08,34.4540806145535,0.9967913248887238,0.9983507981951432,,,,0.0
distance_low_120d,MARKET_TREND_RISK,WATCH,252,1,0.03604381220762,1.8705541893807454,0.1327716742022792,0.1561618686361636,0.1561618686361636,3.2232496185010584,0.9798697952272273,0.9910430043705822,0.28776483019008825,0.26421960018077917,2.3317759274294305,249.0
delta_ocf_assets_252s,FUNDAMENTAL_CHANGE,WATCH,1,1,0.0038441385206872307,1.618317064237724,0.16563809418793055,0.007446680725081136,0.007446680725081136,1.695917808667642,0.5534700633628499,0.7395280317980932,0.00042866484557490403,0.0003654413245958144,1.1822511275618657,500.0
value_ocf_yield_reported,VALUATION,WATCH,252,1,0.03693153096781771,1.6918616984419217,0.17353489498233954,0.04802883151821725,0.04802883151821725,1.442717680624029,0.52371136189144,0.6672961743916257,0.05965296560671449,0.06274500607021286,1.529869601988076,249.0
drawdown_high_20d,MARKET_TREND_RISK,WATCH,252,1,0.0303056584245824,1.6895931368133263,0.17353489498233954,0.0261136937973378,0.0261136937973378,1.3877777691500521,0.9966092068867597,0.9981474486951204,0.002151876331026963,0.00460847536841294,0.8860304821273032,243.0
distance_low_60d,MARKET_TREND_RISK,WATCH,10,-1,-0.013391982501589307,-1.7792030306747402,0.17190052958872895,-0.01312850676910424,0.01312850676910424,0.7897991629866192,0.9901937593553845,0.9953693224686887,0.0006487731001217665,0.004333938660043307,0.8756702174907273,491.0
value_eps_yield_reported,VALUATION,WATCH,252,-1,-0.030142082936703132,-1.6333170350787292,0.19051597363033737,-0.026186585120360862,0.026186585120360862,0.7098027840055112,0.5280424059486122,0.6848684328854836,0.09362937807617135,0.045162495505496,2.211087105665419,249.0
distance_low_20d,MARKET_TREND_RISK,WATCH,20,-1,-0.019606310975470432,-2.2800435369022325,0.12996990621900872,-0.007282696404110648,0.007282696404110648,0.3466415897641661,0.9967656051947953,0.9982871769211524,0.002551210276990296,0.0005078570233312328,0.9179206522282959,471.0
fund_current_ratio,BALANCE_SHEET_OR_FRESHNESS,WATCH,120,1,0.05289906244491381,1.9897972060006666,0.10078546886549578,0.012194612496468395,0.012194612496468395,0.2085719328136276,0.5071224280121067,0.6683875948420405,0.05823921316318557,0.08981168467327036,1.7501730814973828,381.0
value_sales_yield_reported,VALUATION,DISCOVERY_ONLY,120,1,0.07624751384431842,2.5286466759849646,0.058504733460068604,0.0255007385081252,0.0255007385081252,1.365813976828481,0.31371409530685346,0.6602936032134715,0.008200964564352488,0.012356044078439599,1.2089882026567473,381.0
quality_profit_assets_reported,QUALITY,DISCOVERY_ONLY,1,1,0.008856710602258032,2.613266528528552,0.019888525974460485,0.001013981156733839,0.001013981156733839,0.176271075806414,0.5700620431832621,0.7441698863162576,-0.0005262455544977188,-0.0004232434301464699,1.015652430791004,500.0
quality_profit_margin_reported,QUALITY,DISCOVERY_ONLY,252,-1,-0.07336175068561396,-4.0527662193326455,0.0005061557536414429,0.001163991394337348,-0.001163991394337348,-0.0299156284977205,0.30265773393212103,0.6866130685803702,0.10718625282155245,0.02917317029822164,1.7771154353232668,249.0
fund_equity_assets,BALANCE_SHEET_OR_FRESHNESS,DISCOVERY_ONLY,252,1,0.04424806704508187,2.589667578265936,0.029530506987786795,-0.013761673485257796,-0.013761673485257796,-0.2664636971772633,0.548452372187924,0.7130344070936527,0.062493822408707364,0.04084217452858063,1.7421208535745898,249.0
quality_ocf_margin_reported,QUALITY,DISCOVERY_ONLY,252,-1,-0.05004257310919443,-2.079687735212761,0.08583813433459593,0.09078711757527208,-0.09078711757527208,-2.1387878542887417,0.29999474132581694,0.6866130685803702,-0.06890452345602982,-0.1167269368272131,0.8497942279719388,249.0
