ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics
ASRT,2026-06-18,2026-06-17,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Assertio Holdings Inc,Assertio Holdings Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
AVB,2026-08-21,2026-08-17,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Avalonbay Communities Inc,Avalonbay Communities Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
B,2025-01-31,2025-01-27,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Barnes Group Inc,Barnes Group Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BBAI,2021-12-20,2021-12-16,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,BigBear.ai Holdings Inc,BigBear.ai Holdings Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BBRG,2018-05-29,2018-05-25,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Bravo Brio Restaurant Group Inc,Bravo Brio Restaurant Group Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BEAM,2020-04-28,2020-04-24,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,BEAM Inc,BEAM Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BETR,2023-09-01,2023-08-29,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Amplify Snack Brands Inc,Amplify Snack Brands Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BGC,2018-06-08,2018-06-06,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,General Cable Corp,General Cable Corp,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BNL,2021-03-23,2021-03-19,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Broadstone Net Lease Inc - Class A,Broadstone Net Lease Inc - Class A,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BODI,2024-03-05,2024-03-01,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Beachbody Company Inc (The) - Class A,Beachbody Company Inc (The) - Class A,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BUFF,2018-05-08,2018-05-04,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Blue Buffalo Pet Products Inc,Blue Buffalo Pet Products Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
BUR,2021-04-05,2021-04-01,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Burcon NutraScience Corp,Burcon NutraScience Corp,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
CAFD,2018-06-22,2018-06-20,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,8point3 Energy Partners LP,8point3 Energy Partners LP,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
CALL,2018-11-16,2018-11-14,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,magicJack VocalTec Ltd,magicJack VocalTec Ltd,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
CCRN,2026-07-24,2026-07-22,4,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Cross Country Healthcares Inc,Cross Country Healthcares Inc,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
CD,2023-12-22,2023-12-19,3,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Chindata Group Holdings Ltd,Chindata Group Holdings Ltd,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
CHAI,2026-06-01,2026-05-28,3,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,DEFIANCE ISRAEL BOND ETF ,DEFIANCE ISRAEL BOND ETF ,True,4,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME
