ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics,resolution_type,effective_start_date,effective_end_date,security_type,evidence_source,evidence_note,evidence_url,research_eligible
NFBK,2026-07-24,2026-07-21,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Northfield Bancorp Inc,Northfield Bancorp Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
NMIH,2024-05-24,2024-05-20,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,NMI Holdings Inc,NMI Holdings Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
NORD,2023-05-23,2023-05-19,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Nord Anglia Education Inc,Nord Anglia Education Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
NRCIB,2018-04-20,2018-04-17,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,National Research Corp,National Research Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
OLPX,2026-07-10,2026-07-08,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Olaplex Holdings Inc,Olaplex Holdings Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
OZ,2021-10-22,2021-10-18,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Belpointe PREP LLC,Belpointe PREP LLC,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
P,2019-03-01,2019-02-26,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Pandora Media Inc,Pandora Media Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PARA,2025-08-11,2025-08-07,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Paramount Global - Class B,Paramount Global - Class B,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PD,2019-07-05,2019-07-01,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,PHELPS DODGE CORP,PHELPS DODGE CORP,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
PERY,2018-10-23,2018-10-22,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Perry Ellis International Inc,Perry Ellis International Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
