path,suffix,blocked_by_contamination_boundary,relevant_columns,all_columns,size_bytes
data/cache/delisted_prices_yahoo/HBANP__2008-04-17__2021-03-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3821
data/cache/delisted_prices_yahoo/HCC__1992-10-28__2017-07-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",4495
data/cache/delisted_prices_yahoo/HDP__2014-12-12__2019-01-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",22811
data/cache/delisted_prices_yahoo/HHH__2021-10-20__2022-07-15.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7246
data/cache/delisted_prices_yahoo/HIVE__2014-03-28__2019-08-20.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",16635
data/cache/delisted_prices_yahoo/HLX__1997-07-01__2026-09-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",120652
data/cache/delisted_prices_yahoo/HOLO__2021-08-06__2022-12-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7742
data/cache/delisted_prices_yahoo/HQCL__2006-12-20__2019-01-16.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",53481
data/cache/delisted_prices_yahoo/HR__2012-06-06__2022-12-23.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",52221
data/cache/delisted_prices_yahoo/HUT__2018-03-08__2023-12-01.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",27770
data/cache/delisted_prices_yahoo/IAUX__2021-04-22__2022-05-18.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7692
data/cache/delisted_prices_yahoo/ICCM__2021-08-26__2022-12-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",9197
data/cache/delisted_prices_yahoo/ILG__2008-08-12__2018-08-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",50393
data/cache/delisted_prices_yahoo/IMPV__2011-11-09__2019-01-10.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",36886
data/cache/delisted_prices_yahoo/IMSR__2024-10-10__2025-10-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7495
data/cache/delisted_prices_yahoo/INBX__2020-08-19__2024-05-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3443
data/cache/delisted_prices_yahoo/INM__2020-11-12__2022-12-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",12086
data/cache/delisted_prices_yahoo/INPHQ__2016-01-04__2018-07-06.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",9988
data/cache/delisted_prices_yahoo/INTX__2004-04-30__2019-01-11.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",61267
data/cache/delisted_prices_yahoo/IPAS__2003-09-29__2019-02-13.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",55791
data/cache/delisted_prices_yahoo/IPXL__1995-12-19__2018-05-04.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",86795
