signal_date,held_ticker,candidate_ticker,held_score,candidate_score,held_expected_return,candidate_expected_return,expected_incremental_return,estimated_total_cost,uncertainty_buffer,net_edge,trade,candidate_resolved_20d,candidate_realized_20d,held_resolved_20d,held_realized_20d,realized_incremental_return_20d
2025-07-11,ANET,CRWD,0.8133971291866029,0.9856459330143541,0.01990319058796651,0.027555796371,0.007652605783033489,0.002,0.008728269852018564,-0.0030756640689850743,False,True,-0.10447730010755307,True,0.27018538717187424,-0.3746626872794273
2025-07-14,ANET,CRWD,0.8277511961722488,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008859313782007086,-0.003768809134007088,False,True,-0.07919204505366406,True,0.3155443455969966,-0.3947363906506607
2025-07-15,ANET,CRWD,0.8373205741626795,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008737466547369316,-0.0036469618993693184,False,True,-0.08147521754761022,True,0.2743304766194641,-0.3558056941670743
2025-07-16,ANET,CRWD,0.8421052631578947,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008677748646910018,-0.0035872439989100193,False,True,-0.095715476887268,True,0.21878899478608083,-0.31450447167334883
2025-07-17,ANET,CRWD,0.8181818181818182,0.9952153110047847,0.02013498487045455,0.027555796371,0.007420811500545448,0.002,0.008796288642666863,-0.0033754771421214153,False,True,-0.10097486852133819,True,0.2283056410015598,-0.329280509522898
2025-07-18,ANET,CRWD,0.8373205741626795,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008737466547369316,-0.0036469618993693184,False,True,-0.11470574312598791,True,0.23680667082919027,-0.3515124139551782
2025-07-21,ANET,CRWD,0.84688995215311,0.9952153110047847,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008618887793717347,-0.0035283831457173483,False,True,-0.11168644537866557,True,0.20950993127846074,-0.3211963766571263
2025-07-22,MCO,CRWD,0.7559808612440191,0.9952153110047847,0.018043041471,0.027555796371,0.0095127549,0.002,0.008195286529243976,-0.0006825316292439756,False,True,-0.09176195309859692,True,0.01575222683294064,-0.10751417993153756
2025-07-23,MCO,CRWD,0.7655502392344498,1.0,0.018043041471,0.027555796371,0.0095127549,0.002,0.008210430844511556,-0.0006976759445115567,False,True,-0.10382442990161234,True,-0.0052616547049091356,-0.0985627751967032
2025-07-24,MCO,CRWD,0.7511961722488039,1.0,0.018043041471,0.027555796371,0.0095127549,0.002,0.008187758997688727,-0.0006750040976887259,False,True,-0.10123530576894513,True,0.00778254492279018,-0.10901785069173531
2025-07-25,MDB,CRWD,0.8421052631578947,1.0,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008677748646910018,-0.0035872439989100193,False,True,-0.11298658759594671,True,-0.1062558849129841,-0.006730702682962608
2025-07-28,MDB,CRWD,0.8755980861244019,1.0,0.020481748154196174,0.027555796371,0.007074048216803824,0.002,0.008293481894597159,-0.003219433677793335,False,True,-0.10291938445369009,True,-0.11017937565151381,0.007259991197823723
2025-07-29,MDB,CRWD,0.861244019138756,1.0,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008447883284518983,-0.003357378636518984,False,True,-0.08753105706395126,True,0.21009989960895759,-0.29763095667290884
2025-07-30,KLAC,CRWD,0.8277511961722488,1.0,0.020465291723,0.027555796371,0.007090504647999998,0.002,0.008859313782007086,-0.003768809134007088,False,True,-0.027652522431497073,True,0.019243607778772986,-0.04689613021027006
2025-07-31,TEAM,CRWD,0.8133971291866029,1.0,0.01990319058796651,0.027555796371,0.007652605783033489,0.002,0.008728269852018564,-0.0030756640689850743,False,True,-0.05140373274264998,True,-0.028312241716690445,-0.023091491025959532
2025-08-01,MPWR,CRWD,0.7655502392344498,1.0,0.018043041471,0.027555796371,0.0095127549,0.002,0.008210430844511556,-0.0006976759445115567,False,True,-0.09092904780268873,True,-0.008403210867871547,-0.08252583693481719
2025-08-04,MPWR,CRWD,0.7416267942583732,1.0,0.018043041471,0.027555796371,0.0095127549,0.002,0.008172794245500058,-0.0006600393455000594,False,True,-0.06462928759019526,True,0.030867703302429383,-0.09549699089262464
2025-08-05,ANET,CRWD,0.645933014354067,1.0,0.015607390692275121,0.027555796371,0.011948405678724877,0.002,0.00813017635265886,0.0018182293260660181,True,True,-0.08685162561555049,True,0.01722149741079959,-0.10407312302635008
2025-08-06,MDB,CDNS,0.8803827751196173,0.9712918660287081,0.020613399603765552,0.02713197542123923,0.006518575817473678,0.002,0.008280484804788935,-0.0037619089873152578,False,True,-0.009369731415502236,True,0.4251733053827711,-0.43454303679827333
2025-08-07,ORLY,CDNS,0.7703349282296651,0.9712918660287081,0.018043041471,0.02713197542123923,0.009088933950239231,0.002,0.008198978368812407,-0.0011100444185731763,False,True,0.024370894589964776,True,0.029710632347066834,-0.005339737757102059
2025-08-08,ORLY,COIN,0.7692307692307693,0.9711538461538461,0.018043041471,0.027116200447923077,0.009073158976923078,0.002,0.008196498872343583,-0.001123339895420504,False,True,-0.0026281094760127743,True,0.032046329572616106,-0.03467443904862888
2025-08-11,ORLY,COIN,0.8269230769230769,0.9615384615384616,0.020465291723,0.02601721064023077,0.00555191891723077,0.002,0.008812917592987385,-0.005260998675756615,False,True,-0.022565243597665097,True,0.03160272097351946,-0.05416796457118456
2025-08-12,ORLY,COIN,0.8125,0.9615384615384616,0.019859729160000002,0.02601721064023077,0.006157481480230768,0.002,0.008656136797346043,-0.004498655317115276,False,True,-0.009357504257398452,True,0.05046765720945823,-0.05982516146685668
2025-08-13,ORLY,COIN,0.8028846153846154,0.9615384615384616,0.019393911803846156,0.02601721064023077,0.006623298836384614,0.002,0.008520822012988044,-0.0038975231766034293,False,True,-0.0056942535015042095,True,0.059113300492610765,-0.06480755399411497
2025-08-14,ORLY,COIN,0.7980769230769231,0.9615384615384616,0.01916100312576923,0.02601721064023077,0.006856207514461539,0.002,0.008454876583146748,-0.003598669068685209,False,True,0.029822080254266137,True,0.0468780982205268,-0.01705601796626066
2025-08-15,ORLY,COIN,0.8269230769230769,0.9615384615384616,0.020465291723,0.02601721064023077,0.00555191891723077,0.002,0.008812917592987385,-0.005260998675756615,False,True,0.02238640735146946,True,0.03945162268546554,-0.017065215333996075
2025-08-18,ORLY,COIN,0.8309178743961353,0.966183574879227,0.020465291723,0.026548123590806758,0.006082831867806757,0.002,0.00878061989978475,-0.004697788031977994,False,True,0.06121094377479608,True,0.014457651159140994,0.046753292615655084
