ticker,classification,repair_priority,reason,return_price_last_date,calendar_days_before_sample_end,lifecycle_status,lifecycle_delisting_date,av_active_status,av_delisted_status,av_delisted_delisting_date,cache_filename_delisting_date,cache_has_parquet,target_price_source,unresolved_total_across_horizons
BODI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2024-03-05,913,Delisted,2024-03-01,Active,Delisted,2024-03-01,2024-03-01,True,PHASE2_EXISTING_ADJ_CLOSE,500
BUFF,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-05-08,3041,Delisted,2018-05-04,Active,Delisted,2018-05-04,2018-05-04,True,PHASE2_EXISTING_ADJ_CLOSE,500
CAFD,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-06-22,2996,Delisted,2018-06-20,,Delisted,2018-06-20,2018-06-20,True,PHASE2_EXISTING_ADJ_CLOSE,500
CMLSQ,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-03-24,164,Delisted,2026-03-20,,Delisted,2026-03-20,2026-03-20,True,PHASE2_EXISTING_ADJ_CLOSE,500
CVG,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-12-18,2817,Delisted,2018-12-14,,Delisted,2018-12-14,2018-12-14,True,PHASE2_EXISTING_ADJ_CLOSE,500
DSY,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-02-24,192,Delisted,2026-02-20,Active,Delisted,2026-02-20,2026-02-20,True,PHASE2_EXISTING_ADJ_CLOSE,500
DWCH,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-12-17,2818,Delisted,2018-12-13,,Delisted,2018-12-13,2018-12-13,True,PHASE2_EXISTING_ADJ_CLOSE,500
EGC,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-10-23,2873,Delisted,2018-10-19,,Delisted,2018-10-19,2018-10-19,True,PHASE2_EXISTING_ADJ_CLOSE,500
ELEC,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-06-08,3010,Delisted,2018-06-06,,Delisted,2018-06-06,2018-06-06,True,PHASE2_EXISTING_ADJ_CLOSE,500
ETP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-10-23,2873,Delisted,2018-10-19,,Delisted,2018-10-19,2018-10-19,True,PHASE2_EXISTING_ADJ_CLOSE,500
EXAC,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-02-16,3122,Delisted,2018-02-14,,Delisted,2018-02-14,2018-02-14,True,PHASE2_EXISTING_ADJ_CLOSE,500
GAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2021-06-25,1897,Delisted,2021-06-23,Active,Delisted,2021-06-23,2021-06-23,True,PHASE2_EXISTING_ADJ_CLOSE,500
GMLPF,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2021-05-25,1928,Delisted,2021-05-21,,Delisted,2021-05-21,2021-05-21,True,PHASE2_EXISTING_ADJ_CLOSE,500
GTES,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2026-07-21,45,Delisted,2026-07-17,Active,Delisted,2026-07-17,2026-07-17,True,PHASE2_EXISTING_ADJ_CLOSE,500
HUT,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2023-12-05,1004,Delisted,2023-12-01,Active,Delisted,2023-12-01,2023-12-01,True,PHASE2_EXISTING_ADJ_CLOSE,500
