ticker,classification,repair_priority,reason,return_price_last_date,calendar_days_before_sample_end,lifecycle_status,lifecycle_delisting_date,av_active_status,av_delisted_status,av_delisted_delisting_date,cache_filename_delisting_date,cache_has_parquet,target_price_source,unresolved_total_across_horizons
WSCI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-11-09,2856,Delisted,2018-11-07,,Delisted,2018-11-07,2018-11-07,True,PHASE2_EXISTING_ADJ_CLOSE,500
ZAIS,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-05-22,3027,Delisted,2018-05-18,,Delisted,2018-05-18,2018-05-18,True,PHASE2_EXISTING_ADJ_CLOSE,500
AIFU,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2025-05-23,469,Delisted,2025-05-20,Active,Delisted,2025-05-20,2025-05-20,True,PHASE2_EXISTING_ADJ_CLOSE,493
AIP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2023-03-31,1253,Delisted,2023-03-28,Active,Delisted,2023-03-28,2023-03-28,True,PHASE2_EXISTING_ADJ_CLOSE,493
CLPT,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2020-02-14,2394,Delisted,2020-02-11,Active,Delisted,2020-02-11,2020-02-11,True,PHASE2_EXISTING_ADJ_CLOSE,493
CORI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2018-11-30,2835,Delisted,2018-11-27,,Delisted,2018-11-27,2018-11-27,True,PHASE2_EXISTING_ADJ_CLOSE,493
CTP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2015-06-26,4088,Delisted,2015-06-23,,Delisted,2015-06-23,2015-06-23,True,PHASE2_EXISTING_ADJ_CLOSE,493
ELECU,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-06-04,3014,Delisted,2018-05-31,,Delisted,2018-05-31,2018-05-31,True,PHASE2_EXISTING_ADJ_CLOSE,493
FUN,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2024-07-19,777,Delisted,2024-07-16,Active,Delisted,2024-07-16,2024-07-16,True,PHASE2_EXISTING_ADJ_CLOSE,493
HIVE,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2019-08-23,2569,Delisted,2019-08-20,Active,Delisted,2019-08-20,2019-08-20,True,PHASE2_EXISTING_ADJ_CLOSE,493
JUNO,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2018-03-09,3101,Delisted,2018-03-06,,Delisted,2018-03-06,2018-03-06,True,PHASE2_EXISTING_ADJ_CLOSE,493
MITL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-12-04,2831,Delisted,2018-11-30,,Delisted,2018-11-30,2018-11-30,True,PHASE2_EXISTING_ADJ_CLOSE,493
MPU,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2024-10-11,693,Delisted,2024-10-08,Active,Delisted,2024-10-08,2024-10-08,True,PHASE2_EXISTING_ADJ_CLOSE,493
NRCIB,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2018-04-20,3059,Delisted,2018-04-17,,Delisted,2018-04-17,2018-04-17,True,PHASE2_EXISTING_ADJ_CLOSE,493
POWR,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2016-05-20,3759,Delisted,2016-05-17,Active,Delisted,2016-05-17,2016-05-17,True,PHASE2_EXISTING_ADJ_CLOSE,493
PTN,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2025-11-14,294,Delisted,2025-11-11,Active,Delisted,2025-11-11,2025-11-11,True,PHASE2_EXISTING_ADJ_CLOSE,493
RLJE,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-11-02,2863,Delisted,2018-10-31,,Delisted,2018-10-31,2018-10-31,True,PHASE2_EXISTING_ADJ_CLOSE,493
RSYS,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2018-12-14,2821,Delisted,2018-12-11,,Delisted,2018-12-11,2018-12-11,True,PHASE2_EXISTING_ADJ_CLOSE,493
