ticker,unresolved_1d,unresolved_5d,unresolved_10d,unresolved_20d,unresolved_40d,unresolved_60d,unresolved_120d,unresolved_252d,unresolved_total_across_horizons,first_unresolved_signal,last_unresolved_signal,return_price_first_date,return_price_last_date,return_price_rows,target_price_source,panel_first_date,panel_last_date,panel_rows,panel_delisting_date,panel_source_state,lifecycle_status,lifecycle_delisting_date,lifecycle_name,av_active_status,av_active_delisting_date,av_active_name,av_delisted_status,av_delisted_delisting_date,av_delisted_name,cache_filename_delisting_date,cache_has_parquet,cache_files,calendar_days_before_sample_end,classification,reason,repair_priority
SAFE,1,5,10,20,40,60,120,252,508,2022-04-06,2023-04-06,2013-12-23,2023-04-10,2339,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2023-04-10,2339,2023-04-06,delisted,Delisted,2023-04-06,Safehold Inc,Active,,Safehold Inc,Delisted,2023-04-06,Safehold Inc,2023-04-06,True,SAFE__1989-11-16__2023-04-06.parquet,1243,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
SEP,1,5,10,20,40,60,120,252,508,2017-12-14,2018-12-14,2013-12-23,2018-12-17,1254,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-12-17,1254,2018-12-14,delisted,Delisted,2018-12-14,Spectra Energy Partners LP,,,,Delisted,2018-12-14,Spectra Energy Partners LP,2018-12-14,True,SEP__2007-07-26__2018-12-14.parquet,2818,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
SGI,1,5,10,20,40,60,120,252,508,2015-11-05,2016-11-03,2013-12-23,2016-11-04,724,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2016-11-04,724,,active,Delisted,2016-11-02,Silicon Graphics International Corp,Active,,Tempur Sealy International Inc,Delisted,2016-11-02,Silicon Graphics International Corp,2016-11-02,True,SGI__2009-05-19__2016-11-02.parquet,3591,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 2 calendar days of terminal price,2
STDY,1,5,10,20,40,60,120,252,508,2017-08-31,2018-08-30,2015-03-20,2018-08-31,871,PHASE2_EXISTING_ADJ_CLOSE,2015-03-20,2018-08-31,871,2018-08-30,delisted,Delisted,2018-08-30,SteadyMed Ltd,,,,Delisted,2018-08-30,SteadyMed Ltd,2018-08-30,True,STDY__2015-03-20__2018-08-30.parquet,2926,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
STRR,1,5,10,20,40,60,120,252,508,2024-08-21,2025-08-22,2013-12-23,2025-08-25,2935,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2025-08-25,2935,,active,Delisted,2025-08-21,Star Equity Holdings Inc,Active,,Hudson Global Inc,Delisted,2025-08-21,Star Equity Holdings Inc,2025-08-21,True,STRR__2004-06-10__2025-08-21.parquet,375,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
SUNE,1,5,10,20,40,60,120,252,508,2015-04-24,2016-04-22,2013-12-23,2016-04-25,588,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2016-04-25,588,,active,Delisted,2016-04-21,Sunedison Inc,Active,,SUNation Energy Inc,Delisted,2016-04-21,Sunedison Inc,2016-04-21,True,SUNE__1995-07-13__2016-04-21.parquet,3784,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
TC,1,5,10,20,40,60,120,252,508,2019-05-02,2020-04-30,2018-11-20,2020-05-01,363,PHASE2_EXISTING_ADJ_CLOSE,2018-11-20,2020-05-01,363,2020-04-29,active | delisted,Delisted,2020-04-29,Thompson Creek Metals Company Inc,Active,,TuanChe Ltd,Delisted,2020-04-29,Thompson Creek Metals Company Inc,2020-04-29,True,TC__2006-06-08__2020-04-29.parquet,2317,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 2 calendar days of terminal price,2
TEL,1,5,10,20,40,60,120,252,508,2023-09-29,2024-09-30,2013-12-23,2024-10-01,2711,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2024-10-01,2711,2024-09-27,active | delisted,Delisted,2024-09-27,TE Connectivity Ltd,Active,,TE Connectivity plc,Delisted,2024-09-27,TE Connectivity Ltd,2024-09-27,True,TEL__2007-06-14__2024-09-27.parquet,703,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
TSRO,1,5,10,20,40,60,120,252,508,2018-01-18,2019-01-17,2013-12-23,2019-01-22,1275,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2019-01-22,1275,2019-01-18,delisted,Delisted,2019-01-18,TESARO Inc,,,,Delisted,2019-01-18,TESARO Inc,2019-01-18,True,TSRO__2012-06-28__2019-01-18.parquet,2782,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
TW,1,5,10,20,40,60,120,252,508,2019-04-10,2020-04-08,2019-04-04,2020-04-09,257,PHASE2_EXISTING_ADJ_CLOSE,2019-04-04,2020-04-09,257,2020-04-08,delisted,Delisted,2020-04-08,Towers Watson Company,Active,,Tradeweb Markets Inc Cls A,Delisted,2020-04-08,Towers Watson Company,2020-04-08,True,TW__2016-01-04__2020-04-08.parquet,2339,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
