ticker,first_date,last_date,rows,adj_close_rows,dominant_market_source,adj_close_coverage,needs_adjusted_history
USB,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
V,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
VALE,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
VIST,2019-07-31,2026-09-04,1785,0,PRIMARY,0.0,True
VLO,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
VRTX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
VZ,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
WFC,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
WM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
WMB,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
WMT,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
XOM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
YPF,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
ZTS,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
BNY,2013-12-23,2026-09-04,3194,6,PRIMARY,0.001878522229179712,True
ABAX,2013-12-23,2018-08-01,1160,1160,DELISTED,1.0,False
ABXL,2025-12-26,2026-01-30,24,24,DELISTED,1.0,False
ACFC,2013-12-23,2018-05-25,1114,1114,DELISTED,1.0,False
ACI,2020-06-26,2020-09-15,56,56,DELISTED,1.0,False
ACTA,2013-12-23,2018-04-19,1088,1088,DELISTED,1.0,False
ADT,2018-01-19,2020-05-01,575,575,DELISTED,1.0,False
AEUA,2017-07-13,2018-06-07,228,228,DELISTED,1.0,False
AFSI,2013-12-23,2018-11-29,1243,1243,DELISTED,1.0,False
AHGP,2013-12-23,2018-06-01,1118,1118,DELISTED,1.0,False
AHRT,2023-09-06,2026-06-01,686,686,DELISTED,1.0,False
AIFU,2013-12-23,2025-05-20,2869,2869,DELISTED,1.0,False
AIM,2013-12-23,2026-09-03,3193,3193,DELISTED,1.0,False
AIP,2021-10-27,2023-03-31,357,357,DELISTED,1.0,False
AMTD,2019-08-05,2020-10-07,298,298,DELISTED,1.0,False
ANCX,2013-12-23,2019-01-30,1281,1281,DELISTED,1.0,False
ANVS,2020-01-29,2020-11-25,211,211,DELISTED,1.0,False
API,2020-06-26,2020-08-21,40,40,DELISTED,1.0,False
AREB,2022-02-07,2026-09-03,1148,1148,DELISTED,1.0,False
AREBW,2026-07-17,2026-07-17,1,1,DELISTED,1.0,False
ASNS,2022-05-31,2026-09-03,1070,1070,DELISTED,1.0,False
ASRT,2026-06-16,2026-06-17,2,2,DELISTED,1.0,False
AVB,2026-07-17,2026-08-17,22,22,DELISTED,1.0,False
AVNS,2026-07-17,2026-07-24,3,3,DELISTED,1.0,False
B,2013-12-23,2025-01-31,2791,2791,DELISTED,1.0,False
BBAI,2021-04-30,2021-12-16,161,161,DELISTED,1.0,False
BBOX,2013-12-23,2019-01-07,1268,1268,DELISTED,1.0,False
BBRG,2013-12-23,2018-05-25,1113,1113,DELISTED,1.0,False
BEAM,2020-02-06,2020-04-24,55,55,DELISTED,1.0,False
BETR,2021-04-30,2023-09-01,589,589,DELISTED,1.0,False
BGC,2013-12-23,2018-06-06,1121,1121,DELISTED,1.0,False
BIVV,2017-01-31,2018-03-08,278,278,DELISTED,1.0,False
BNL,2020-09-30,2021-03-19,118,118,DELISTED,1.0,False
BODI,2021-02-01,2024-03-01,776,776,DELISTED,1.0,False
BOJA,2015-06-01,2019-01-28,920,920,DELISTED,1.0,False
BUFF,2016-10-21,2018-05-04,386,386,DELISTED,1.0,False
BUR,2020-10-19,2021-04-01,114,114,DELISTED,1.0,False
BWNB,2026-07-17,2026-08-12,19,19,DELISTED,1.0,False
BWP,2013-12-23,2018-07-17,1149,1149,DELISTED,1.0,False
CAA,2013-12-23,2018-02-12,1041,1041,DELISTED,1.0,False
CAFD,2015-06-30,2018-06-20,750,750,DELISTED,1.0,False
CALD,2013-12-23,2018-04-13,1084,1084,DELISTED,1.0,False
CALL,2018-01-09,2018-11-14,212,212,DELISTED,1.0,False
CAVM,2013-12-23,2018-07-06,1142,1142,DELISTED,1.0,False
CCRN,2026-07-22,2026-07-22,1,1,DELISTED,1.0,False
CD,2020-09-25,2023-12-22,817,817,DELISTED,1.0,False
CHAI,2026-05-26,2026-06-01,5,5,DELISTED,1.0,False
CHEV,2016-02-01,2016-05-27,83,83,DELISTED,1.0,False
CHUBA,2016-08-01,2018-05-21,455,455,DELISTED,1.0,False
CLPT,2013-12-23,2020-02-11,1544,1544,DELISTED,1.0,False
CMLSQ,2018-08-07,2026-03-20,1915,1915,DELISTED,1.0,False
CNR,2017-11-14,2022-07-25,1180,1180,DELISTED,1.0,False
CNXR,2014-12-31,2018-04-27,836,836,DELISTED,1.0,False
COHR,2013-12-23,2022-07-01,2146,2146,DELISTED,1.0,False
COL,2013-12-23,2018-11-26,1216,1216,DELISTED,1.0,False
COR,2013-12-23,2021-12-31,2021,2021,DELISTED,1.0,False
CORI,2014-04-30,2018-11-27,1155,1155,DELISTED,1.0,False
COTV,2016-05-31,2018-08-24,565,565,DELISTED,1.0,False
CPLA,2013-12-23,2018-07-31,1157,1157,DELISTED,1.0,False
CPN,2013-12-23,2018-03-08,1057,1057,DELISTED,1.0,False
CPRX,2026-07-15,2026-07-16,2,2,DELISTED,1.0,False
CRC,2020-10-28,2020-12-04,27,27,DELISTED,1.0,False
CRVP,2013-12-23,2018-03-20,1067,1067,DELISTED,1.0,False
CTP,2013-12-23,2015-06-23,377,377,DELISTED,1.0,False
CTZ,2015-09-30,2020-10-23,1277,1277,DELISTED,1.0,False
CUDA,2013-12-23,2018-02-12,1021,1021,DELISTED,1.0,False
CVG,2013-12-23,2018-12-14,1229,1229,DELISTED,1.0,False
CVU,2022-09-30,2022-12-13,52,52,DELISTED,1.0,False
CWAN,2026-07-02,2026-07-02,1,1,DELISTED,1.0,False
CZR,2014-09-22,2020-07-20,1467,1467,DELISTED,1.0,False
DCOM,2013-12-23,2021-02-02,1790,1790,DELISTED,1.0,False
DD,2017-07-31,2019-06-04,464,464,DELISTED,1.0,False
DEL,2013-12-23,2018-02-20,1046,1046,DELISTED,1.0,False
DOC,2013-12-23,2024-03-11,2570,2570,DELISTED,1.0,False
DRUA,2016-08-01,2021-08-30,1280,1280,DELISTED,1.0,False
DST,2013-12-23,2018-04-16,1085,1085,DELISTED,1.0,False
DSY,2024-07-01,2026-02-20,412,412,DELISTED,1.0,False
DTJ,2016-06-30,2021-06-29,1258,1258,DELISTED,1.0,False
DTY,2017-01-03,2021-12-15,1248,1248,DELISTED,1.0,False
DWCH,2013-12-23,2018-12-13,1253,1253,DELISTED,1.0,False
EA,2026-07-17,2026-08-04,2,2,DELISTED,1.0,False
ECHO,2013-12-23,2026-06-26,3145,3145,DELISTED,1.0,False
ECVT,2017-10-02,2021-08-02,965,965,DELISTED,1.0,False
ECYT,2013-12-23,2018-12-21,1259,1259,DELISTED,1.0,False
EEX,2026-07-14,2026-07-14,1,1,DELISTED,1.0,False
EGC,2017-01-31,2018-10-19,435,435,DELISTED,1.0,False
EGN,2013-12-23,2018-11-29,1243,1243,DELISTED,1.0,False
ELA,2015-12-30,2016-08-29,168,168,DELISTED,1.0,False
ELEC,2015-09-30,2018-06-06,676,676,DELISTED,1.0,False
ELECU,2015-06-30,2018-05-30,735,735,DELISTED,1.0,False
ELSE,2026-07-17,2026-08-07,6,6,DELISTED,1.0,False
ENLK,2013-12-23,2019-01-24,1279,1279,DELISTED,1.0,False
EP,2022-03-03,2022-04-14,31,31,DELISTED,1.0,False
ESI,2019-01-28,2019-02-04,6,6,DELISTED,1.0,False
ESIO,2013-12-23,2019-02-01,1285,1285,DELISTED,1.0,False
ESND,2013-12-23,2019-01-30,1282,1282,DELISTED,1.0,False
ESPR,2026-07-13,2026-07-13,1,1,DELISTED,1.0,False
ETP,2014-07-30,2018-10-19,1044,1044,DELISTED,1.0,False
EU,2014-09-02,2024-10-08,2543,2543,DELISTED,1.0,False
EVSNF,2013-12-31,2018-04-25,1087,1087,DELISTED,1.0,False
EXAC,2013-12-23,2018-02-14,1042,1042,DELISTED,1.0,False
FBRT,2021-10-19,2021-10-19,1,1,DELISTED,1.0,False
FLNA,2017-10-09,2026-06-01,2172,2172,DELISTED,1.0,False
FMI,2013-12-23,2018-08-09,1165,1165,DELISTED,1.0,False
FNCX,2013-12-23,2018-11-15,1235,1235,DELISTED,1.0,False
FOGO,2015-06-30,2018-04-13,703,703,DELISTED,1.0,False
FUN,2013-12-23,2024-07-16,2657,2657,DELISTED,1.0,False
FWDI,2013-12-23,2019-03-26,1322,1322,DELISTED,1.0,False
GAME,2018-01-26,2021-06-23,858,858,DELISTED,1.0,False
GHI,2013-12-23,2022-12-30,2272,2272,DELISTED,1.0,False
GLDI,2024-07-01,2024-07-09,6,6,DELISTED,1.0,False
GMLPF,2017-10-31,2021-05-21,895,895,DELISTED,1.0,False
GMTA,2016-05-31,2021-05-28,1259,1259,DELISTED,1.0,False
GNCMA,2013-12-23,2018-03-14,1061,1061,DELISTED,1.0,False
GOLD,2014-03-17,2018-12-28,1207,1207,DELISTED,1.0,False
GPOR,2021-05-18,2021-05-18,1,1,DELISTED,1.0,False
GROM,2017-07-31,2026-09-03,2287,2287,DELISTED,1.0,False
GTES,2018-01-31,2026-07-17,2126,2126,DELISTED,1.0,False
GTLS,2026-07-15,2026-07-16,2,2,DELISTED,1.0,False
HBANP,2021-02-02,2021-03-03,21,21,DELISTED,1.0,False
HCC,2017-04-13,2017-07-03,56,56,DELISTED,1.0,False
HDP,2014-12-31,2019-01-03,1009,1009,DELISTED,1.0,False
HHH,2021-10-15,2022-07-19,190,190,DELISTED,1.0,False
HIVE,2014-03-31,2019-08-20,1358,1358,DELISTED,1.0,False
HLX,2013-12-23,2026-09-01,3166,3166,DELISTED,1.0,False
HOLO,2021-08-31,2022-12-23,333,333,DELISTED,1.0,False
HQCL,2013-12-23,2019-01-16,1275,1275,DELISTED,1.0,False
HR,2013-12-23,2022-12-27,2269,2269,DELISTED,1.0,False
HUT,2018-04-02,2023-12-01,1429,1429,DELISTED,1.0,False
IAUX,2021-04-30,2022-05-18,266,266,DELISTED,1.0,False
ICCM,2021-08-26,2023-01-03,341,341,DELISTED,1.0,False
ILG,2013-12-23,2018-08-30,1180,1180,DELISTED,1.0,False
IMPV,2013-12-23,2019-01-10,1270,1270,DELISTED,1.0,False
IMSR,2024-10-31,2025-10-31,249,249,DELISTED,1.0,False
INBX,2024-05-29,2024-06-03,4,4,DELISTED,1.0,False
INM,2020-11-09,2023-01-03,541,541,DELISTED,1.0,False
INPHQ,2016-02-01,2018-07-06,613,613,DELISTED,1.0,False
INTX,2013-12-23,2019-01-11,1272,1272,DELISTED,1.0,False
IPAS,2013-12-23,2019-02-13,1294,1294,DELISTED,1.0,False
IPXL,2013-12-23,2018-05-04,1097,1097,DELISTED,1.0,False
IVTY,2015-06-30,2018-10-23,837,837,DELISTED,1.0,False
JMBA,2013-12-23,2018-09-13,1189,1189,DELISTED,1.0,False
JNP,2013-12-23,2018-08-13,1168,1168,DELISTED,1.0,False
JOYY,2019-12-26,2022-06-14,622,622,DELISTED,1.0,False
JTPY,2013-12-23,2018-12-06,1248,1248,DELISTED,1.0,False
JUNO,2014-12-31,2018-03-06,800,800,DELISTED,1.0,False
KANG,2014-04-30,2019-01-17,1189,1189,DELISTED,1.0,False
KERX,2013-12-23,2018-12-12,1250,1250,DELISTED,1.0,False
KLXI,2014-12-31,2018-10-09,951,951,DELISTED,1.0,False
KMG,2013-12-23,2018-11-15,1235,1235,DELISTED,1.0,False
KNTK,2022-11-07,2023-03-24,95,95,DELISTED,1.0,False
KS,2013-12-23,2018-12-14,1229,1229,DELISTED,1.0,False
LAB,2013-12-23,2022-04-08,2089,2089,DELISTED,1.0,False
LAYN,2013-12-23,2018-06-15,1127,1127,DELISTED,1.0,False
LBRDA,2014-12-01,2026-08-21,2924,2924,DELISTED,1.0,False
LBRDK,2026-07-17,2026-08-21,2,2,DELISTED,1.0,False
LBRDP,2026-07-17,2026-08-21,14,14,DELISTED,1.0,False
LEG,2013-12-23,2026-08-27,3163,3163,DELISTED,1.0,False
LHO,2013-12-23,2018-11-29,1244,1244,DELISTED,1.0,False
LION,2024-05-31,2025-05-02,231,231,DELISTED,1.0,False
LIPO,2025-10-31,2026-05-28,143,143,DELISTED,1.0,False
LPRO,2026-07-17,2026-07-17,1,1,DELISTED,1.0,False
LTCH,2024-04-30,2026-05-28,521,521,DELISTED,1.0,False
MAPS,2026-04-30,2026-05-28,20,20,DELISTED,1.0,False
MATH,2017-10-31,2018-04-02,104,104,DELISTED,1.0,False
MDV,2026-07-17,2026-07-17,1,1,DELISTED,1.0,False
MFI,2024-04-30,2024-10-02,108,108,DELISTED,1.0,False
MGAM,2022-07-29,2026-05-28,961,961,DELISTED,1.0,False
MITL,2013-12-23,2018-11-29,1243,1243,DELISTED,1.0,False
MPU,2013-12-23,2024-10-08,2716,2716,DELISTED,1.0,False
MRDN,2013-12-23,2018-05-04,1099,1099,DELISTED,1.0,False
MSCC,2013-12-23,2018-05-29,1114,1114,DELISTED,1.0,False
MSGY,2026-08-05,2026-08-14,7,7,DELISTED,1.0,False
MXCT,2021-07-30,2023-01-03,360,360,DELISTED,1.0,False
MYSEW,2026-07-17,2026-08-14,21,21,DELISTED,1.0,False
NCRA,2021-01-08,2022-08-10,400,400,DELISTED,1.0,False
NFBK,2026-07-17,2026-07-21,3,3,DELISTED,1.0,False
NMIH,2024-05-08,2024-05-24,13,13,DELISTED,1.0,False
NORD,2014-03-31,2023-05-19,2302,2302,DELISTED,1.0,False
NRCIB,2013-12-23,2018-04-17,1086,1086,DELISTED,1.0,False
NSA,2026-07-17,2026-07-17,1,1,DELISTED,1.0,False
NYRT,2014-04-30,2018-11-02,1139,1139,DELISTED,1.0,False
OA,2013-12-23,2018-06-06,1120,1120,DELISTED,1.0,False
OCIP,2013-12-23,2018-07-13,1147,1147,DELISTED,1.0,False
OCLR,2013-12-23,2018-12-10,1249,1249,DELISTED,1.0,False
OLPX,2026-07-07,2026-07-08,2,2,DELISTED,1.0,False
ONSM,2013-12-23,2019-02-06,1289,1289,DELISTED,1.0,False
OZ,2021-10-18,2021-10-22,5,5,DELISTED,1.0,False
P,2015-10-06,2019-03-01,855,855,DELISTED,1.0,False
PARA,2021-02-12,2025-08-07,1126,1126,DELISTED,1.0,False
PD,2019-05-10,2019-07-05,39,39,DELISTED,1.0,False
PERY,2013-12-23,2018-10-22,1217,1217,DELISTED,1.0,False
PFH,2020-09-02,2020-12-04,66,66,DELISTED,1.0,False
PGEM,2013-12-23,2018-04-11,1082,1082,DELISTED,1.0,False
PLAG,2013-12-23,2020-10-02,1707,1707,DELISTED,1.0,False
POWR,2013-12-23,2016-05-17,604,604,DELISTED,1.0,False
PROP,2013-12-23,2026-09-03,3193,3193,DELISTED,1.0,False
PRSS,2013-12-23,2018-11-09,1231,1231,DELISTED,1.0,False
PTN,2013-12-23,2025-11-11,2990,2990,DELISTED,1.0,False
PULS,2018-04-10,2019-07-02,310,310,DELISTED,1.0,False
QCP,2016-11-30,2018-07-26,416,416,DELISTED,1.0,False
QTNA,2016-10-31,2019-06-18,641,641,DELISTED,1.0,False
RGP,2013-12-23,2015-05-12,348,348,DELISTED,1.0,False
