feature,family,horizon_sessions,development_rows,validation_rows,development_ic_dates,validation_ic_dates,development_coverage,validation_coverage,development_mean_spearman_ic,development_hac_se,development_hac_t,development_pvalue,validation_mean_spearman_ic,validation_hac_se,validation_hac_t,validation_pvalue,development_fdr_q,direction,validation_aligned_ic,validation_aligned_hac_t,research_status,validation_top_bottom_return_spread_mean,validation_top_bottom_return_spread_median,validation_winner_top_decile_lift,validation_rich_dates
trend_sma_20d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9967706820089616,0.998355098192614,-0.004091346762804256,0.010511673197501549,-0.3892193645990346,0.6971138797866732,0.014880880691888625,0.018976307417559454,0.784182104792359,0.4329332639846615,0.8030247648826284,-1,-0.014880880691888625,-0.784182104792359,NO_EVIDENCE,,,,
value_eps_yield_reported,VALUATION,40,521782,99702,1973,461,0.5424602611818728,0.7093739343242864,0.006146442264772737,0.01610069215587433,0.3817501884557311,0.7026466692722999,-0.02137178289945454,0.027188867755945097,-0.7860490216545116,0.43183876829342915,0.8030247648826284,1,-0.02137178289945454,-0.7860490216545116,NO_EVIDENCE,,,,
mom_skip_20_5,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9957146854433461,0.9979037531844898,-0.0034237667201046243,0.010308022620686579,-0.3321458291363916,0.7397791459007284,0.003488523421238223,0.020730172803136396,0.16828240914182938,0.8663611119816381,0.821976828778587,-1,-0.003488523421238223,-0.16828240914182938,NO_EVIDENCE,,,,
value_book_to_market_snapshot,VALUATION,40,521782,99702,1973,461,0.538682821561495,0.6877294337124631,0.007174935419077078,0.021364058241388616,0.3358414088750735,0.7369904621425296,0.00042789978642205506,0.03124638522710442,0.013694377231542192,0.9890738093471659,0.821976828778587,1,0.00042789978642205506,0.013694377231542192,NO_EVIDENCE,,,,
fund_debt_assets,BALANCE_SHEET_OR_FRESHNESS,40,521782,99702,1973,461,0.45202594186844314,0.668131030470803,-0.004766773792154356,0.01579819386598891,-0.30172903514094035,0.7628586324041428,-0.04550720353930049,0.022904361389202828,-1.9868357281837465,0.04694060391300302,0.8360094601689236,-1,0.04550720353930049,1.9868357281837465,NO_EVIDENCE,,,,
mom_10d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9978400941389316,0.9988265029788771,-0.0024441828628859468,0.00923774454521568,-0.2645865395955134,0.7913279905387554,0.011831131130303107,0.016447440469864686,0.7193296216502701,0.4719378487959135,0.8554897195013571,-1,-0.011831131130303107,-0.7193296216502701,NO_EVIDENCE,,,,
mom_1d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9997853509703286,0.999859581553028,-0.0007961016839393587,0.0033201886480839415,-0.23977603935209635,0.8105038830056961,0.007061428426518169,0.004945253015377862,1.4279205542284295,0.15331472673823993,0.8645374752060758,-1,-0.007061428426518169,-1.4279205542284295,NO_EVIDENCE,,,,
delta_cash_assets_126s,FUNDAMENTAL_CHANGE,40,521782,99702,1973,461,0.5560253132534276,0.7401155443220798,-0.0019002728275402353,0.0095888802800971,-0.1981746327028908,0.8429084340393962,0.024863438478444258,0.01764461526352612,1.4091232994941212,0.15879871244241006,0.8757490223785934,-1,-0.024863438478444258,-1.4091232994941212,NO_EVIDENCE,,,,
mom_5d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9989133392872885,0.9993580870995566,-0.0014399117890531252,0.007118782169423374,-0.20226939872354024,0.8397061217900165,0.011747458372932148,0.011703299039504272,1.0037732380655076,0.3154879265737237,0.8757490223785934,-1,-0.011747458372932148,-1.0037732380655076,NO_EVIDENCE,,,,
mom_40d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9915865246405587,0.9960783133738541,0.001745497007111939,0.014028602586395256,0.1244241538928972,0.9009794499045246,-0.008205766308323054,0.023640229442024888,-0.3471102650863356,0.7285084819755088,0.9240814870815637,1,-0.008205766308323054,-0.3471102650863356,NO_EVIDENCE,,,,
trend_sma_60d,MARKET_TREND_RISK,40,521782,99702,1973,461,0.9901778903833401,0.9953762211389942,0.000875950667764037,0.014959461970683667,0.05855495802460367,0.953306587376318,0.0018411871049638178,0.024398382431660755,0.0754634906687333,0.9398459449034163,0.9653737593684233,1,0.0018411871049638178,0.0754634906687333,NO_EVIDENCE,,,,
quality_profit_assets_reported,QUALITY,40,521782,99702,1973,461,0.5675646151074587,0.7422619405829372,-0.0005559946064575987,0.017753983200897827,-0.03131661217464044,0.9750170423061092,-0.04272052956653745,0.024628874511451303,-1.7345709218939076,0.08281683363904303,0.9750170423061093,-1,0.04272052956653745,1.7345709218939076,NO_EVIDENCE,,,,
liq_amihud_20d,LIQUIDITY,40,521782,99702,0,0,0.0034094698552268954,0.01849511544402319,,,,,,,,,,-1,,,NO_EVIDENCE,,,,
liq_amihud_60d,LIQUIDITY,40,521782,99702,0,0,0.0031641566784595867,0.01849511544402319,,,,,,,,,,-1,,,NO_EVIDENCE,,,,
liq_dollar_volume_trend_20_60,LIQUIDITY,40,521782,99702,0,0,0.003171822715233565,0.01849511544402319,,,,,,,,,,-1,,,NO_EVIDENCE,,,,
liq_log_dollar_volume_20d,LIQUIDITY,40,521782,99702,0,0,0.0034171358920008737,0.01849511544402319,,,,,,,,,,-1,,,NO_EVIDENCE,,,,
liq_log_dollar_volume_60d,LIQUIDITY,40,521782,99702,0,0,0.003171822715233565,0.01849511544402319,,,,,,,,,,-1,,,NO_EVIDENCE,,,,
fund_update_count_60d,BALANCE_SHEET_OR_FRESHNESS,40,521782,99702,1973,461,1.0,1.0,0.08768333199775108,0.012145344189996417,7.2195016152750915,5.217844885498843e-13,0.10830031492935495,0.01595181835172097,6.789214404367318,1.1274578216777826e-11,2.0871379541995374e-11,1,0.10830031492935495,6.789214404367318,VALIDATED,0.025496766050815873,0.022966017845498742,0.7413997402229965,382.0
size_log_market_cap,SIZE,40,521782,99702,1973,461,0.571351637273804,0.7568353694008144,-0.09004919708421319,0.016591525252800488,-5.42742127153221,5.717407235780051e-08,-0.06676085263845111,0.027021882163505654,-2.4706218550762107,0.013487835806903176,1.524641929541347e-06,-1,0.06676085263845111,2.4706218550762107,VALIDATED,0.02941376921021257,0.015250217881036355,1.8320074258767833,461.0
