ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H20,20,MONTHLY,,,WF_2019_2020,40.0,505,2.1795172156920612,0.7810790821504938,-0.35509245242194065,3.485234022043527,24,0,0.7083333333333334,0.027937193351301293,0.0,,,
H20,20,MONTHLY,,,WF_2021_2022,20.0,503,0.14227936319092427,0.06891603768818122,-0.26686392071894527,3.0576440496493134,24,0,0.5416666666666666,0.012206309182330198,0.0,,,
H20,20,MONTHLY,,,WF_2021_2022,40.0,503,0.12840915121014107,0.06239361876270633,-0.2688633711809164,3.0576440496493134,24,0,0.5416666666666666,0.024412618364660396,0.0,,,
H20,20,WEEKLY,,,WF_2019_2020,20.0,505,2.327505228398741,0.8219750438611433,-0.3475953036874633,6.962628973277017,105,0,0.75,0.02790577485321344,0.0,,,
H20,20,WEEKLY,,,WF_2019_2020,40.0,505,2.235884111246889,0.7967660635665303,-0.34841030176566246,6.962628973277017,105,0,0.75,0.05581154970642688,0.0,,,
H20,20,WEEKLY,,,WF_2021_2022,20.0,503,0.09690386329262979,0.047428078822289166,-0.28381938681899144,7.413669904864002,104,0,0.5833333333333334,0.029595840969417406,0.0,,,
H20,20,WEEKLY,,,WF_2021_2022,40.0,503,0.0648971614122984,0.03200304685672717,-0.2921936260535476,7.413669904864002,104,0,0.5416666666666666,0.05919168193883481,0.0,,,
H20,20,DAILY,,,WF_2019_2020,20.0,505,2.122301621146056,0.7650127550490322,-0.35606319573600764,13.09752889939982,504,0,0.75,0.052494064239658,0.0,,,
H20,20,DAILY,,,WF_2019_2020,40.0,505,1.96258518582265,0.7193663490074051,-0.35806582303573087,13.09752889939982,504,0,0.7083333333333334,0.104988128479316,0.0,,,
H20,20,DAILY,,,WF_2021_2022,20.0,503,-0.014307927671096121,-0.007193960522712373,-0.30739386760914955,13.454566407211955,502,0,0.5416666666666666,0.053711483355774706,0.0,,,
H20,20,DAILY,,,WF_2021_2022,40.0,503,-0.06586765079075785,-0.03356023530549945,-0.32359811664627214,13.454566407211955,502,0,0.5416666666666666,0.10742296671154941,0.0,,,
H20,20,EVENT_LOOSE,0.7,0.03,WF_2019_2020,20.0,505,2.276014674324031,0.8078511748825468,-0.3448865913990684,4.232013972981296,134,0,0.7083333333333334,0.016961643304409163,0.0,,,
H20,20,EVENT_LOOSE,0.7,0.03,WF_2019_2020,40.0,505,2.220901280360197,0.7926097700625272,-0.3454586507643371,4.232013972981296,134,0,0.7083333333333334,0.033923286608818326,0.0,,,
H20,20,EVENT_LOOSE,0.7,0.03,WF_2021_2022,20.0,503,0.052904536597958574,0.026163951093850057,-0.2880120040906605,4.026404680142442,126,0,0.5416666666666666,0.016073663127870227,0.0,,,
H20,20,EVENT_LOOSE,0.7,0.03,WF_2021_2022,40.0,503,0.03611113843733649,0.01793134024434062,-0.29206880223131826,4.026404680142442,126,0,0.5,0.032147326255740453,0.0,,,
H20,20,EVENT_BALANCED,0.8,0.05,WF_2019_2020,20.0,505,2.157173858723603,0.7748223707930737,-0.3534925520290456,2.30595690268102,73,0,0.7083333333333334,0.009242128855983451,0.0,,,
H20,20,EVENT_BALANCED,0.8,0.05,WF_2019_2020,40.0,505,2.1281198001642787,0.7666532188748558,-0.35379281162664067,2.30595690268102,73,0,0.7083333333333334,0.018484257711966903,0.0,,,
H20,20,EVENT_BALANCED,0.8,0.05,WF_2021_2022,20.0,503,0.2248755939146534,0.10696415282642446,-0.24776012760811295,2.1041243334464745,67,0,0.5416666666666666,0.008399797934314102,0.0,,,
H20,20,EVENT_BALANCED,0.8,0.05,WF_2021_2022,40.0,503,0.21462653800118825,0.1023139967750033,-0.24938108152345495,2.1041243334464745,67,0,0.5416666666666666,0.016799595868628205,0.0,,,
