signal_date,ticker,requested_entry_date,entry_date,target_status_1d,target_end_date_1d,horizon_sessions,target_status_5d,target_end_date_5d,target_status_10d,target_end_date_10d,target_status_20d,target_end_date_20d,target_status_40d,target_end_date_40d,target_status_60d,target_end_date_60d,target_status_120d,target_end_date_120d,target_status_252d,target_end_date_252d
2017-10-02,ABAX,2017-10-03,2017-10-03,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-03,ABAX,2017-10-04,2017-10-04,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-04,ABAX,2017-10-05,2017-10-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-05,ABAX,2017-10-06,2017-10-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-06,ABAX,2017-10-09,2017-10-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-09,ABAX,2017-10-10,2017-10-10,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-10,ABAX,2017-10-11,2017-10-11,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-11,ABAX,2017-10-12,2017-10-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-12,ABAX,2017-10-13,2017-10-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-13,ABAX,2017-10-16,2017-10-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-16,ABAX,2017-10-17,2017-10-17,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-17,ABAX,2017-10-18,2017-10-18,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-18,ABAX,2017-10-19,2017-10-19,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-19,ABAX,2017-10-20,2017-10-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-20,ABAX,2017-10-23,2017-10-23,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-23,ABAX,2017-10-24,2017-10-24,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-24,ABAX,2017-10-25,2017-10-25,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-25,ABAX,2017-10-26,2017-10-26,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-26,ABAX,2017-10-27,2017-10-27,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-27,ABAX,2017-10-30,2017-10-30,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-30,ABAX,2017-10-31,2017-10-31,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-10-31,ABAX,2017-11-01,2017-11-01,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-01,ABAX,2017-11-02,2017-11-02,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-02,ABAX,2017-11-03,2017-11-03,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-03,ABAX,2017-11-06,2017-11-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-06,ABAX,2017-11-07,2017-11-07,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-07,ABAX,2017-11-08,2017-11-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-08,ABAX,2017-11-09,2017-11-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-09,ABAX,2017-11-10,2017-11-10,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-10,ABAX,2017-11-13,2017-11-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-13,ABAX,2017-11-14,2017-11-14,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-14,ABAX,2017-11-15,2017-11-15,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-15,ABAX,2017-11-16,2017-11-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-16,ABAX,2017-11-17,2017-11-17,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-17,ABAX,2017-11-20,2017-11-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-20,ABAX,2017-11-21,2017-11-21,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-21,ABAX,2017-11-22,2017-11-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-22,ABAX,2017-11-24,2017-11-24,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-24,ABAX,2017-11-27,2017-11-27,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-27,ABAX,2017-11-28,2017-11-28,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-28,ABAX,2017-11-29,2017-11-29,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-29,ABAX,2017-11-30,2017-11-30,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-11-30,ABAX,2017-12-01,2017-12-01,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-01,ABAX,2017-12-04,2017-12-04,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-04,ABAX,2017-12-05,2017-12-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-05,ABAX,2017-12-06,2017-12-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-06,ABAX,2017-12-07,2017-12-07,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-07,ABAX,2017-12-08,2017-12-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-08,ABAX,2017-12-11,2017-12-11,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-11,ABAX,2017-12-12,2017-12-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-12,ABAX,2017-12-13,2017-12-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-13,ABAX,2017-12-14,2017-12-14,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-14,ABAX,2017-12-15,2017-12-15,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-15,ABAX,2017-12-18,2017-12-18,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-18,ABAX,2017-12-19,2017-12-19,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-19,ABAX,2017-12-20,2017-12-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-20,ABAX,2017-12-21,2017-12-21,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-21,ABAX,2017-12-22,2017-12-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-22,ABAX,2017-12-26,2017-12-26,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-26,ABAX,2017-12-27,2017-12-27,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-27,ABAX,2017-12-28,2017-12-28,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-28,ABAX,2017-12-29,2017-12-29,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2017-12-29,ABAX,2018-01-02,2018-01-02,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-02,ABAX,2018-01-03,2018-01-03,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-03,ABAX,2018-01-04,2018-01-04,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-04,ABAX,2018-01-05,2018-01-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-05,ABAX,2018-01-08,2018-01-08,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-08,ABAX,2018-01-09,2018-01-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-09,ABAX,2018-01-10,2018-01-10,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-10,ABAX,2018-01-11,2018-01-11,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-11,ABAX,2018-01-12,2018-01-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-12,ABAX,2018-01-16,2018-01-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-16,ABAX,2018-01-17,2018-01-17,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-17,ABAX,2018-01-18,2018-01-18,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-18,ABAX,2018-01-19,2018-01-19,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-19,ABAX,2018-01-22,2018-01-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-22,ABAX,2018-01-23,2018-01-23,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-23,ABAX,2018-01-24,2018-01-24,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-24,ABAX,2018-01-25,2018-01-25,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-25,ABAX,2018-01-26,2018-01-26,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-26,ABAX,2018-01-29,2018-01-29,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-29,ABAX,2018-01-30,2018-01-30,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-30,ABAX,2018-01-31,2018-01-31,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-01-31,ABAX,2018-02-01,2018-02-01,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-01,ABAX,2018-02-02,2018-02-02,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-02-02,ABAX,2018-02-05,2018-02-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
