ticker,first_date,last_date,rows,covered_rows,coverage
HR,2013-12-23,2022-12-27,2269,2269,1.0
HUT,2018-04-02,2023-12-01,1429,1429,1.0
IAUX,2021-04-30,2022-05-18,266,266,1.0
IBM,2014-01-02,2026-09-04,3188,3188,1.0
ICCM,2021-08-26,2023-01-03,341,341,1.0
ILG,2013-12-23,2018-08-30,1180,1180,1.0
IMPV,2013-12-23,2019-01-10,1270,1270,1.0
IMSR,2024-10-31,2025-10-31,249,249,1.0
INBX,2024-05-29,2024-06-03,4,4,1.0
INM,2020-11-09,2023-01-03,541,541,1.0
INPHQ,2016-02-01,2018-07-06,613,613,1.0
INTC,2014-01-02,2026-09-04,3188,3188,1.0
INTU,2014-01-02,2026-09-04,3188,3188,1.0
INTX,2013-12-23,2019-01-11,1272,1272,1.0
IPAS,2013-12-23,2019-02-13,1294,1294,1.0
IPXL,2013-12-23,2018-05-04,1097,1097,1.0
ISRG,2014-01-02,2026-09-04,3188,3188,1.0
ITW,2014-01-02,2026-09-04,3188,3188,1.0
IVTY,2015-06-30,2018-10-23,837,837,1.0
JD,2014-06-02,2026-09-04,3085,3085,1.0
JMBA,2013-12-23,2018-09-13,1189,1189,1.0
JNJ,2014-01-02,2026-09-04,3188,3188,1.0
JNP,2013-12-23,2018-08-13,1168,1168,1.0
JOYY,2019-12-26,2022-06-14,622,622,1.0
JPM,2014-01-02,2026-09-04,3188,3188,1.0
JTPY,2013-12-23,2018-12-06,1248,1248,1.0
JUNO,2014-12-31,2018-03-06,800,800,1.0
KANG,2014-04-30,2019-01-17,1189,1189,1.0
KEEL,2019-08-16,2026-09-04,1773,1773,1.0
KERX,2013-12-23,2018-12-12,1250,1250,1.0
KLAC,2014-01-02,2026-09-04,3188,3188,1.0
KLXI,2014-12-31,2018-10-09,951,951,1.0
KMB,2014-01-02,2026-09-04,3188,3188,1.0
KMG,2013-12-23,2018-11-15,1235,1235,1.0
KMI,2014-01-02,2026-09-04,3188,3188,1.0
KNTK,2022-11-07,2023-03-24,95,95,1.0
KO,2014-01-02,2026-09-04,3188,3188,1.0
KR,2014-01-02,2026-09-04,3188,3188,1.0
KS,2013-12-23,2018-12-14,1229,1229,1.0
LAB,2013-12-23,2022-04-08,2089,2089,1.0
LAR,2023-10-31,2026-09-04,714,714,1.0
LAYN,2013-12-23,2018-06-15,1127,1127,1.0
LBRDA,2014-12-01,2026-08-21,2924,2924,1.0
LBRDK,2026-07-17,2026-08-21,2,2,1.0
LBRDP,2026-07-17,2026-08-21,14,14,1.0
LEG,2013-12-23,2026-08-27,3163,3163,1.0
LHO,2013-12-23,2018-11-29,1244,1244,1.0
LIN,2018-10-31,2026-09-04,1971,1971,1.0
LION,2024-05-31,2025-05-02,231,231,1.0
LIPO,2025-10-31,2026-05-28,143,143,1.0
LLY,2014-01-02,2026-09-04,3188,3188,1.0
LMT,2014-01-02,2026-09-04,3188,3188,1.0
LOW,2014-01-02,2026-09-04,3188,3188,1.0
LPRO,2026-07-17,2026-07-17,1,1,1.0
LRCX,2014-01-02,2026-09-04,3188,3188,1.0
LTCH,2024-04-30,2026-05-28,521,521,1.0
MA,2014-01-02,2026-09-04,3188,3188,1.0
MAPS,2026-04-30,2026-05-28,20,20,1.0
MAR,2014-01-02,2026-09-04,3188,3188,1.0
MATH,2017-10-31,2018-04-02,104,104,1.0
MCD,2014-01-02,2026-09-04,3188,3188,1.0
MCHP,2014-01-02,2026-09-04,3188,3188,1.0
MCO,2014-01-02,2026-09-04,3188,3188,1.0
MDB,2017-10-31,2026-09-04,2223,2223,1.0
MDLZ,2014-01-02,2026-09-04,3188,3188,1.0
MDT,2014-01-02,2026-09-04,3188,3188,1.0
MDV,2026-07-17,2026-07-17,1,1,1.0
MELI,2014-01-02,2026-09-04,3188,3188,1.0
META,2014-01-02,2026-09-04,3188,3188,1.0
MFI,2024-04-30,2024-10-02,108,108,1.0
MGAM,2022-07-29,2026-05-28,961,961,1.0
MITL,2013-12-23,2018-11-29,1243,1243,1.0
MMM,2014-01-02,2026-09-04,3188,3188,1.0
MO,2014-01-02,2026-09-04,3188,3188,1.0
MPC,2014-01-02,2026-09-04,3188,3188,1.0
MPU,2013-12-23,2024-10-08,2716,2716,1.0
MPWR,2014-01-02,2026-09-04,3188,3188,1.0
MRDN,2013-12-23,2018-05-04,1099,1099,1.0
MRK,2014-01-02,2026-09-04,3188,3188,1.0
MRVL,2014-01-02,2026-09-04,3188,3188,1.0
