issuer,origin_ticker,byma_ticker,ratio_a,ratio_b,ratio,source_url
BANCO_COMAFI,IFF,IFF,12,1,12:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,INFY,INFY,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ING,ING,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,INTC,INTC,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,IP,IP,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ISRG,ISRG,90,1,90:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,ITA,ITA,50,1,50:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,ITUB,ITUB,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,ITUB3,ITUB3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,IVE,IVE,40,1,40:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,IVW,IVW,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,IWM,IWM,10,1,10:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,JCI,JCI,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,JD,JD,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,JMIA,JMIA,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,JNJ,JNJ,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,JPM,JPM,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,KB,KB,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,KEEL,KEEL,1,5,1:5,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,KEP,KEP,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,KGC,KGC,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,KMB,KMB,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,KO,KO,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,KOF,KOFM,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LAC,LAC,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LAR,LAR,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LLY,LLY,56,1,56:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LMT,LMT,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LND,LND,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LRCX,LRCX,56,1,56:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,LREN3,LREN3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,LUKOY,LKOD,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LVS,LVS,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,LYG,LYG,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MA,MA,33,1,33:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MBG,MBG,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MBT,MBT,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MCD,MCD,24,1,24:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MDLZ,MDLZ,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MDT,MDT,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MELI,MELI,120,1,120:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,META,META,24,1,24:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MFG,MFG,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,MGLU3,MGLU3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,MMC,MMC,16,1,16:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MMM,MMM,10,1,10:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MO,MO,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,MOS,MOS,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,MRK,MRK,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MRNA,MRNA,19,1,19:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MRVL,MRVL,14,1,14:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MSFT,MSFT,30,1,30:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MSI,MSI,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,MSTR,MSTR,20,1,20:1,https://cajadevalores.com.ar/Servicios/Cedears
CAJA_DE_VALORES,MU,MU,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,MUFG,MUFG,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,MUX,MUX,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,NATU3,NATU3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,NEC1,NEC1,1,3,1:3,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
