date,effective_n,top1,top5,top10,n_gt_1pct,n_gt_2pct,n_gt_5pct
2022-07-18,36.29286712955176,0.09802287431875628,0.2741985693382312,0.3963932930564951,33,13,3
2022-07-19,36.63107691607947,0.09516906590184093,0.27528657463243417,0.3971696409520621,31,11,2
2022-07-20,38.03976389540078,0.09253700823276752,0.26003399952261036,0.38736090252944594,32,14,2
2022-07-21,38.239790243200105,0.08852884844541294,0.2513569667766625,0.38509015777320077,33,16,2
2022-07-22,38.27234345764864,0.08957048933488945,0.2551568608022199,0.38453736564410496,35,15,2
2022-07-25,41.920970596093724,0.07894067197934343,0.24004265284725831,0.3627647160081768,35,16,1
2022-07-26,38.15465393757614,0.0927415543544703,0.25609914145214097,0.3811991523840639,34,16,2
2022-07-27,37.59638674084036,0.09859867247908206,0.2541602901622281,0.3840109721938561,32,16,1
2022-07-28,39.593945776430964,0.09490393473801323,0.24317078955704324,0.3741714852115148,32,13,1
2022-07-29,36.66838226976893,0.09780541669802353,0.25932519000882853,0.39410529185314447,32,15,1
2022-08-01,44.39923237035766,0.05650059579583144,0.22193371600459236,0.36912347411953034,34,16,1
2022-08-02,45.632490030747256,0.051411469224753,0.21588468978150804,0.36138009929127973,31,18,1
2022-08-03,44.88526620120644,0.052831132620989665,0.21565256201382177,0.36662129940821536,32,17,1
2022-08-04,46.029214717368674,0.052858126246922085,0.2164330886269154,0.3595278934289528,32,16,1
2022-08-05,40.86571409153169,0.07578014695723345,0.24320684341276153,0.3726383930683187,31,19,2
2022-08-08,38.924813078852836,0.0907114248033363,0.24679150859395366,0.37894097151758344,30,16,1
2022-08-09,43.69183332857321,0.07329489725869597,0.21969754134505617,0.3571520889261187,31,16,1
2022-08-10,41.08365167474282,0.06798212445749267,0.25046664215209585,0.3774307149875643,33,17,2
2022-08-11,39.67118362618173,0.06832995468406595,0.2591032407754973,0.38066921921203106,32,15,3
2022-08-12,39.96718252908888,0.07429759743508091,0.25922516934237244,0.38485707627716553,31,16,2
