feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
skew_60,PRICE_TREND_RISK,5,0.9899971485169455,0.995274869965542,-1,-0.017699836743283712,-4.3094482755136765,1.636623297907036e-05,2008,0.018523162358147882,2.2570959972217195,496,0.00018412012101454156,True,0.0043765149052675065,0.002147661727718144,0.0013691149245304284,0.00012424203237806962,2008.0,0.002509835910045428,-0.002300438739422318,-0.004675053304204317,-0.0019135010417927903,496.0,False,0.0012136728948755474,27.0,True
skew_120,PRICE_TREND_RISK,5,0.9807590987802829,0.9904190051079963,-1,-0.018709122276618913,-4.611160386645691,4.004274297919608e-06,2008,0.01404067932471362,1.5250831417488613,496,7.960146442398397e-05,True,0.003586305781401935,0.0013749156190376972,0.0005990197601097156,-0.0006451400789275274,2008.0,0.00445014166783586,-0.000354929827431371,-0.002732956923644104,2.873838297669847e-05,496.0,True,0.0004429317667399618,38.0,True
worst_day_20,PRICE_TREND_RISK,5,0.9965725551365407,0.9982444180899642,1,0.02328530739746034,3.0596792762176763,0.0022157413127819048,2008,0.02378580510324825,1.56311827784351,496,0.007730327837806967,True,0.005658382311188484,0.003425596885098897,0.0026448161469319114,0.0013907296524639837,2013.0,0.0033400958905479383,-0.001440262090290898,-0.0038345255095973067,-0.0010447517277221749,499.0,False,0.002487047561498264,20.0,True
best_day_20,PRICE_TREND_RISK,5,0.9965725551365407,0.9982444180899642,-1,-0.024921378982703638,-3.640820294418259,0.00027177078457230053,2008,0.025726925119010324,1.6644743380479032,496,0.0015287106632191905,True,0.007993547409717522,0.00576108180698741,0.004978267677785619,0.003727742386913529,2008.0,0.003543758725538053,-0.0012363681496765733,-0.003631579425982297,-0.0008399552007614703,496.0,False,0.004822363957228853,4.0,True
worst_day_60,PRICE_TREND_RISK,5,0.9899971485169455,0.995274869965542,1,0.023545164970485078,3.243025593115563,0.0011826758696855677,2008,0.02438809890279529,1.596924123902939,496,0.005322041413585055,True,0.0036609812267675555,0.0014316689828497294,0.000655014070289847,-0.0005936670790281644,2013.0,0.002698893478867317,-0.0021104197585126877,-0.004485019216981432,-0.00172377037087386,499.0,False,0.0004976719913704707,37.0,True
best_day_60,PRICE_TREND_RISK,5,0.9899971485169455,0.995274869965542,-1,-0.025805667792228308,-3.7321085577822504,0.00018988363167471434,2008,0.024670152190852737,1.6014775101832297,496,0.001190313367658291,True,0.00412664983845028,0.0018977966609009164,0.0011192498577132007,-0.00012562303443915712,2008.0,0.002207607653154835,-0.0026026669963129115,-0.00497728156109491,-0.002215729298683384,496.0,False,0.0009638078280583201,30.0,True
mom_accel_20_60,PRICE_TREND_RISK,5,0.9876593100921728,0.9940982565577521,-1,-0.008181221036293764,-1.2998217883811223,0.19366205599519937,2008,-0.0005673654346271,-0.042036655044529865,496,0.29541669558589734,False,,,,,,,,,,,False,-9.0,59.0,False
mom_accel_60_120,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,-1,-0.012845123448347527,-2.0863499739952225,0.03694693295720608,2008,0.025226038847239347,2.120994225226945,496,0.07557327195792153,True,0.010565521182871124,0.0083573542102807,0.007580457798065861,0.006339304364721126,2008.0,0.00860558025515046,0.0038026147409621993,0.0014193039335926463,0.004187481341473214,496.0,True,0.007425705457689229,3.0,True
log_dollar_volume_20,LIQUIDITY,5,0.003631391995830414,0.0185269920718668,-1,,,,0,,,0,,False,,,,,,,,,,,False,-9.0,60.0,False
amihud_20,LIQUIDITY,5,0.003623838398335187,0.0185269920718668,-1,,,,0,,,0,,False,,,,,,,,,,,False,-9.0,61.0,False
log_dollar_volume_60,LIQUIDITY,5,0.003389676875983148,0.0185269920718668,-1,,,,0,,,0,,False,,,,,,,,,,,False,-9.0,62.0,False
amihud_60,LIQUIDITY,5,0.003382123278487921,0.0185269920718668,-1,,,,0,,,0,,False,,,,,,,,,,,False,-9.0,63.0,False
volume_surprise_20_60,LIQUIDITY,5,0.003412337668468829,0.0185269920718668,-1,,,,0,,,0,,False,,,,,,,,,,,False,-9.0,64.0,False
rel_mom_spy_5,PRICE_TREND_RISK,5,0.9989198355581825,0.9993650022878594,-1,-0.00858887499085247,-1.4275568072277254,0.15341946330983847,2008,-0.00015602153502376623,-0.012719698890358556,496,0.24848947497672993,False,,,,,,,,,,,False,-9.0,65.0,False
rel_mom_qqq_5,PRICE_TREND_RISK,5,0.9989198355581825,0.9993650022878594,-1,-0.00858887499085247,-1.4275568072277254,0.15341946330983847,2008,-0.00015602153502376623,-0.012719698890358556,496,0.24848947497672993,False,,,,,,,,,,,False,-9.0,66.0,False
rel_mom_spy_10,PRICE_TREND_RISK,5,0.9978528899119817,0.99882338659221,-1,-0.00430573648236651,-0.6779688945914151,0.4977914156922236,2008,0.006694881042831332,0.5090019227450231,496,0.6492931509029004,False,,,,,,,,,,,False,-9.0,67.0,False
rel_mom_qqq_10,PRICE_TREND_RISK,5,0.9978528899119817,0.99882338659221,-1,-0.00430573648236651,-0.6779688945914151,0.4977914156922236,2008,0.006694881042831332,0.5090019227450231,496,0.6492931509029004,False,,,,,,,,,,,False,-9.0,68.0,False
rel_mom_spy_20,PRICE_TREND_RISK,5,0.9957265522170753,0.9978708900239992,-1,-0.003081972900151566,-0.47839668119356804,0.6323678953274241,2008,0.0014238902129627472,0.10346256029040234,496,0.702630994808249,False,,,,,,,,,,,False,-9.0,69.0,False
rel_mom_qqq_20,PRICE_TREND_RISK,5,0.9957265522170753,0.9978708900239992,-1,-0.003081972900151566,-0.47839668119356804,0.6323678953274241,2008,0.0014238902129627472,0.10346256029040234,496,0.702630994808249,False,,,,,,,,,,,False,-9.0,70.0,False
rel_mom_spy_60,PRICE_TREND_RISK,5,0.9876593100921728,0.9940982565577521,1,0.0043165757178815515,0.6005202337298846,0.5481595802650201,2008,0.0011836653557292368,0.09212448423371625,496,0.675813181148655,False,,,,,,,,,,,False,-9.0,71.0,False
rel_mom_qqq_60,PRICE_TREND_RISK,5,0.9876593100921728,0.9940982565577521,1,0.0043165757178815515,0.6005202337298846,0.5481595802650201,2008,0.0011836653557292368,0.09212448423371625,496,0.675813181148655,False,,,,,,,,,,,False,-9.0,72.0,False
rel_mom_spy_120,PRICE_TREND_RISK,5,0.9762552662737537,0.9881778367122059,1,0.0200586409417109,2.535714342173383,0.011221823077659732,2008,0.025831290035988497,1.8192085391756392,496,0.027265997318912428,True,0.005637831697936443,0.003428469285351558,0.002653487815831084,0.001408337706476199,2013.0,0.0043248423461794095,-0.00047704319966940955,-0.0028599424366626968,-9.282120245156128e-05,499.0,False,0.00249676493588628,17.0,True
