feature,abs_train_ic,train_ic,selected,horizon_sessions,fold
macro_spy_ret20_z252,0.0005296121022632705,-0.0005296121022632705,False,120,WF_2023_2024
macro_qqq_ret20_z252,0.0005252607370262719,-0.0005252607370262719,False,120,WF_2023_2024
macro_qqq_vol60_z252,0.0004988231194774387,-0.0004988231194774387,False,120,WF_2023_2024
macro_tlt_ret120_z252,0.00045226861867849843,0.00045226861867849843,False,120,WF_2023_2024
macro_tlt_vol60_z252,0.00044703275253922233,-0.00044703275253922233,False,120,WF_2023_2024
macro_tlt_ret60_z252,0.0004415569776796558,-0.0004415569776796558,False,120,WF_2023_2024
macro_idx_vix_ret20_z252,0.0004002412396875623,0.0004002412396875623,False,120,WF_2023_2024
macro_uup_ret60_z252,0.0003999641202307967,0.0003999641202307967,False,120,WF_2023_2024
macro_spread_qqq_spy_20_z252,0.0003985148490402247,-0.0003985148490402247,False,120,WF_2023_2024
macro_iwm_vol20_z252,0.0003608693678755312,0.0003608693678755312,False,120,WF_2023_2024
macro_spread_hyg_tlt_20_z252,0.000338267852038957,0.000338267852038957,False,120,WF_2023_2024
macro_hyg_ret120_z252,0.00030962583978195513,-0.00030962583978195513,False,120,WF_2023_2024
macro_hyg_ret5_z252,0.0003059473426407792,-0.0003059473426407792,False,120,WF_2023_2024
macro_uup_ret20_z252,0.0002964592531822041,0.0002964592531822041,False,120,WF_2023_2024
mom_1d,0.0002932812176971113,-0.0002932812176971113,False,120,WF_2023_2024
macro_hyg_vol20_z252,0.0002924868809007294,-0.0002924868809007294,False,120,WF_2023_2024
macro_spread_qqq_spy_60_z252,0.0002825537429922767,-0.0002825537429922767,False,120,WF_2023_2024
macro_uup_ret5_z252,0.00024547193996639246,0.00024547193996639246,False,120,WF_2023_2024
macro_spread_iwm_spy_20_z252,0.00020076816554194483,-0.00020076816554194483,False,120,WF_2023_2024
ix_mom_120d__macro_uup_ret60_z252,0.00016515348239787175,-0.00016515348239787175,False,120,WF_2023_2024
macro_tlt_ret5_z252,0.0001446588339704231,-0.0001446588339704231,False,120,WF_2023_2024
macro_iwm_ret5_z252,0.0001434160085417906,-0.0001434160085417906,False,120,WF_2023_2024
macro_idx_vix_level_z252,0.00012279686028249503,0.00012279686028249503,False,120,WF_2023_2024
macro_spread_qqq_spy_120_z252,0.00011687127421974087,0.00011687127421974087,False,120,WF_2023_2024
macro_idx_vix_ret5_z252,0.00010043366855296777,0.00010043366855296777,False,120,WF_2023_2024
macro_spy_ret5_z252,6.827330795105821e-05,-6.827330795105821e-05,False,120,WF_2023_2024
macro_qqq_ret5_z252,4.49013735087893e-05,-4.49013735087893e-05,False,120,WF_2023_2024
macro_qqq_ret120_z252,4.04989109057179e-05,4.04989109057179e-05,False,120,WF_2023_2024
macro_qqq_vol20_z252,3.826581850429206e-05,3.826581850429206e-05,False,120,WF_2023_2024
macro_spy_ret120_z252,2.9032101310540465e-05,2.9032101310540465e-05,False,120,WF_2023_2024
macro_spread_hyg_tlt_60_z252,2.2497603048500156e-05,-2.2497603048500156e-05,False,120,WF_2023_2024
macro_tlt_vol20_z252,1.4605645464470458e-05,1.4605645464470458e-05,False,120,WF_2023_2024
macro_spy_vol20_z252,1.1118559576677129e-05,1.1118559576677129e-05,False,120,WF_2023_2024
downside_vol_120,0.2318520139757369,-0.2318520139757369,True,252,WF_2017_2018
fund_update_count_60d,0.22425390049175137,0.22425390049175137,True,252,WF_2017_2018
downside_vol_60,0.21996971947399924,-0.21996971947399924,True,252,WF_2017_2018
vol_120,0.21891736938091713,-0.21891736938091713,False,252,WF_2017_2018
worst_day_60,0.21603485387863228,0.21603485387863228,False,252,WF_2017_2018
vol_60,0.21063681662178513,-0.21063681662178513,True,252,WF_2017_2018
vol_20,0.1934498443138781,-0.1934498443138781,True,252,WF_2017_2018
downside_vol_20,0.1921182272539779,-0.1921182272539779,True,252,WF_2017_2018
worst_day_20,0.189149780756414,0.189149780756414,False,252,WF_2017_2018
corr_qqq_120,0.17998910486136735,0.17998910486136735,True,252,WF_2017_2018
corr_qqq_60,0.17609649413145068,0.17609649413145068,True,252,WF_2017_2018
vol_10,0.17560089486187958,-0.17560089486187958,True,252,WF_2017_2018
corr_spy_120,0.16974856187403656,0.16974856187403656,False,252,WF_2017_2018
corr_spy_60,0.16852166565252985,0.16852166565252985,False,252,WF_2017_2018
downside_vol_10,0.16700060801442512,-0.16700060801442512,True,252,WF_2017_2018
best_day_60,0.16144189274472098,-0.16144189274472098,True,252,WF_2017_2018
best_day_20,0.15911977756657608,-0.15911977756657608,True,252,WF_2017_2018
dist_high_252,0.1332253727003153,0.1332253727003153,True,252,WF_2017_2018
dist_high_120,0.1258003977966798,0.1258003977966798,True,252,WF_2017_2018
size_log_market_cap,0.12486406994060682,-0.12486406994060682,True,252,WF_2017_2018
fund_update_count_20d,0.11851905629994317,0.11851905629994317,True,252,WF_2017_2018
dist_high_60,0.11271600429526085,0.11271600429526085,True,252,WF_2017_2018
chg_assets_252d,0.10811266303515467,-0.10811266303515467,True,252,WF_2017_2018
dist_high_20,0.09052223536469356,0.09052223536469356,True,252,WF_2017_2018
ix_downside_vol_60__macro_idx_vix_level_z252,0.07725234741336082,-0.07725234741336082,True,252,WF_2017_2018
chg_net_income_252d,0.07310398377200857,-0.07310398377200857,True,252,WF_2017_2018
dist_low_20,0.07271510978128078,-0.07271510978128078,True,252,WF_2017_2018
dist_low_60,0.06988761952217343,-0.06988761952217343,True,252,WF_2017_2018
cash_yield,0.06352193539804482,0.06352193539804482,True,252,WF_2017_2018
beta_iwm_60,0.05930933102119966,-0.05930933102119966,True,252,WF_2017_2018
cash_assets,0.05776426650876671,0.05776426650876671,True,252,WF_2017_2018
dist_low_120,0.05491763891269423,-0.05491763891269423,True,252,WF_2017_2018
ix_mom_60d__macro_tlt_ret60_z252,0.05075592790853014,0.05075592790853014,True,252,WF_2017_2018
age_eps_diluted,0.05041555658671546,-0.05041555658671546,True,252,WF_2017_2018
current_ratio,0.04933414809346318,0.04933414809346318,True,252,WF_2017_2018
netinc_assets,0.047860894055525155,0.047860894055525155,True,252,WF_2017_2018
ix_mom_120d__macro_uup_ret60_z252,0.04721296000120615,0.04721296000120615,True,252,WF_2017_2018
ix_size_log_market_cap__macro_spread_iwm_spy_20_z252,0.04557944842651807,0.04557944842651807,True,252,WF_2017_2018
beta_hyg_60,0.04422795514030542,-0.04422795514030542,True,252,WF_2017_2018
dist_low_252,0.04275411878408612,-0.04275411878408612,True,252,WF_2017_2018
ix_cash_assets__macro_hyg_ret20_z252,0.038775776061509275,0.038775776061509275,True,252,WF_2017_2018
chg_operating_cash_flow_252d,0.03874110344282631,-0.03874110344282631,False,252,WF_2017_2018
beta_idx_vix_60,0.03781217058806837,0.03781217058806837,False,252,WF_2017_2018
mom_252d,0.03712869963033998,0.03712869963033998,False,252,WF_2017_2018
rel_mom_qqq_252,0.03712869963033998,0.03712869963033998,False,252,WF_2017_2018
rel_mom_spy_252,0.03712869963033998,0.03712869963033998,False,252,WF_2017_2018
age_cash,0.03694888849308484,-0.03694888849308484,False,252,WF_2017_2018
mom_skip_252_20,0.03689069020566417,0.03689069020566417,False,252,WF_2017_2018
equity_assets,0.0364963019740523,0.0364963019740523,False,252,WF_2017_2018
trend_sma_252,0.034413415403133675,0.034413415403133675,False,252,WF_2017_2018
mom_120d,0.032873196434568416,0.032873196434568416,False,252,WF_2017_2018
mom_120d_x_breadth,0.032873196434568416,0.032873196434568416,False,252,WF_2017_2018
rel_mom_qqq_120,0.032873196434568416,0.032873196434568416,False,252,WF_2017_2018
rel_mom_spy_120,0.032873196434568416,0.032873196434568416,False,252,WF_2017_2018
mom_skip_120_20,0.03159892360598718,0.03159892360598718,False,252,WF_2017_2018
fundamental_freshness_mean_days,0.025872807782299313,-0.025872807782299313,False,252,WF_2017_2018
mom_skip_60_5,0.025838691927951303,0.025838691927951303,False,252,WF_2017_2018
trend_sma_120,0.024892799403833266,0.024892799403833266,False,252,WF_2017_2018
beta_tlt_60,0.022520917677985187,0.022520917677985187,False,252,WF_2017_2018
mom_60d,0.022415122076849644,0.022415122076849644,False,252,WF_2017_2018
mom_60d_x_breadth,0.022415122076849644,0.022415122076849644,False,252,WF_2017_2018
rel_mom_qqq_60,0.022415122076849644,0.022415122076849644,False,252,WF_2017_2018
rel_mom_spy_60,0.022415122076849644,0.022415122076849644,False,252,WF_2017_2018
trend_sma_60,0.022184990167380913,0.022184990167380913,False,252,WF_2017_2018
macro_uup_level_z252,0.01964909165659571,0.01964909165659571,False,252,WF_2017_2018
earnings_yield,0.019447665999209073,-0.019447665999209073,False,252,WF_2017_2018
ocf_assets,0.019392280946116454,0.019392280946116454,False,252,WF_2017_2018
age_assets,0.01853946023765908,-0.01853946023765908,False,252,WF_2017_2018
skew_60,0.017578567573728034,0.017578567573728034,False,252,WF_2017_2018
macro_spread_qqq_spy_120_z252,0.015879648936278395,0.015879648936278395,False,252,WF_2017_2018
skew_20,0.015572639726215221,0.015572639726215221,False,252,WF_2017_2018
mom_20d,0.015226962107182801,0.015226962107182801,False,252,WF_2017_2018
mom_20d_x_breadth,0.015226962107182801,0.015226962107182801,False,252,WF_2017_2018
rel_mom_qqq_20,0.015226962107182801,0.015226962107182801,False,252,WF_2017_2018
rel_mom_spy_20,0.015226962107182801,0.015226962107182801,False,252,WF_2017_2018
beta_spy_120,0.014532078927933753,-0.014532078927933753,False,252,WF_2017_2018
macro_uup_vol60_z252,0.013024976270741779,0.013024976270741779,False,252,WF_2017_2018
ix_mom_20d__macro_tlt_ret20_z252,0.012847741148674393,0.012847741148674393,False,252,WF_2017_2018
skew_120,0.012819891487194967,0.012819891487194967,False,252,WF_2017_2018
trend_sma_20,0.012539088067637046,0.012539088067637046,False,252,WF_2017_2018
macro_qqq_level_z252,0.012430823016614708,0.012430823016614708,False,252,WF_2017_2018
macro_hyg_level_z252,0.01236602513763163,-0.01236602513763163,False,252,WF_2017_2018
ix_rel_mom_spy_20__macro_iwm_ret20_z252,0.012110877357819533,-0.012110877357819533,False,252,WF_2017_2018
mom_skip_20_5,0.011458907382007161,0.011458907382007161,False,252,WF_2017_2018
macro_spy_ret120_z252,0.011254347021157664,-0.011254347021157664,False,252,WF_2017_2018
macro_spread_qqq_spy_60_z252,0.011236113252036772,0.011236113252036772,False,252,WF_2017_2018
macro_tlt_vol60_z252,0.010559597271827504,0.010559597271827504,False,252,WF_2017_2018
macro_hyg_ret120_z252,0.010056681243335334,-0.010056681243335334,False,252,WF_2017_2018
chg_cash_252d,0.009267832798656504,0.009267832798656504,False,252,WF_2017_2018
mom_10d,0.00921755677070044,0.00921755677070044,False,252,WF_2017_2018
rel_mom_qqq_10,0.00921755677070044,0.00921755677070044,False,252,WF_2017_2018
rel_mom_spy_10,0.00921755677070044,0.00921755677070044,False,252,WF_2017_2018
macro_uup_vol20_z252,0.008689752985529133,0.008689752985529133,False,252,WF_2017_2018
macro_hyg_ret60_z252,0.008458179230972617,-0.008458179230972617,False,252,WF_2017_2018
chg_eps_diluted_252d,0.00826837260404997,-0.00826837260404997,False,252,WF_2017_2018
macro_tlt_level_z252,0.008200561519779971,-0.008200561519779971,False,252,WF_2017_2018
beta_spy_60,0.007896723480263853,-0.007896723480263853,False,252,WF_2017_2018
mom_5d,0.007886174518607273,0.007886174518607273,False,252,WF_2017_2018
rel_mom_qqq_5,0.007886174518607273,0.007886174518607273,False,252,WF_2017_2018
rel_mom_spy_5,0.007886174518607273,0.007886174518607273,False,252,WF_2017_2018
macro_tlt_vol20_z252,0.007613102091635207,0.007613102091635207,False,252,WF_2017_2018
beta_uup_60,0.007606109590936996,-0.007606109590936996,False,252,WF_2017_2018
macro_tlt_ret120_z252,0.007301410247270434,-0.007301410247270434,False,252,WF_2017_2018
mom_accel_60_120,0.006792306539847081,-0.006792306539847081,False,252,WF_2017_2018
macro_hyg_ret20_z252,0.006611393142616971,-0.006611393142616971,False,252,WF_2017_2018
macro_spy_vol60_z252,0.006558768947489953,0.006558768947489953,False,252,WF_2017_2018
ix_rel_mom_qqq_20__macro_qqq_ret20_z252,0.006463076264729217,0.006463076264729217,False,252,WF_2017_2018
macro_iwm_ret20_z252,0.005967505329012339,-0.005967505329012339,False,252,WF_2017_2018
macro_qqq_ret120_z252,0.005934406718599556,-0.005934406718599556,False,252,WF_2017_2018
macro_tlt_ret60_z252,0.0059274527150051165,-0.0059274527150051165,False,252,WF_2017_2018
macro_iwm_level_z252,0.005853016826325205,0.005853016826325205,False,252,WF_2017_2018
macro_idx_vix_vol60_z252,0.005658992307971929,0.005658992307971929,False,252,WF_2017_2018
macro_spy_vol20_z252,0.0056343110635217455,0.0056343110635217455,False,252,WF_2017_2018
macro_qqq_vol60_z252,0.005440308415228108,0.005440308415228108,False,252,WF_2017_2018
macro_qqq_vol20_z252,0.005186195709863414,0.005186195709863414,False,252,WF_2017_2018
macro_idx_vix_vol20_z252,0.005167758424911483,0.005167758424911483,False,252,WF_2017_2018
ix_earnings_yield__macro_tlt_ret60_z252,0.005057746321941213,0.005057746321941213,False,252,WF_2017_2018
macro_spy_ret60_z252,0.004600233091470018,-0.004600233091470018,False,252,WF_2017_2018
macro_idx_vix_ret120_z252,0.00448405476808538,0.00448405476808538,False,252,WF_2017_2018
macro_idx_vix_level_z252,0.004352783441910547,0.004352783441910547,False,252,WF_2017_2018
macro_spy_ret20_z252,0.0042543769353479985,-0.0042543769353479985,False,252,WF_2017_2018
macro_hyg_ret5_z252,0.00410006859381831,-0.00410006859381831,False,252,WF_2017_2018
beta_qqq_60,0.004076329544468176,0.004076329544468176,False,252,WF_2017_2018
macro_hyg_vol60_z252,0.003986398880317592,-0.003986398880317592,False,252,WF_2017_2018
macro_spread_iwm_spy_20_z252,0.0037236697150171494,-0.0037236697150171494,False,252,WF_2017_2018
mom_1d,0.0036746548343074732,0.0036746548343074732,False,252,WF_2017_2018
macro_spread_qqq_spy_20_z252,0.0033220213039561494,0.0033220213039561494,False,252,WF_2017_2018
macro_spy_level_z252,0.00331182843009523,0.00331182843009523,False,252,WF_2017_2018
macro_tlt_ret20_z252,0.0029387053122164864,-0.0029387053122164864,False,252,WF_2017_2018
macro_iwm_ret60_z252,0.0028877449517320714,-0.0028877449517320714,False,252,WF_2017_2018
macro_spread_hyg_tlt_120_z252,0.002840719112889928,0.002840719112889928,False,252,WF_2017_2018
macro_iwm_ret5_z252,0.0027433273198353082,-0.0027433273198353082,False,252,WF_2017_2018
macro_uup_ret120_z252,0.0026957602466776845,0.0026957602466776845,False,252,WF_2017_2018
