horizon_sessions,fold,expert,train_rows,test_rows,selected_features,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
120,WF_2021_2022,RIDGE_RANK_DECAY,314930,88641,40,-0.042253750849489714,-0.04247362817066001,-0.02542608234056838,0.0,1.226068339875842
120,WF_2021_2022,HGB_RANK_DECAY,314930,88641,40,-0.023132406813130644,-0.03223582044701358,0.049514176845430614,0.0,0.9279203220732696
120,WF_2021_2022,HGB_ABS_RETURN_DECAY,314930,88641,40,-0.05163783871417296,-0.08095722602796956,0.01095101439373275,0.0,1.2605907419371927
120,WF_2021_2022,HGB_BENCH_EXCESS_DECAY,314930,88641,40,-0.05073677280234778,-0.07776162158492698,0.022570075622627424,0.0,1.4154184845153706
120,WF_2021_2022,HGB_WINNER_DECAY,314930,88641,40,-0.006198646704482061,-0.021545182905684777,-0.10986811546244686,0.3333333333333333,1.7229817028801295
120,WF_2023_2024,RIDGE_RANK_DECAY,276723,82901,40,-0.027450526981355583,-0.03260502836592806,0.1092285310624165,0.0,0.9569184462685787
120,WF_2023_2024,HGB_RANK_DECAY,276723,82901,40,-0.0007111130479184064,-0.015294975946879619,0.1515396527129349,0.6666666666666666,1.2830634315056801
120,WF_2023_2024,HGB_ABS_RETURN_DECAY,276723,82901,40,0.03868776439153968,0.01206071735313675,0.1884955650465066,1.0,1.9025124138830916
120,WF_2023_2024,HGB_BENCH_EXCESS_DECAY,276723,82901,40,0.05094156905243269,0.012261982639470195,0.18054059987351662,1.0,2.091631207405994
120,WF_2023_2024,HGB_WINNER_DECAY,276723,82901,40,-0.017549116069103223,-0.05583530155012062,0.03269064412948343,0.3333333333333333,2.092120249072444
252,WF_2017_2018,RIDGE_RANK_DECAY,73618,89533,40,0.008057034738109448,-0.02781015817253893,-0.09404436717773715,0.6666666666666666,0.46352209072365624
252,WF_2017_2018,HGB_RANK_DECAY,73618,89533,40,-0.06217893610439453,-0.06414738307372593,-0.07507551066182053,0.0,0.6190877239117326
252,WF_2017_2018,HGB_ABS_RETURN_DECAY,73618,89533,40,-0.018764630367106357,-0.03384159556047053,-0.04588565090987529,0.0,1.0075822156950458
252,WF_2017_2018,HGB_BENCH_EXCESS_DECAY,73618,89533,40,-0.0033761726605121326,-0.02862724739772209,-0.02659431341731844,0.6666666666666666,1.0896702413454622
252,WF_2017_2018,HGB_WINNER_DECAY,73618,89533,40,0.021851007145370308,-0.008617416770752857,0.1011773082458338,0.6666666666666666,1.8202237352618464
252,WF_2019_2020,RIDGE_RANK_DECAY,238800,59189,40,-0.1733124572137601,-0.17781921731327716,0.2671913901341539,0.0,2.10347984701957
252,WF_2019_2020,HGB_RANK_DECAY,238800,59189,40,-0.20969210613563674,-0.22891614303006347,0.21800455975238123,0.0,2.4939987641997687
252,WF_2019_2020,HGB_ABS_RETURN_DECAY,238800,59189,40,-0.09158508249232274,-0.1973015252966352,0.20280911007693841,0.3333333333333333,3.070382609578431
252,WF_2019_2020,HGB_BENCH_EXCESS_DECAY,238800,59189,40,-0.13814762453016885,-0.20165761619647848,0.14756687622728032,0.0,3.1316332089510954
252,WF_2019_2020,HGB_WINNER_DECAY,238800,59189,40,0.0025438850740052052,-0.12637407870122258,0.0706879284604558,0.3333333333333333,3.340575398742687
