feature,family,horizon_sessions,development_coverage,validation_coverage,direction_from_development,development_mean_ic,development_hac_t,development_p,development_rich_dates,validation_aligned_ic,validation_aligned_hac_t,validation_rich_dates,development_fdr_q,development_candidate,development_top10_return,development_top10_excess_spy,development_top10_excess_qqq,development_top10_excess_uew,development_top10_dates,validation_top10_return,validation_top10_excess_spy,validation_top10_excess_qqq,validation_top10_excess_uew,validation_top10_dates,validation_confirmation,dev_score,dev_rank,recommended_for_phase2
chg_assets_252d,FUNDAMENTAL_CHANGE_FRESHNESS,10,0.5653708375044234,0.7391070620190131,1,0.024537112909262263,2.1845578272420627,0.028921282946563043,2003,0.048975155435323284,2.9488996749145335,491,0.07655633721149041,True,0.008277264871667281,0.003804412351481669,0.0023249974576889563,0.0009865529785149532,2003.0,0.021325761264099984,0.011889817074701178,0.007338697051706038,0.013317449382669317,491.0,True,0.002371987595895193,23.0,True
chg_cash_252d,FUNDAMENTAL_CHANGE_FRESHNESS,10,0.553647630095432,0.7437377395503244,1,0.01405332997678649,2.3091195604278547,0.0209369476135306,2003,0.023712294064738737,2.221953278235459,491,0.05888516516305481,True,0.008901952549586659,0.0044279653497664,0.0029762886114855216,0.0016218817732670129,2003.0,0.012429288605904401,0.003050451446359622,-0.0016297018227349844,0.004461587102427272,491.0,True,0.003008711911506311,22.0,True
fundamental_freshness_mean_days,FUNDAMENTAL_CHANGE_FRESHNESS,10,0.5759870107997328,0.7483778481967708,-1,-0.01057476469742476,-1.6614749613373485,0.09661809358795725,2003,0.010435817368635187,0.9803873515329431,491,0.1932361871759145,True,0.006065881411283069,0.0015538461571528368,0.00018481538463003047,-0.0012114882718597926,2003.0,0.009813604275155215,0.00033793978418554386,-0.004484189968991326,0.0017831246653152353,491.0,True,0.00017572442330769154,38.0,True
fund_update_count_20d,FUNDAMENTAL_CHANGE_FRESHNESS,10,1.0,1.0,1,0.016195983626884933,3.867277017146712,0.00011005738423586209,2003,0.02280558675542263,3.004339214707635,491,0.0012381455726534485,True,0.005892280825093389,0.001001226594836424,-0.00022628245435093783,-0.0019760047990197266,1661.0,0.0049348129721118955,-0.00042385148309095975,-0.003108119321649178,-0.00019240610862832948,345.0,False,-0.0004003535528447468,40.0,True
fund_update_count_60d,FUNDAMENTAL_CHANGE_FRESHNESS,10,1.0,1.0,1,0.05643287597415496,8.769224460764134,0.0,2003,0.0642667646950253,7.3495838559347355,491,0.0,True,0.011500392406321367,0.004060854704194545,0.00045967827594377183,0.0011037773680412425,1932.0,0.008870934187815975,-0.0025215218770832655,-0.009004454631347246,0.0009643433069290757,470.0,True,0.0018747701160598531,28.0,True
mom_252d,PRICE_TREND_RISK,20,0.9516855149662022,0.9788206539520025,1,0.03736278658596934,2.4874856926889177,0.012864962813487812,1993,0.07550387004604844,2.731506532094578,481,0.06432481406743906,True,0.026826754337491227,0.017646396048360338,0.014444228679751732,0.012723819649658652,2013.0,0.021061235920298255,0.002115913449180038,-0.006591701652521434,0.005900131069310252,499.0,True,0.014938148125923574,2.0,True
mom_skip_120_20,PRICE_TREND_RISK,20,0.9761905214368922,0.9880872192605993,1,0.022397256934005374,1.7844052973751583,0.07435783091241599,1993,0.04550440693553632,2.0222963386541384,481,0.19543262663496172,True,0.025629065899994474,0.016568058554698582,0.013353198810444385,0.01170019900918789,2013.0,0.019248484570775524,0.0003437150899995342,-0.008268699202653888,0.00413196836937258,499.0,True,0.01387381879144362,7.0,True
mom_skip_252_20,PRICE_TREND_RISK,20,0.9516855149662022,0.9788206539520025,1,0.04130550666544931,2.831433580205166,0.0046339856876218555,1993,0.07478832663476155,2.815342768535385,481,0.034754892657163916,True,0.026834406831280615,0.017653305035195428,0.014450749264273182,0.01273105254405121,2013.0,0.026904458136532333,0.007969177483238466,-0.0007384376184630078,0.011743353285544333,499.0,True,0.014945035614506608,1.0,True
dist_low_20,PRICE_TREND_RISK,20,0.9967656051947953,0.9982871769211524,-1,-0.019606176710795477,-2.2800286410958357,0.0226059898529547,1993,0.007282696404110785,0.34664158976417186,481,0.10708100456662753,True,0.02591146716509773,0.017351270168441787,0.0134726394944785,0.012495622526547553,1695.0,0.014947153970968977,-0.0021540548570639227,-0.009938730951668827,0.0013917645238819701,410.0,True,0.014439844063155946,5.0,True
trend_sma_252,PRICE_TREND_RISK,20,0.9611568567459556,0.9824964877504282,1,0.03091153709697983,2.0910033479775096,0.03652776386192613,1993,0.04800505088343325,1.8702934131872866,481,0.14430354640503956,True,0.025332160997351357,0.01625454000676207,0.013067618010918686,0.011342250261749289,2013.0,0.013557546293280546,-0.005376266217651367,-0.013978255062484297,-0.0016023445531400105,499.0,False,0.013554802759810016,8.0,True
dist_high_252,PRICE_TREND_RISK,20,0.9611568567459556,0.9824964877504282,1,0.032328612502259234,2.064793375040868,0.038942554978275146,1993,0.04998449420058866,1.7885302585512732,481,0.14430354640503956,True,0.01427050121127546,0.005261136802153147,0.002025861272340278,0.00044797229879462894,1983.0,0.013695128643003086,-0.00537749807624466,-0.013803480633007795,-0.0015761984782011117,486.0,False,0.0025783234577626845,24.0,True
