program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker,issuer
FREEPORT-MCMORAN INC,3:1,3,1,8434,FCX,FCX,BANCO_COMAFI
GARMIN LTD,3:1,3,1,8487,GRMN,GRMN,BANCO_COMAFI
GAZPROM PJSC-SPON ADR,2:1,2,1,8379,OGZD,OGZPY,BANCO_COMAFI
GE AEROSPACE,8:1,8,1,8020,GE,GE,BANCO_COMAFI
GENERAL MOTORS CO,6:1,6,1,8568,GM,GM,BANCO_COMAFI
GEOPARK LTD,1:1,1,1,8535,GPRK,GPRK,BANCO_COMAFI
GERDAU SA -SPON ADR,1:4,1,4,8509,GGB,GGB,BANCO_COMAFI
GILEAD SCIENCES INC,4:1,4,1,8473,GILD,GILD,BANCO_COMAFI
GLOBANT SA,18:1,18,1,8499,GLOB,GLOB,BANCO_COMAFI
GOLD FIELDS LTD-SPONS ADR,1:1,1,1,8420,GFI,GFI,BANCO_COMAFI
GOLDMAN SACHS GROUP INC,13:1,13,1,8494,GS,GS,BANCO_COMAFI
GOODYEAR TIRE & RUBBER CO./THE,2:1,2,1,8649,GT,GT,BANCO_COMAFI
GRUPO AEROPORTUARIO PAC-ADR,16:1,16,1,8405,PAC,PAC,BANCO_COMAFI
GRUPO AEROPORTUARIO SUR-ADR,20:1,20,1,8406,ASR,ASR,BANCO_COMAFI
GRUPO TELEVISA SA-SPON ADR,3:1,3,1,8219,TV,TV,BANCO_COMAFI
GSK PLC,4:1,4,1,8052,GSK,GSK,BANCO_COMAFI
HALLIBURTON CO,2:1,2,1,8536,HAL,HAL,BANCO_COMAFI
HARLEY-DAVIDSON INC,3:1,3,1,8111,HOG,HOG,BANCO_COMAFI
HARMONY GOLD MNG-SPON ADR,1:1,1,1,8421,HMY,HMY,BANCO_COMAFI
HDFC BANK LTD-ADR,2:1,2,1,8368,HDB,HDB,BANCO_COMAFI
HEALTH CARE SELECT SECTOR SPDR FUND/THE,29:1,29,1,8672,XLV,XLV,BANCO_COMAFI
HECLA MINING CO,1:1,1,1,8419,HL,HL,BANCO_COMAFI
HERSHEY CO/THE,21:1,21,1,8117,HSY,HSY,BANCO_COMAFI
HOME DEPOT INC,32:1,32,1,8176,HD,HD,BANCO_COMAFI
HON HAI PRECISION-GDR REG S,2:1,2,1,8412,HHPD,HNHPF,BANCO_COMAFI
HONDA MOTOR CO LTD-SPONS ADR,1:1,1,1,8291,HMC,HMC,BANCO_COMAFI
HONEYWELL INTERNATIONAL INC,8:1,8,1,8008,HON,HON,BANCO_COMAFI
HOWMET AEROSPACE INC,1:1,1,1,8007,HWM,HWM,BANCO_COMAFI
HP INC,1:1,1,1,8023,HPQ,HPQ,BANCO_COMAFI
HSBC HOLDINGS PLC-SPONS ADR,2:1,2,1,8231,HSBC,HSBC,BANCO_COMAFI
ICICI BANK LTD-SPON ADR,1:1,1,1,8370,IBN,IBN,BANCO_COMAFI
INDUSTRIAL SELECT SECTOR SPDR FUND/THE,28:1,28,1,8670,XLI,XLI,BANCO_COMAFI
INFOSYS LTD-SP ADR,1:1,1,1,8360,INFY,INFY,BANCO_COMAFI
ING GROEP N.V.-SPONSORED ADR,3:1,3,1,8199,ING,ING,BANCO_COMAFI
INTEL CORP,5:1,5,1,8025,INTC,INTC,BANCO_COMAFI
INTERNATIONAL PAPER CO,4:1,4,1,8026,IP,IP,BANCO_COMAFI
INTL BUSINESS MACHINES CORP,15:1,15,1,8024,IBM,IBM,BANCO_COMAFI
INTL FLAVORS & FRAGRANCES,12:1,12,1,8118,IFF,IFF,BANCO_COMAFI
INTUITIVE SURGICAL INC.,90:1,90,1,8650,ISRG,ISRG,BANCO_COMAFI
ISHARES BITCOIN TRUST,10:1,10,1,8660,IBIT,IBIT,BANCO_COMAFI
ISHARES CHINA LARGE-CAP ETF,5:1,5,1,8661,FXI,FXI,BANCO_COMAFI
ISHARES CORE MSCI EUROPE ETF,11:1,11,1,8662,IEUR,IEUR,BANCO_COMAFI
ISHARES NASDAQ BIOTECHNOLOGY ETF,27:1,27,1,8663,IBB,IBB,BANCO_COMAFI
ISHARES S&P 500 GROWTH ETF,20:1,20,1,8666,IVW,IVW,BANCO_COMAFI
ISHARES S&P 500 VALUE ETF,40:1,40,1,8665,IVE,IVE,BANCO_COMAFI
ITAU UNIBANCO H-SPON PRF ADR,1:1,1,1,8514,ITUB,ITUB,BANCO_COMAFI
JD.COM INC-ADR,4:1,4,1,8505,JD,JD,BANCO_COMAFI
JOHNSON & JOHNSON,15:1,15,1,8027,JNJ,JNJ,BANCO_COMAFI
JOHNSON CONTROLS INTERNATION,2:1,2,1,8169,JCI,JCI,BANCO_COMAFI
JOYY INC,5:1,5,1,8508,YY,YY,BANCO_COMAFI
JPMORGAN CHASE & CO,15:1,15,1,8028,JPM,JPM,BANCO_COMAFI
KB FINANCIAL GROUP INC-ADR,2:1,2,1,8410,KB,KB,BANCO_COMAFI
KIMBERLY-CLARK CORP,6:1,6,1,8122,KMB,KMB,BANCO_COMAFI
KINROSS GOLD CORP,1:1,1,1,8417,KGC,KGC,BANCO_COMAFI
