horizon_sessions,fold,expert,economic_score,worst_cut_robust_excess,positive_cut_share,winner_lift,mean_rank_ic
60,WF_2021_2022,HGB_NEWINFO_WINNER,0.005742479034204349,-0.0008952823663101955,0.6666666666666666,1.657367183957366,-0.03754816525900506
60,WF_2021_2022,HGB_NEWINFO_AVOID,-0.01472594926563757,-0.022034914625547686,0.0,0.40361756249240666,0.04086706661973166
60,WF_2021_2022,META_BLEND,-0.007353274412365642,-0.009905238195333973,0.0,1.2951915486388956,0.0019113362168159398
60,WF_2023_2024,BASE_OOF,-0.004544717167423272,-0.00955710962231437,0.3333333333333333,1.4982343102915527,0.1047557080517896
60,WF_2023_2024,RIDGE_NEWINFO,-0.003132713051154668,-0.013440939580049388,0.6666666666666666,1.3390419061173846,0.08475956612376448
60,WF_2023_2024,HGB_NEWINFO_RANK,0.002879955841256962,-0.007713280460638809,0.6666666666666666,1.2815552809842918,0.14503296159461654
60,WF_2023_2024,HGB_NEWINFO_RETURN,-0.007379186798147888,-0.011565054499156489,0.0,1.6621563853137336,0.12543601478690833
60,WF_2023_2024,HGB_NEWINFO_WINNER,0.018321331779504083,0.005533147216471203,1.0,2.0665450586637655,0.06553460073626319
60,WF_2023_2024,HGB_NEWINFO_AVOID,-0.045495546468628044,-0.048071290126859456,0.0,0.36276042756399907,0.031032183258614694
60,WF_2023_2024,META_BLEND,0.012952711071660678,0.0029354453584476015,1.0,1.6562094930585858,0.14310032683187576
120,WF_2019_2020,BASE_OOF,0.009441920891635834,-0.03861308953839853,0.6666666666666666,2.3996189768837675,0.1135899637036933
120,WF_2019_2020,RIDGE_NEWINFO,0.015058615222240645,-0.02682549251690598,0.6666666666666666,2.526480639846986,0.1498280869261357
120,WF_2019_2020,HGB_NEWINFO_RANK,-8.93058210138196e-05,-0.031761247418736885,0.6666666666666666,1.9978439036375353,0.12721901606806632
120,WF_2019_2020,HGB_NEWINFO_RETURN,0.002180518105387625,-0.030242195174998435,0.3333333333333333,2.2783895704189265,0.08304910309391401
120,WF_2019_2020,HGB_NEWINFO_WINNER,-0.008249285607428351,-0.0406955962887433,0.3333333333333333,2.1953140443490726,0.07510410251992565
120,WF_2019_2020,HGB_NEWINFO_AVOID,-0.10002699132357189,-0.10226603514427568,0.0,0.47869430577647826,0.09321195310100795
120,WF_2019_2020,META_BLEND,0.0158650847379851,-0.021310114799103465,0.6666666666666666,2.2145430724747577,0.13840351810522608
120,WF_2021_2022,BASE_OOF,-0.02151465571075536,-0.04480506963734972,0.0,1.3785063822352512,-0.0025418922801231586
120,WF_2021_2022,RIDGE_NEWINFO,-0.0342046643497817,-0.03561375895040167,0.0,1.19259207121029,-0.029201565419497436
120,WF_2021_2022,HGB_NEWINFO_RANK,0.008825200336311718,-0.004997737169686644,0.6666666666666666,1.3716298749262597,-0.03635873134444048
120,WF_2021_2022,HGB_NEWINFO_RETURN,-0.01947610132692427,-0.023921181912173618,0.0,1.4760942214716835,-0.05975110439022561
120,WF_2021_2022,HGB_NEWINFO_WINNER,-0.02450376616701375,-0.04084625441479491,0.0,1.4016664946134603,-0.05999707303667596
120,WF_2021_2022,HGB_NEWINFO_AVOID,-0.07167491446595911,-0.08622532155410924,0.0,0.5796838373656485,0.013832071515652923
120,WF_2021_2022,META_BLEND,-0.03336780216027712,-0.035843106608422846,0.0,1.3338200796430877,-0.03771315486635894
120,WF_2023_2024,BASE_OOF,0.024972948221179486,0.008838807630511038,1.0,1.6916255733908954,0.16680621618111544
120,WF_2023_2024,RIDGE_NEWINFO,0.038889240260028914,0.02692475896654182,1.0,1.8164463761121898,0.1697425822551814
120,WF_2023_2024,HGB_NEWINFO_RANK,0.056486629219495495,0.017238512865743048,1.0,1.974989077269114,0.22148196854382315
120,WF_2023_2024,HGB_NEWINFO_RETURN,0.06277244482025555,0.01633523471121553,1.0,2.072379593694082,0.1939659358464843
120,WF_2023_2024,HGB_NEWINFO_WINNER,0.042947555602678315,0.01850810293446379,1.0,2.259761720032228,0.10592097736404386
120,WF_2023_2024,HGB_NEWINFO_AVOID,-0.05169951427895122,-0.05914743628806796,0.0,0.6398330439547302,0.05843228237105569
120,WF_2023_2024,META_BLEND,0.0514635697931351,0.02370600203127476,1.0,1.9534725678263885,0.22709285505187918
252,WF_2019_2020,BASE_OOF,-0.08281675718777474,-0.1774856673864821,0.3333333333333333,3.23469995023273,0.20191612291761302
