lifecycle_id,sample,ticker,entry_signal_date,entry_execution_date,exit_date,exit_reason,status,entry_weight,entry_notional_nav_units,held_sessions,exposure_nav_days,gross_pnl_nav_units,benchmark_pnl_nav_units,gross_active_pnl_nav_units,allocated_cost_nav_units,entry_trade_nav_units,resize_trade_nav_units,exit_trade_nav_units,terminal_exit_weight,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,reversal_signature_pctile,ret_60d_pctile,expected_active_total,effective_horizon_sessions,model_target_weight,entry_anatomy_class,net_pnl_nav_units,net_active_pnl_nav_units,net_daily_return_on_exposure,net_daily_active_on_exposure
PRE2025_OOF_002383,PRE2025_OOF,CRWD,2023-01-17,2023-01-18,2023-01-19,POLICY_EXIT,CLOSED,0.0027369579077530302,0.0076606689774237876,1,0.0076606689774237876,-8.72255545870355e-05,-4.5830510366850046e-05,-4.139504422018545e-05,1.5234280005395596e-05,0.007660836582558845,0.0,0.007573443422836751,0.0,-0.0918340530026302,-0.3153926517533854,-0.382691958175205,-0.4029159293911507,-0.3660535238651895,-0.5646210287691089,0.0669009172199651,0.9487595732364488,0.9863636363636364,0.0275229357798165,0.0028832523428239,39.10954825223386,0.002736957907753,DEEP_REVERSAL_BROKEN_1Y,-0.00010245983459243108,-5.6629324225581044e-05,-0.013374789446506979,-0.007392216579579316
PRE2025_OOF_002384,PRE2025_OOF,OXY,2023-01-18,2023-01-19,2023-01-20,POLICY_EXIT,CLOSED,0.00970584596026752,0.027000432435002955,1,0.027000432435002955,0.0005098333019428642,0.0005639418550624916,-5.410855311962744e-05,5.451171526714462e-05,0.027001449530198805,0.0,0.02751026573694582,0.0,0.0302253773962593,-0.0624298441691526,0.0302939673044286,0.8293031271038758,-0.1503001847018245,-0.1503001847018245,0.7308995408245995,0.5537657427612813,0.6227272727272727,0.1330275229357798,0.0026619828748617,28.467414756094342,0.0097994941436657,SHORT_PULLBACK_POSITIVE_1Y,0.0004553215866757196,-0.00010862026838677206,0.01686349238190154,-0.004022908471864264
PRE2025_OOF_002385,PRE2025_OOF,HLX,2023-01-19,2023-01-20,2023-01-26,POLICY_EXIT,CLOSED,0.0033199893152906766,0.009486418859735718,4,0.03798062387220014,0.00039420087479587093,0.00026016906298093046,0.00013403181181494053,1.9366489123862114e-05,0.009486894536762196,0.0,0.009879594587099918,0.0,0.2431118284363111,0.6181435541471756,0.9870467058920828,1.112947612806138,-0.0460198864819155,-0.0460198864819155,0.9332130165872196,0.0728362867077206,0.009090909090909,0.9954128440366972,0.00307812256102,32.63062213276365,0.0033208510563877,POSITIVE_MOMENTUM,0.0003748343856720088,0.00011466532269107841,0.009869095013638475,0.0030190478986578083
PRE2025_OOF_002386,PRE2025_OOF,PLTR,2023-01-19,2023-01-20,2023-02-01,POLICY_EXIT,CLOSED,0.004532975212154974,0.01295236142636095,8,0.10682991370672257,0.0021289779853935742,0.0006704451530929573,0.0014585328323006167,2.8029168369405995e-05,0.012953010895972217,0.00038514296646857,0.014691014506965208,0.0,0.0598425386059759,-0.1881785223109748,-0.3356367282287124,-0.5504342084818659,-0.2343572186256609,-0.5504342084818659,0.0813823854338957,0.7969378020496533,0.9272727272727272,0.073394495412844,0.0041176036595034,36.45041908724917,0.0045341517975777,DEEP_REVERSAL_BROKEN_1Y,0.0021009488170241684,0.0014305036639312106,0.019666297052264307,0.013390478512023662
PRE2025_OOF_002387,PRE2025_OOF,FCX,2023-01-20,2023-01-23,2023-02-17,POLICY_EXIT,CLOSED,0.00330673435396775,0.009620509202699466,19,0.9444181542321054,-0.004222410774070513,-0.0001250306265963855,-0.004097380147474128,0.0001655999415702021,0.009620826039686448,0.08852846710134235,0.06745064842917331,0.0,0.2053124837950293,0.4673367541290543,0.4516324891412393,0.0482012888389373,0.0,-0.1102500435830794,0.7849071821337148,0.2002339754209177,0.0863636363636363,0.9541284403669724,0.0022104490910988,41.34016733814575,0.0033067343539677,POSITIVE_MOMENTUM,-0.004388010715640715,-0.00426298008904433,-0.004646258329509296,-0.004513869274898157
PRE2025_OOF_002388,PRE2025_OOF,DDOG,2023-01-24,2023-01-25,2023-02-02,POLICY_EXIT,CLOSED,0.004811207153308373,0.014136255077505976,6,0.07585264053128254,0.002145437324759398,0.00053782592887268,0.0016076113958867176,3.04141784235343e-05,0.014136792311226198,0.006745171946002194,0.009532214166305899,0.0,0.0101440099262661,-0.0958281909029907,-0.3072294769328271,-0.4130625197115475,-0.1441346835382917,-0.5779495998544385,0.091719188853256,0.8675994264626915,0.968181818181818,0.1192660550458715,0.004067567455022,26.38301232555873,0.0048112071533083,DEEP_REVERSAL_BROKEN_1Y,0.0021150231463358633,0.0015771972174631833,0.027883316012757686,0.020792911181684283
PRE2025_OOF_002389,PRE2025_OOF,OXY,2023-01-24,2023-01-25,2023-01-27,POLICY_EXIT,CLOSED,0.015356398988446526,0.0451200636878337,2,0.09128449895962104,0.0014187988219858325,0.0006839285530465969,0.0007348702689392356,9.16575432100371e-05,0.04512177842908156,0.0007497774669290288,0.0457859873140265,0.0,0.0425567492502798,-0.109738807667873,-0.0056576477528608,0.9249968147400592,-0.1501681169454353,-0.1501681169454353,0.7311359975791744,0.5970828049249565,0.6818181818181818,0.1009174311926605,0.0044579152493609,29.20530925027603,0.0153563989884465,SHORT_PULLBACK_POSITIVE_1Y,0.0013271412787757954,0.0006432127257291985,0.014538517425207599,0.007046242604822955
PRE2025_OOF_002390,PRE2025_OOF,REGN,2023-01-25,2023-01-26,2023-02-27,POLICY_EXIT,CLOSED,0.022955210680434608,0.06886377377638794,21,1.2552518728599258,0.0011720632764581572,-0.0002278299438501596,0.0013998932203083169,0.00020890629780152803,0.0688683946777042,0.10986783667848538,0.030170066445338456,0.0,0.0198696191358198,0.0224865149161435,0.2175040477303258,0.1926047613698989,-0.0328943750809942,-0.0328943750809942,0.884379353314665,0.4216082846816792,0.3909090909090909,0.3256880733944954,0.0033836455851481,30.53644861272732,0.0233280116207957,POSITIVE_MOMENTUM,0.0009631569786566292,0.0011909869225067888,0.0007673017658696681,0.0009488031432235845
PRE2025_OOF_002391,PRE2025_OOF,SNPS,2023-01-27,2023-01-30,2023-02-02,POLICY_EXIT,CLOSED,0.004603920535600578,0.01337392638704924,3,0.04092341641180433,0.0007151382202797931,0.000707271334272392,7.866886007401136e-06,2.746221147539213e-05,0.013374890400585284,0.0,0.014087321074806841,0.0,0.1330753600582574,0.2212271540633392,-0.0454728129062714,0.2381133630316383,-0.0015929111615586,-0.0849789272788293,0.7440208561071284,0.3209341117597998,0.2045454545454545,0.7889908256880734,0.0020797030577696,44.13568765827761,0.0046637766812746,POSITIVE_MOMENTUM,0.000687676008804401,-1.9595325467990993e-05,0.01680397359507945,-0.0004788291688750291
PRE2025_OOF_002392,PRE2025_OOF,AMZN,2023-01-27,2023-01-30,2023-02-01,POLICY_EXIT,CLOSED,0.004704119568650904,0.013664994506428446,2,0.02749780400623779,0.0006215704428679845,0.0004881353125834533,0.00013343513028453116,2.7951698336503747e-05,0.01366597950060988,0.00018196649662055068,0.01410375233927332,0.0,0.2495722102799891,-0.0019524069979509,-0.2738636672743089,-0.2637851290848143,-0.0019524069979509,-0.3961551168559262,0.2333847365899193,0.6357276897414512,0.7227272727272728,0.2798165137614679,0.0021473771200088,28.56700773977859,0.0047652784144633,MIXED_OTHER,0.0005936187445314807,0.00010548343194802741,0.02158786004863589,0.0038360674883019326
PRE2025_OOF_002393,PRE2025_OOF,CRWD,2023-01-27,2023-01-30,2023-01-31,POLICY_EXIT,CLOSED,0.0018601177211807103,0.005403455007954738,1,0.005403455007954738,0.00024146832323969594,9.943136826492652e-05,0.0001420369549747694,1.1048767828639267e-05,0.005403844497444834,0.0,0.005644923331194434,0.0,0.0439175613230908,-0.3526674910073006,-0.4541507586253026,-0.3516217416977361,-0.3526674910073006,-0.5649545642933776,0.066349712649267,0.8772206005004171,0.9727272727272728,0.0229357798165137,0.0021237901077159,38.16106093028414,0.0018843013439059,DEEP_REVERSAL_BROKEN_1Y,0.00023041955541105668,0.00013098818714613015,0.04264300435033562,0.02424156154780504
PRE2025_OOF_002394,PRE2025_OOF,OXY,2023-01-30,2023-01-31,2023-02-08,POLICY_EXIT,CLOSED,0.009648618392511394,0.02835646173840015,6,0.24855843337435418,0.0005937555858157332,0.00017510073590316206,0.0004186548499125714,0.00010790974463421914,0.02835819622208016,0.025724542820688808,0.053827005591450185,0.0,0.0297046079586655,-0.1292529015045034,0.0724631808891762,0.7355377247113783,-0.1541251629130575,-0.1541251629130575,0.6993355142899731,0.6009174311926605,0.6818181818181818,0.0963302752293578,0.0030637312843995,28.301849785221165,0.0096486183925113,SHORT_PULLBACK_POSITIVE_1Y,0.0004858458411815141,0.00031074510527835225,0.001954654423049815,0.0012501893460614899
PRE2025_OOF_002395,PRE2025_OOF,META,2023-01-30,2023-01-31,2023-02-06,POLICY_EXIT,CLOSED,0.004226486350291413,0.012421280809792106,4,0.05817102054449932,0.0030667907649425483,8.625067170967511e-05,0.002980540093232873,3.248239010652425e-05,0.012422040584020928,0.005140040330902307,0.014920309191601012,0.0,0.2228503620011463,0.5447478546102889,-0.1362114633354236,-0.5008824834249634,-0.0308423750130099,-0.544705848601501,0.2484087494344585,0.4557339449541284,0.4409090909090909,0.9770642201834864,0.0021971537203865,31.86543209069496,0.0042264863502914,MIXED_OTHER,0.003034308374836024,0.002948057703126349,0.0521618556187244,0.05067914703114348
PRE2025_OOF_002396,PRE2025_OOF,HLX,2023-02-01,2023-02-02,2023-03-20,POLICY_EXIT,CLOSED,0.005177092164645775,0.015412753108215627,31,0.4836720744065284,-0.0003297639452369015,-0.0011285365380411284,0.000798772592804227,4.3210095902931634e-05,0.015414249077829048,0.0175299014268241,0.01026594539827848,0.0,0.1084165088773334,0.1511111082854095,0.9376557449955883,1.2011331569125887,-0.0335820873392498,-0.0335820873392498,0.9512635410134184,0.3033152627189324,0.1818181818181818,0.5412844036697247,0.0031105890170142,33.6921298037068,0.0051770921646457,POSITIVE_MOMENTUM,-0.00037297404113983317,0.0007555624969012954,-0.0007711299884275455,0.0015621379378339755
PRE2025_OOF_002397,PRE2025_OOF,KEEL,2023-02-01,2023-02-02,2023-02-10,POLICY_EXIT,CLOSED,0.0003746503748013922,0.0011153739483618795,6,0.00620124828128747,-0.00024100501321532535,-3.133427074990306e-05,-0.0002096707424654223,1.9894018020506563e-06,0.0011154822071215336,8.148853055118074e-06,0.0008657707418740042,0.0,1.5995317336116188,0.25,-0.354651165208409,-0.6967213146790994,-0.0593219799613216,-0.7477272749439743,0.1815920400222939,0.5392306088407006,0.5681818181818182,0.7385321100917431,0.0024276264288294,34.521296373906814,0.0003746503748013,MIXED_OTHER,-0.000242994415017376,-0.00021166014426747296,-0.039184758293039475,-0.034131860984532164
PRE2025_OOF_002398,PRE2025_OOF,TEAM,2023-02-02,2023-02-03,2023-02-06,POLICY_EXIT,CLOSED,0.002460842159445884,0.007240504489527692,1,0.007240504489527692,0.0001312952801646589,-5.643531813614146e-05,0.00018773059830080036,1.4613042165119646e-05,0.007241242395427296,0.0,0.007371799769692351,0.0,0.4431171001589196,0.4742584556140115,-0.3386148958097968,-0.4402368846615898,0.0,-0.4730471408240398,0.2874858812053314,0.4557964970809007,0.4136363636363636,0.9495412844036696,0.0035519485834079,34.7556340636987,0.0024608421594458,MIXED_OTHER,0.00011668223799953927,0.00017311755613568072,0.016115208293607537,0.02390959861789595
PRE2025_OOF_002399,PRE2025_OOF,SLB,2023-02-02,2023-02-03,2023-04-05,POLICY_EXIT,CLOSED,0.027425703736081476,0.08069429819678818,42,2.121886843150704,-0.007329513426678208,-0.0010890607984196956,-0.00624045262825851,0.00028393050365946445,0.08070252204345382,0.17212537134642505,0.031102610269585475,0.0,0.0114120721139985,-0.0118886593990314,0.4288700080458829,0.3428082555719314,-0.105542063023211,-0.105542063023211,0.7746553615226083,0.5643140116763969,0.6409090909090909,0.2018348623853211,0.0097945332269496,30.965388202928047,0.0274257037360814,SHORT_PULLBACK_POSITIVE_1Y,-0.0076134439303376725,-0.006524383131917975,-0.0035880536961305524,-0.0030748025762911005
PRE2025_OOF_002400,PRE2025_OOF,SNPS,2023-02-03,2023-02-06,2023-02-08,POLICY_EXIT,CLOSED,0.0065203201047154356,0.019041484729016896,2,0.03835516909237309,3.4775217998161696e-05,2.6375737067377405e-05,8.39948093078429e-06,3.811827065229558e-05,0.019043030381208418,8.542514005070855e-05,0.018989815131036453,0.0,0.1472828613444763,0.2884183652877858,-0.0622665002282643,0.1451382848585709,-0.0193982310087708,-0.074298908589207,0.776191914609187,0.2512920298879203,0.109090909090909,0.863013698630137,0.0027174282659733,37.52405487856574,0.0065421820055375,POSITIVE_MOMENTUM,-3.343052654133886e-06,-2.971878972151129e-05,-8.716042017915782e-05,-0.0007748314092929097
