window_end,window_months,strategy_cagr,benchmark_cagr,cagr_spread,strategy_vol,benchmark_vol,strategy_mdd,benchmark_mdd,profile
2024-02,36,0.2806851196380604,0.11774504951036957,0.16294007012769085,0.24320290734497554,0.17695395178524087,-0.18734415710898544,-0.2392718238921987,AGGRESSIVE
2024-03,36,0.2957447436107794,0.11320135183951807,0.18254339177126133,0.24362313655954196,0.17624811622669043,-0.18734415710898544,-0.2392718238921987,AGGRESSIVE
2024-04,36,0.2900176037336637,0.07932467184838798,0.2106929318852757,0.2438207154730352,0.17672809414277244,-0.18734415710898555,-0.2392718238921986,AGGRESSIVE
2024-05,36,0.27888761102762927,0.09483233890223097,0.1840552721253983,0.24329207849921602,0.17845395059265734,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2024-06,36,0.25130156271146187,0.09940105689200318,0.1519005058194587,0.2397878532628928,0.1789422876631625,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2024-07,36,0.2379424473222984,0.09498188241501682,0.1429605649072816,0.24088068357200568,0.17872523950088479,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2024-08,36,0.2376079631373187,0.0927108028575705,0.1448971602797482,0.2408546437352466,0.17850722356485452,-0.18734415710898544,-0.23927182389219848,AGGRESSIVE
2024-09,36,0.26639437697429114,0.11795304560775222,0.14844133136653892,0.23728891331079133,0.17556769154327656,-0.18734415710898544,-0.2392718238921987,AGGRESSIVE
2024-10,36,0.23747371520934224,0.08970570140886314,0.1477680138004791,0.23622957975761869,0.1722734588605648,-0.18734415710898544,-0.23927182389219837,AGGRESSIVE
2024-11,36,0.26485419055102977,0.1139414043051632,0.15091278624586657,0.2416744567456062,0.17447711171030975,-0.18734415710898544,-0.2392718238921986,AGGRESSIVE
2024-12,36,0.241230776466407,0.08840820691148954,0.15282256955491746,0.2442702238269135,0.17422843782554917,-0.18734415710898544,-0.20246994592948386,AGGRESSIVE
2025-01,36,0.32443602185051756,0.11807828558125144,0.20635773626926612,0.23175771016764724,0.1706890291902919,-0.18734415710898544,-0.20246994592948386,AGGRESSIVE
2025-02,36,0.3166606436758057,0.12450136900401931,0.1921592746717864,0.23159916392738666,0.1696087672051668,-0.18734415710898544,-0.20246994592948386,AGGRESSIVE
2025-03,36,0.2760251998452714,0.08972879400374922,0.18629640584152218,0.23057687771871224,0.1731121706790753,-0.18734415710898544,-0.12947580732442365,AGGRESSIVE
2025-04,36,0.3018075115414274,0.12035643991338052,0.18145107162804686,0.22866337813723947,0.16381989066790525,-0.18734415710898544,-0.12947580732442376,AGGRESSIVE
2025-05,36,0.2891445845902969,0.14249193461113285,0.14665264997916405,0.22810267060905226,0.16647484988272912,-0.09358825750916655,-0.12947580732442376,AGGRESSIVE
2025-06,36,0.4013326003717823,0.1955440252503149,0.20578857512146742,0.19084049006792533,0.1580813730553245,-0.09358825750916655,-0.12947580732442376,AGGRESSIVE
2025-07,36,0.3406660452237731,0.16979426167326572,0.17087178355050736,0.18228417497081617,0.1515800747210849,-0.09358825750916655,-0.09244592114023042,AGGRESSIVE
2025-08,36,0.35777411865527187,0.19420937415505657,0.1635647445002153,0.18385518071075307,0.14806086711948038,-0.05389106130447796,-0.08325822739561528,AGGRESSIVE
2025-09,36,0.4373237953269271,0.24792885896504036,0.18939493636188676,0.17125556904890551,0.13373185906013224,-0.05389106130447796,-0.08325822739561539,AGGRESSIVE
2025-10,36,0.3581695804114051,0.22542865313964322,0.1327409272717619,0.14218584905891085,0.1286263940148398,-0.05389106130447796,-0.08325822739561528,AGGRESSIVE
2025-11,36,0.34386422252028526,0.20430939464434572,0.13955482787593954,0.14161519516856366,0.12693297598191308,-0.04925053257347045,-0.08325822739561517,AGGRESSIVE
2025-12,36,0.37002773958389756,0.228700597134593,0.14132714244930455,0.13430200988097207,0.11953915849571656,-0.04925053257347045,-0.08325822739561517,AGGRESSIVE
2026-01,36,0.3886503265394532,0.20985948367653795,0.17879084286291524,0.14222972387381994,0.11651827042184833,-0.039468685536223846,-0.08325822739561539,AGGRESSIVE
2026-02,36,0.4249051919226632,0.2166474268442098,0.2082577650784534,0.14221134292191784,0.11487198379403922,-0.03946868553622396,-0.08325822739561517,AGGRESSIVE
2026-03,36,0.4392140651857772,0.18185268890915807,0.25736137627661915,0.14090705187526875,0.12040400927932603,-0.039468685536223846,-0.08325822739561539,AGGRESSIVE
2026-04,36,0.48526467384055794,0.21543017343716198,0.26983450040339596,0.1354778091738285,0.13124750387646597,-0.039468685536223846,-0.08325822739561528,AGGRESSIVE
2026-05,36,0.4394174624439584,0.2344910352424716,0.2049264272014868,0.14150193830704172,0.1326046714092564,-0.04012246173687539,-0.0832582273956155,AGGRESSIVE
2026-06,36,0.4484363921085597,0.20476105483392204,0.24367533727463764,0.14537254554583082,0.1306711480876373,-0.04012246173687539,-0.08325822739561528,AGGRESSIVE
2026-07,36,0.39848014146856214,0.19203386585984883,0.20644627560871331,0.15224884552724022,0.13061454705021133,-0.05031399116742008,-0.0757899316873828,AGGRESSIVE
2026-08,36,0.39630886646824925,0.20917499388040306,0.1871338725878462,0.15264395114357657,0.12939411151956903,-0.060901486260899085,-0.07578993168738268,AGGRESSIVE
2026-09,36,0.41082450893153655,0.2305963341315953,0.18022817479994124,0.15147168742824652,0.12395394292951373,-0.060901486260899196,-0.07578993168738268,AGGRESSIVE
2017-02,36,0.1223933453104249,0.1050016687793145,0.0173916765311104,0.11735923700997654,0.10394331011730985,-0.09498519528171323,-0.08491111980164268,CONTROLLED
2017-03,36,0.1437057217707347,0.10242191258626021,0.041283809184474496,0.11206937553824796,0.10403432213073477,-0.09498519528171312,-0.08491111980164268,CONTROLLED
2017-04,36,0.15010735201204484,0.10350645697382688,0.04660089503821796,0.11183742431818618,0.10403240788722247,-0.09498519528171323,-0.08491111980164268,CONTROLLED
2017-05,36,0.14867870627091961,0.10022768640009816,0.048451019870821455,0.11151118804660656,0.10372896323800938,-0.09498519528171312,-0.08491111980164257,CONTROLLED
2017-06,36,0.1293753677852565,0.09507603906499584,0.03429932872026065,0.11228179887601165,0.10347936321931904,-0.09498519528171334,-0.08491111980164268,CONTROLLED
2017-07,36,0.1564204680458301,0.10751106706275837,0.04890940098307173,0.11782443962332088,0.10292143987057849,-0.09498519528171356,-0.08491111980164257,CONTROLLED
2017-08,36,0.12824780447275885,0.09437654546702956,0.03387125900572929,0.11163255128046005,0.10136009600842608,-0.09498519528171312,-0.08491111980164257,CONTROLLED
2017-09,36,0.15665491424413447,0.10679150209275323,0.04986341215138124,0.10272149434162131,0.10075543720201999,-0.09498519528171312,-0.08491111980164279,CONTROLLED
2017-10,36,0.16740471774984345,0.10679646889007244,0.06060824885977101,0.10314499974275744,0.10075612455842595,-0.09498519528171323,-0.08491111980164268,CONTROLLED
