profile,month,return_1m,description
CORE,2015-05,0.0309525116039314,100% final optimizer; default production research profile
CORE,2015-06,0.0192606717765137,100% final optimizer; default production research profile
CORE,2015-07,0.0241570290863272,100% final optimizer; default production research profile
CORE,2015-08,-0.0392788963537662,100% final optimizer; default production research profile
CORE,2015-09,-0.0509315602725471,100% final optimizer; default production research profile
CORE,2015-10,0.0562431767268884,100% final optimizer; default production research profile
CORE,2015-11,0.013761915028412,100% final optimizer; default production research profile
CORE,2015-12,-0.0374479700901103,100% final optimizer; default production research profile
CORE,2016-01,-0.0795858260550498,100% final optimizer; default production research profile
CORE,2016-02,0.0154742662334622,100% final optimizer; default production research profile
CORE,2016-03,0.0938957915433437,100% final optimizer; default production research profile
CORE,2016-04,0.0573579245446973,100% final optimizer; default production research profile
CORE,2016-05,-0.0496750252111514,100% final optimizer; default production research profile
CORE,2016-06,0.0227179136144013,100% final optimizer; default production research profile
CORE,2016-07,0.068194818982419,100% final optimizer; default production research profile
CORE,2016-08,0.0010808558581483,100% final optimizer; default production research profile
CORE,2016-09,0.0207013514686503,100% final optimizer; default production research profile
CORE,2016-10,0.0866570507744845,100% final optimizer; default production research profile
CORE,2016-11,0.019844903777949,100% final optimizer; default production research profile
CORE,2016-12,-0.002951123782181,100% final optimizer; default production research profile
CORE,2017-01,0.0363516771710471,100% final optimizer; default production research profile
CORE,2017-02,0.0224667255265626,100% final optimizer; default production research profile
CORE,2017-03,0.0092403117692322,100% final optimizer; default production research profile
CORE,2017-04,0.022554676016541,100% final optimizer; default production research profile
CORE,2017-05,0.0535236834645146,100% final optimizer; default production research profile
CORE,2017-06,-0.0275257609118565,100% final optimizer; default production research profile
CORE,2017-07,0.105113849624651,100% final optimizer; default production research profile
CORE,2017-08,-4.1582761168379455e-05,100% final optimizer; default production research profile
CORE,2017-09,0.0132069093183681,100% final optimizer; default production research profile
CORE,2017-10,0.0448112684341735,100% final optimizer; default production research profile
CORE,2017-11,-0.0012501669749789,100% final optimizer; default production research profile
CORE,2017-12,0.0170211857841143,100% final optimizer; default production research profile
CORE,2018-01,0.1836001997816182,100% final optimizer; default production research profile
CORE,2018-02,0.0091309179322025,100% final optimizer; default production research profile
CORE,2018-03,-0.017936835506401,100% final optimizer; default production research profile
CORE,2018-04,0.0144440036762264,100% final optimizer; default production research profile
CORE,2018-05,0.003545530924282,100% final optimizer; default production research profile
CORE,2018-06,0.0325502136394854,100% final optimizer; default production research profile
CORE,2018-07,-0.0044602211603819,100% final optimizer; default production research profile
CORE,2018-08,0.0549034887786711,100% final optimizer; default production research profile
CORE,2018-09,0.0169083256031595,100% final optimizer; default production research profile
CORE,2018-10,-0.0597563743662967,100% final optimizer; default production research profile
CORE,2018-11,0.0070338385989776,100% final optimizer; default production research profile
CORE,2018-12,-0.0841582814979285,100% final optimizer; default production research profile
CORE,2019-01,0.0549233090229918,100% final optimizer; default production research profile
CORE,2019-02,0.0427109872041124,100% final optimizer; default production research profile
CORE,2019-03,0.0322494195876876,100% final optimizer; default production research profile
CORE,2019-04,0.0099295701758354,100% final optimizer; default production research profile
CORE,2019-05,-0.1106042049907784,100% final optimizer; default production research profile
CORE,2019-06,0.0961616415526122,100% final optimizer; default production research profile
CORE,2019-07,0.0028704724176538,100% final optimizer; default production research profile
CORE,2019-08,-0.0001041784129142,100% final optimizer; default production research profile
CORE,2019-09,-0.0071578376882222,100% final optimizer; default production research profile
CORE,2019-10,-0.0002498942070255,100% final optimizer; default production research profile
CORE,2019-11,-0.0014720294086685,100% final optimizer; default production research profile
CORE,2019-12,0.0428420583778591,100% final optimizer; default production research profile
CORE,2020-01,-0.0561911523415857,100% final optimizer; default production research profile
CORE,2020-02,-0.0293723594588995,100% final optimizer; default production research profile
CORE,2020-03,-0.0645019024973664,100% final optimizer; default production research profile
CORE,2020-04,0.1861860568450139,100% final optimizer; default production research profile
CORE,2020-05,0.0451517710814845,100% final optimizer; default production research profile
CORE,2020-06,0.0674746729223512,100% final optimizer; default production research profile
