period_start,period_end,alpha_engine_wealth,alpha_engine_drawdown,spy_wealth,spy_drawdown
2019-03-29,2019-04-30,2.805774788730433,-0.005590056475902161,1.7503809166688493,0.0
2019-04-30,2019-05-31,2.4954442988397343,-0.11557597771430983,1.6387563337411346,-0.06377159500810115
2019-05-31,2019-06-28,2.735410319019271,-0.030528311902753624,1.7527921335893037,0.0
2019-06-28,2019-07-31,2.7432622388909813,-0.027745470162374164,1.7792924690871381,0.0
2019-07-31,2019-08-30,2.742976450184726,-0.027846758096241375,1.7495019598593553,-0.016742896260931617
2019-08-30,2019-09-30,2.723342669971688,-0.03480527320986737,1.783543692211042,0.0
2019-09-30,2019-10-31,2.7226621224147167,-0.03504646978074388,1.822968352600996,0.0
2019-10-31,2019-11-29,2.7186542837006544,-0.03646690975522504,1.8889564344157599,0.0
2019-11-29,2019-12-31,2.8351270292321744,0.0,1.9438407864873997,0.0
2019-12-31,2020-01-31,2.675817974424842,-0.05619115234158567,1.943055851972917,-0.0004038059700871566
2020-01-31,2020-02-28,2.597222887033451,-0.08391304507549846,1.7892323443569593,-0.07953760575722058
2020-02-28,2020-03-31,2.429697069610091,-0.14300239652114788,1.5658086812099279,-0.19447688715318678
2020-03-31,2020-04-30,2.8820727863286795,0.0,1.7646405603486148,-0.09218873653876103
2020-04-30,2020-05-29,3.0122034770171684,0.0,1.8487171163341902,-0.04893593694219256
2020-05-29,2020-06-30,3.215450921404471,0.0,1.8815031961008857,-0.032069288194719214
2020-06-30,2020-07-31,3.5322846294673034,0.0,1.9923085718710978,0.0
2020-07-31,2020-08-31,3.782175356797011,0.0,2.1313657264066475,0.0
2020-08-31,2020-09-30,3.562589450285735,-0.05805809773379611,2.051559400202462,-0.03744375036879943
2020-09-30,2020-10-30,3.4394864627202715,-0.09060629445985036,2.000406823349598,-0.06144365625970627
2020-10-30,2020-11-30,3.8992562128053803,0.0,2.218004945977115,0.0
2020-11-30,2020-12-31,4.189868439458847,0.0,2.3001786120307495,0.0
2020-12-31,2021-01-29,4.219440827672596,0.0,2.2767381461897065,-0.0101907155028923
2021-01-29,2021-02-26,4.27661075526791,0.0,2.3400446717110475,0.0
2021-02-26,2021-03-31,4.313178381699264,0.0,2.446280563943704,0.0
2021-03-31,2021-04-30,4.406403986362329,0.0,2.575714283836729,0.0
2021-04-30,2021-05-28,4.631647735331533,0.0,2.592626973823688,0.0
2021-05-28,2021-06-30,5.013399387478977,0.0,2.650772787440563,0.0
2021-06-30,2021-07-30,5.140938757478489,0.0,2.7154851990204296,0.0
2021-07-30,2021-08-31,5.348274698374808,0.0,2.796297058285028,0.0
2021-08-31,2021-09-30,5.082783566689495,-0.04964051898194155,2.665974878253766,-0.04660527022518435
