decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum,month,spy_return_1m,alpha_engine_return_1m,active_return_1m,period_start_reuse_count,forward_interval_reused,alpha_engine_nav_start,alpha_engine_nav,spy_nav_start,spy_nav,active_nav
33,2016-09-30,2016-09-30,2016-10-31,166,27,8,8,0.08667130079052068,0.071019123599904,7.101912359990401e-06,0.0866641988781607,0.0866570507744845,0.0866641063160154,0.0705554153093463,7.055541530934637e-06,7.14810367619112e-06,7.194474505284321e-06,0.00046370829055771,4.637082905576447e-08,1.0,2016-10,-0.0173374329320255,0.0866570507744845,0.10399448370651,1,False,145.66367657988613,158.2864611972674,122.69224046131175,120.56507197103382,131.28716186997863
34,2016-10-31,2016-10-31,2016-11-30,166,27,8,8,0.01987039654854408,0.24772350985201502,2.4772350985201504e-05,0.019845624197558878,0.019844903777949,0.0198696749767058,0.2477119875685,2.477119875685e-05,7.204196098772875e-07,7.21571838280255e-07,1.1522283515030818e-05,1.1522283515051363e-09,1.0,2016-11,0.036838708714445056,0.019844903777949,-0.016993804936496056,1,False,158.2864611972674,161.42764078907922,120.56507197103382,125.00653353851084,129.1353629443281
35,2016-11-30,2016-11-30,2016-12-30,166,27,8,8,-0.0029365585943919676,0.1434320249498587,1.4343202494985872e-05,-0.0029509017968869537,-0.002951123782181,-0.0029367807742182,0.1434300796283032,1.434300796283032e-05,2.219852940463403e-07,2.22179826232273e-07,1.9453215555076397e-06,1.9453215555133318e-10,1.0,2016-12,0.020271764821486293,-0.002951123782181,-0.023222888603667294,1,False,161.42764078907922,160.9512478392452,125.00653353851084,127.54063658755277,126.19605181973282
36,2016-12-30,2016-12-30,2017-01-31,166,27,8,8,0.03638873076829898,0.20447294532912577,2.0447294532912578e-05,0.03636828347376607,0.0363516771710471,0.0363721284951008,0.2045132405371366,2.0451324053713667e-05,1.660630271897029e-05,1.6602273198183803e-05,-4.029520801082653e-05,-4.029520801088844e-09,1.0,2017-01,0.017894571630365785,0.0363516771710471,0.018457105540681314,1,False,160.9512478392452,166.80209564097464,127.54063658755277,129.82292164475118,128.48431812173638
37,2017-01-31,2017-01-31,2017-02-28,166,27,8,8,0.0224900083015327,0.23463178691418435,2.3463178691418435e-05,0.022466545122841283,0.0224667255265626,0.0224901822472705,0.2345672070785285,2.345672070785285e-05,-1.8040372131572502e-07,-1.739457377997189e-07,6.457983565585912e-05,6.45798356558466e-09,1.0,2017-02,0.03929161413043092,0.0224667255265626,-0.01682488860386832,1,False,166.80209564097464,170.5495925409959,129.82292164475118,134.92387378730191,126.40431063360619
38,2017-02-28,2017-02-28,2017-03-31,166,27,8,8,0.009254847638907326,0.2220960390715231,2.220960390715231e-05,0.009232638035000174,0.0092403117692322,0.0092625208124112,0.2220904317900515,2.220904317900515e-05,-7.67373423202558e-06,-7.67317350387417e-06,5.607281471586845e-06,5.607281471587333e-10,0.9999999999999998,2017-03,0.0012499170143820404,0.0092403117692322,0.00799039475485016,1,False,170.5495925409959,172.1255239481902,134.92387378730191,135.092517432795,127.41307010865214
39,2017-03-31,2017-03-31,2017-04-28,166,27,8,8,0.022562025244194844,0.11806840484372674,1.1806840484372675e-05,0.02255021840371047,0.022554676016541,0.0225664729487252,0.1179693218424409,1.1796932184244094e-05,-4.4576128305287566e-06,-4.4477045303553675e-06,9.908300128584624e-05,9.908300128581019e-09,1.0,2017-04,0.009926235374316583,0.022554676016541,0.012628440642224417,1,False,172.1255239481902,176.007759375019,135.092517432795,136.4334775581419,129.00628388660127
40,2017-04-28,2017-04-28,2017-05-31,166,27,8,8,0.053536071533381996,0.1384680330699368,1.384680330699368e-05,0.053522224730075,0.0535236834645146,0.0535375286108509,0.13845146336319,1.3845146336319004e-05,-1.458734439602205e-06,-1.4570774689026678e-06,1.6569706746794033e-05,1.6569706746768798e-09,1.0,2017-05,0.014112851384642022,0.0535236834645146,0.03941083207987258,1,False,176.007759375019,185.42834297510595,136.4334775581419,138.35894295080985,134.01977423391452
41,2017-05-31,2017-05-31,2017-06-30,166,27,8,8,-0.027521571990601006,0.10042841559454685,1.0042841559454686e-05,-0.02753161483216046,-0.0275257609118565,-0.027515713706237,0.1004720561947493,1.0047205619474932e-05,-5.853920303961618e-06,-5.8582843640055116e-06,-4.364060020245475e-05,-4.3640600202457595e-09,1.0,2017-06,0.006375088067933188,-0.0275257609118565,-0.03390084897978969,1,False,185.42834297510595,180.32428674009145,138.35894295080985,139.24099339710742,129.50517109987632
42,2017-06-30,2017-06-30,2017-07-31,166,27,8,8,0.10511613998536237,0.005563934772166884,5.563934772166884e-07,0.10511558359188515,0.105113849624651,0.105114406056007,0.0055643135590327,5.5643135590327e-07,1.7339672341437629e-06,1.7339293553741975e-06,-3.7878686581609144e-07,-3.787868658158475e-11,1.0,2017-07,0.02055377070472142,0.105113849624651,0.08456007891992959,1,False,180.32428674009145,199.2788667001619,139.24099339710742,142.10292084808918,140.23558805887947
