decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum
81,2020-09-30,2020-09-30,2020-10-30,176,131,27,27,-0.03451003924142628,0.1317351745260948,1.317351745260948e-05,-0.03452321275887889,-0.0345543569595397,-0.0345411825812185,0.1317437832122763,1.3174378321227637e-05,3.1144200660811194e-05,3.1143339792219504e-05,-8.608686181521552e-06,-8.608686181563809e-10,1.0
82,2020-10-30,2020-10-30,2020-11-30,176,131,27,27,0.13365383655033453,0.12412884328214248,1.2412884328214248e-05,0.13364142366600631,0.1336739525125152,0.1336863731833178,0.1242067080268745,1.2420670802687458e-05,-3.252884650889465e-05,-3.253663298327658e-05,-7.786474473202298e-05,-7.786474473210216e-09,1.0
83,2020-11-30,2020-11-30,2020-12-31,176,131,27,27,0.07458441964230503,0.12715687302270204,1.2715687302270204e-05,0.07457170395500276,0.07453016954851,0.0745428334349917,0.1266388648165492,1.2663886481654924e-05,4.153440649276585e-05,4.1586207313329404e-05,0.0005180082061528313,5.180082061528059e-08,1.0
84,2020-12-31,2020-12-31,2021-01-29,177,132,27,27,0.007101881756989432,0.1086575073122394,1.0865750731223941e-05,0.007091016006258208,0.0070580708299207,0.0070689682878783,0.1089745795764086,1.0897457957640864e-05,3.2945176337507466e-05,3.291346911113175e-05,-0.000317072264169202,-3.170722641692212e-08,1.0
85,2021-01-29,2021-01-29,2021-02-26,177,132,27,27,0.013567615378599764,0.031112764555315246,3.1112764555315246e-06,0.013564504102144232,0.0135491715443367,0.0135522968728104,0.0312532847364604,3.1253284736460454e-06,1.533255780753265e-05,1.5318505789363793e-05,-0.00014052018114515258,-1.4052018114520772e-08,0.9999999999999999
86,2021-02-26,2021-02-26,2021-03-31,177,132,27,27,0.00857325678548219,0.14685112160910468,1.4685112160910468e-05,0.008558571673321278,0.0085506090041769,0.0085652402728377,0.1463126866085236,1.4631268660852364e-05,7.962669144377307e-06,8.016512644488938e-06,0.0005384350005810945,5.384350005810482e-08,1.0
87,2021-03-31,2021-03-31,2021-04-30,177,132,27,27,0.021644692313078372,0.14782490178426452,1.4782490178426452e-05,0.021629909822899945,0.0216141314856393,0.0216289373104466,0.1480582480726455,1.4805824807264556e-05,1.5778337260644038e-05,1.5755002631772513e-05,-0.00023334628838098115,-2.3334628838103623e-08,1.0
88,2021-04-30,2021-04-30,2021-05-28,178,132,27,27,0.05118053618494323,0.51420659840811,5.1420659840811004e-05,0.05112911552510242,0.0511173622905038,0.0511687960490576,0.5143375855386728,5.143375855386728e-05,1.1753234598621543e-05,1.1740135885632275e-05,-0.00013098713056280964,-1.3098713056278373e-08,1.0
89,2021-05-28,2021-05-28,2021-06-30,178,132,27,27,0.08240198566159951,0.050713443205685035,5.071344320568504e-06,0.08239691431727894,0.0824224280346998,0.0824274981886095,0.0507015390968957,5.070153909689571e-06,-2.5513717420863613e-05,-2.551252700999651e-05,1.190410878933873e-05,1.1904108789328742e-09,1.0
90,2021-06-30,2021-06-30,2021-07-30,178,132,27,27,0.0254454675202699,0.02036446698356902,2.036446698356902e-06,0.025443431073571544,0.0254396987237928,0.0254417377026209,0.0203897882811629,2.038978828116296e-06,3.73234977874351e-06,3.729817648998046e-06,-2.5321297593881853e-05,-2.5321297593942108e-09,1.0
