decision_id,asof,period_start,period_end,month,alpha_engine_return_1m,spy_return_1m,active_return_1m,alpha_engine_nav,spy_nav,active_nav,turnover,transaction_cost_return,number_of_positions,period_start_reuse_count,forward_interval_reused
93,2021-09-30,2021-09-30,2021-10-29,2021-10,0.0706945595117541,0.07016338337527506,0.0005311761364790446,544.2108712030192,285.3028695705537,190.7484744272574,0.12191855576432915,1.2191855576432917e-05,27,1,False
94,2021-10-29,2021-10-29,2021-11-30,2021-11,0.0378953496848197,-0.00803484610957872,0.04593019579439842,564.833932469538,283.01050491893307,199.5805536021823,0.09337434748801068,9.337434748801069e-06,27,1,False
95,2021-11-30,2021-11-30,2021-12-31,2021-12,0.0134882245877207,0.046247935580096655,-0.03275971099237596,572.4525394054526,296.0991565189145,193.3313644440878,0.04452220418142322,4.452220418142322e-06,27,1,False
96,2021-12-31,2021-12-31,2022-01-31,2022-01,-0.1151686021708687,-0.052741381529686104,-0.0624272206411826,506.52398063296255,280.4824779343322,180.59024020443522,0.09851089160940912,9.851089160940913e-06,27,1,False
97,2022-01-31,2022-01-31,2022-02-28,2022-02,0.0314294504865949,-0.02951676733848574,0.06094621782508064,522.4437510025392,272.2035418906226,191.9312832499691,0.2789070931726457,2.7890709317264574e-05,27,1,False
98,2022-02-28,2022-02-28,2022-03-31,2022-03,0.0650375648577676,0.03759015524585707,0.027447409611910528,556.4222203429023,282.4357152887633,197.00844837346943,0.4172906223892617,4.172906223892617e-05,28,1,False
99,2022-03-31,2022-03-31,2022-04-29,2022-04,-0.0405717321196184,-0.08776903262193148,0.04719730050231308,533.8472070737467,257.64660577998524,207.20133512242745,0.11537511785917925,1.1537511785917925e-05,28,1,False
100,2022-04-29,2022-04-29,2022-05-31,2022-05,0.0436905819855711,0.002257056086274245,0.04143352589929686,557.1713022421704,258.22812861966884,215.76708363278266,0.15045936471280755,1.5045936471280756e-05,28,1,False
101,2022-05-31,2022-05-31,2022-06-30,2022-06,-0.1828752672558496,-0.0824601194798662,-0.1004151477759834,455.2784514373438,236.93460628062869,192.15363200177924,0.12123212186830645,1.2123212186830646e-05,28,1,False
102,2022-06-30,2022-06-30,2022-07-29,2022-07,0.1411518864242694,0.09208723184878687,0.049064654575482536,519.541863706045,258.75325830219396,200.7865976703103,0.057764227498672494,5.77642274986725e-06,28,1,False
103,2022-07-29,2022-07-29,2022-08-31,2022-08,0.0244987210058284,-0.04080185087231036,0.06530057187813876,532.2699748758275,248.19564644422343,214.45580633721698,0.036501567821278974,3.6501567821278977e-06,28,1,False
104,2022-08-31,2022-08-31,2022-09-30,2022-09,-0.0982032709041555,-0.09244592114023042,-0.005757349763925071,479.9993223389486,225.25097128569223,213.09533965567314,0.008774909134509777,8.774909134509777e-07,28,1,False
105,2022-09-30,2022-09-30,2022-10-31,2022-10,0.1901626552419456,0.08127554063287801,0.10888711460906758,571.2772679892576,243.55836575501775,234.55456609684867,0.062308856055387836,6.230885605538784e-06,28,1,False
106,2022-10-31,2022-10-31,2022-11-30,2022-11,0.0412706531875793,0.05559159019349047,-0.014320937005911173,594.85425399039,257.09816261226695,231.37242520379166,0.021757376629766196,2.17573766297662e-06,28,1,False
107,2022-11-30,2022-11-30,2022-12-30,2022-12,-0.0555237909372651,-0.05762831673553204,0.0021045257982669346,561.8256907536849,242.2820282651239,231.8891313469158,0.14188537719788472,1.4188537719788472e-05,28,1,False
108,2022-12-30,2022-12-30,2023-01-31,2023-01,0.0779094038983753,0.06288739154288647,0.015022012355488834,605.5971954150973,257.5185130404374,235.1664694957298,0.12608016611227185,1.2608016611227187e-05,28,1,False
109,2023-01-31,2023-01-31,2023-02-28,2023-02,-0.0166607103336319,-0.02514265353436773,0.008481943200735833,595.5075159634265,251.04381428837615,237.21258285191684,0.10724934896181434,1.0724934896181435e-05,28,1,False
110,2023-02-28,2023-02-28,2023-03-31,2023-03,-0.0089707739550442,0.037077776932969986,-0.046048550888014184,590.1653526491888,260.3519608349625,226.6798186410801,0.07016523083768791,7.016523083768792e-06,28,1,False
