sample,entry_signal_date,current_new_positions,candidate_positive_positions,positive_fraction,observations,current_effective_n,candidate_effective_n,gross_entry_weight,minimum_variance,current_variance,candidate_variance,risk_ratio,current_alpha_daily,candidate_alpha_daily,alpha_uplift_daily
FINAL_HOLDOUT,2026-02-03,5,3,0.6,120,4.624095848426106,2.7281192300914663,0.0368835164445944,1.9188101374567578e-07,4.93057388271196e-07,4.930573882712032e-07,1.0000000000000147,3.287225862642225e-06,3.543879869685579e-06,2.5665400704335383e-07
FINAL_HOLDOUT,2026-02-18,5,5,1.0,120,4.326236785716155,4.014389572181508,0.0437780495884135,2.044565905110779e-07,2.2563432865663436e-07,2.2563432865679622e-07,1.0000000000007174,4.90462912876698e-06,5.0071893378613595e-06,1.0256020909437943e-07
FINAL_HOLDOUT,2026-04-13,5,3,0.6,120,4.444190574047147,1.8871105054577428,0.05027300720338249,5.443176376172871e-07,8.508127412767673e-07,8.508127412768076e-07,1.0000000000000475,6.169853617926408e-06,7.260977972850456e-06,1.0911243549240482e-06
FINAL_HOLDOUT,2026-04-27,5,5,1.0,120,4.504486004439345,3.4365179767547014,0.0644410592517802,8.326279920583741e-07,1.946348894531244e-06,1.94634889453299e-06,1.000000000000897,9.419434024038656e-06,9.825339060945117e-06,4.0590503690646147e-07
FINAL_HOLDOUT,2026-05-04,5,3,0.6,120,4.668558939121209,2.08566959783448,0.0631699239160735,3.1704714098149027e-07,5.074588053257968e-07,5.074588053258798e-07,1.0000000000001636,8.714098632701634e-06,1.0134163102532346e-05,1.4200644698307122e-06
FINAL_HOLDOUT,2026-05-19,5,3,0.6,120,4.697304042237193,2.2854256253089673,0.0309441243648221,1.385099453667728e-07,2.9048567840451445e-07,2.9048567840505824e-07,1.000000000001872,2.121559525990418e-06,2.468141624890955e-06,3.465820989005369e-07
FINAL_HOLDOUT,2026-05-21,5,4,0.8,120,4.190668152186972,2.5812233209234208,0.0457338793289895,3.8465192551034655e-07,6.191385737774653e-07,6.191385737775062e-07,1.0000000000000662,5.38396531449359e-06,6.141204629923745e-06,7.572393154301552e-07
FINAL_HOLDOUT,2026-07-29,5,3,0.6,120,4.720947156561256,1.6890584487087652,0.0915149025827611,1.3617445587808108e-05,1.3959087584660993e-05,1.3959087584674573e-05,1.0000000000009728,1.9880412881026507e-05,2.371855313141937e-05,3.838140250392862e-06
PRE2025_OOF,2019-01-02,43,8,0.18604651162790697,120,31.35821670720642,5.337836473864511,0.8761270983295784,4.434384911800628e-05,0.00014712746948837183,0.00014712746948838723,1.0000000000001046,0.00032318951408459595,0.0004940710004697524,0.00017088148638515644
PRE2025_OOF,2019-01-03,5,4,0.8,120,4.135063665368378,3.5857613711317007,0.10974264228771602,1.6344719244575666e-06,1.7254853993685943e-06,1.725485399369238e-06,1.000000000000373,2.6134816922708324e-05,2.7869422163780977e-05,1.7346052410726536e-06
PRE2025_OOF,2019-01-15,5,3,0.6,120,2.388663099610216,1.3338144254364546,0.0575995909598664,2.282829635364249e-07,2.4895759050390156e-07,2.489575905048139e-07,1.0000000000036646,7.408558073531918e-06,8.151554842341478e-06,7.429967688095607e-07
