metric,sample,scope,quintile,lifecycles,signal_dates,mean_exante_metric,mean_target_weight,mean_holding_sessions,exposure_nav_days,net_pnl_nav_units,net_active_pnl_nav_units,daily_net_on_exposure,daily_net_active_on_exposure,positive_pnl_rate,positive_active_rate
EXPECTED_ALPHA,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,3,156,156,0.003115462917912507,0.00799768322710328,11.166666666666666,52.652708586457294,0.05055031483592369,-0.1094297129883238,0.0009600705489427688,-0.0020783301738150277,0.48717948717948717,0.4423076923076923
EXPECTED_ALPHA,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,4,119,119,0.004022902106931538,0.010099379965776053,11.294117647058824,31.62513211117096,0.09698644967697842,0.02470643284720267,0.003066752396038841,0.0007812278146492107,0.6638655462184874,0.5882352941176471
EXPECTED_ALPHA,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,5,338,338,0.005446040585812015,0.013640921113516995,17.606508875739646,173.43923341282385,0.19833377420315929,-0.3555888225200996,0.0011435346564930952,-0.0020502213687356385,0.5976331360946746,0.5295857988165681
EXPECTED_ALPHA,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,1,156,123,0.0024456948632107763,0.010512116371042535,13.897435897435898,72.30617928559988,0.11399040068792927,-0.01843440663682693,0.0015764959760587295,-0.0002549492563286113,0.5833333333333334,0.4551282051282051
EXPECTED_ALPHA,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,2,170,123,0.0031806046251161594,0.014606619225667389,22.376470588235293,254.69479141849132,0.3947403928138105,0.1270197717845618,0.0015498565581783296,0.0004987136606804591,0.5882352941176471,0.4588235294117647
EXPECTED_ALPHA,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,3,177,123,0.004114162949563108,0.01572479553347989,35.50847457627118,426.3906887326626,0.5851012376950482,0.15548060844007824,0.0013722186087930582,0.0003646435359604231,0.5649717514124294,0.4858757062146893
EXPECTED_ALPHA,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,4,170,123,0.0053429207567177684,0.017867681769086347,33.476470588235294,398.533159462476,0.47538720360366676,0.012451396966570612,0.0011928422825464463,3.124306389803174e-05,0.5588235294117647,0.5176470588235295
EXPECTED_ALPHA,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,5,224,123,0.0073785873018400805,0.021477998397872417,53.651785714285715,768.7277914843232,1.1791870669259887,0.42013810719514466,0.0015339461900409725,0.0005465369040241244,0.6383928571428571,0.4955357142857143
EXPECTED_ALPHA,PRE2025_OOF,SPARSE_ENTRY_DATE,2,282,282,0.002452706080701671,0.009407333441194437,10.109929078014185,172.67086293149663,0.08481003439511628,-0.08625948891804948,0.0004911658687242606,-0.0004995601889837722,0.49645390070921985,0.4716312056737589
EXPECTED_ALPHA,PRE2025_OOF,SPARSE_ENTRY_DATE,3,425,425,0.002730166403146805,0.00913919215707065,14.950588235294118,341.7288392577153,0.4913794352115636,0.13338563827532368,0.0014379220562095699,0.0003903259630210218,0.5788235294117647,0.5552941176470588
