program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker
SAP SE-SPONSORED ADR,6:1,6,1,8209,SAP,SAP
SCHLUMBERGER LTD,3:1,3,1,8157,SLB,SLB
SEA LTD.,32:1,32,1,8560,SE,SE
SHAPEWAYS HOLDINGS INC,1:2,1,2,8599,SHPWQ,SHPWQ
SHELL PLC,2:1,2,1,8255,SHEL,SHEL
SHOPIFY INC - CLASS A,107:1,107,1,8546,SHOP,SHOP
SIEMENS AG-SPONS ADR,3:1,3,1,8256,SIEGY,SIEGY
SKYWORKS SOLUTIONS INC.,21:1,21,1,8645,SWKS,SWKS
SNAP INC - A,1:1,1,1,8488,SNAP,SNAP
SNAP-ON INC,6:1,6,1,8160,SNA,SNA
SNOWFLAKE INC-CLASS A,30:1,30,1,8548,SNOW,SNOW
SONY CORP-SPONSORED ADR,8:1,8,1,8294,SONY,SONY
SOUTHERN COPPER CORP,2:1,2,1,8435,SCCO,SCCO
SPOTIFY TECHNOLOGY SA,28:1,28,1,8547,SPOT,SPOT
S&P GLOBAL INC,45:1,45,1,8563,SPGI,SPGI
STARBUCKS CORP,12:1,12,1,8154,SBUX,SBUX
STELLANTIS NV,5:1,5,1,8638,STLA,STLA
STONECO LTD,3:1,3,1,8628,STNE,STNE
SUNCAR TECHNOLOGY GROUP INC,2:1,2,1,8629,SDA,SDA
SUZANO SA - SPON ADR,1:1,1,1,8518,SUZ,SUZ
SYSCO CORP,8:1,8,1,8165,SYY,SYY
T-MOBILE US INC.,33:1,33,1,8640,TMUS,TMUS
TAIWAN SEMICONDUCTOR-SP ADR,9:1,9,1,8297,TSM,TSM
TARGET CORP,24:1,24,1,8493,TGT,TGT
TATNEFT PAO-SPONSORED ADR,4:1,4,1,8374,ATAD,OAOFY
TECHNOLOGY SELECT SECTOR SPDR FUND/THE,46:1,46,1,8671,XLK,XLK
TELECOM ITALIA SPA-SPON ADR,1:1,1,1,8211,TIIAY,TIIAY
TELEFONICA BRASIL-ADR,1:1,1,1,8503,VIV,VIV
TELEFONICA SA-SPON ADR,8:1,8,1,8062,TEFO,TEF
TENARIS SA-ADR,1:1,1,1,8524,TEN,TS
TERNIUM SA-SPONSORED ADR,4:1,4,1,8432,TXR,TX
TESLA INC,15:1,15,1,8479,TSLA,TSLA
TEXAS INSTRUMENTS INC,5:1,5,1,8168,TXN,TXN
THERMO FISHER SCIENTIFIC INC,22:1,22,1,8476,TMO,TMO
TIM SA-ADR,1:1,1,1,8521,TSU,TIMB
TJX COMPANIES INC./THE,22:1,22,1,8654,TJX,TJX
TOTALENERGIES SE - ADR,3:1,3,1,8213,TTE,TTE
TOYOTA MOTOR CORP -SPON ADR,15:1,15,1,8214,TM,TM
TRAVELERS COS INC/THE,6:1,6,1,8437,TRV,TRV
TRIP.COM GROUP LTD-ADR,2:1,2,1,8507,TCOM,TCOM
TRIPADVISOR INC,2:1,2,1,8483,TRIP,TRIP
TWILIO INC,36:1,36,1,8561,TWLO,TWLO
ULTRAPAR PARTICPAC-SPON ADR,1:1,1,1,8516,UGP,UGP
UNILEVER N V -NY SHARES,3:1,3,1,8215,UL,UL
UNION PACIFIC CORP,20:1,20,1,8540,UNP,UNP
UNITED STATES STEEL CORP,3:1,3,1,8433,X,X
UNITEDHEALTH GROUP INC,33:1,33,1,8541,UNH,UNH
URBAN OUTFITTERS INC,2:1,2,1,8485,URBN,URBN
US BANCORP,5:1,5,1,8287,USB,USB
VALE SA-SP ADR,2:1,2,1,8358,VALE,VALE
VANGUARD FTSE DEVELOPED MARKETS ETF,10:1,10,1,8664,VEA,VEA
VERISIGN INC,6:1,6,1,8489,VRSN,VRSN
VERIZON COMMUNICATIONS INC,4:1,4,1,8288,VZ,VZ
VIRGIN GALACTIC HOLDINGS INC.,1:2,1,2,8641,SPCE,SPCE
VISA INC-CLASS A SHARES,18:1,18,1,8495,V,V
VISTA ENERGY S.A.B. de C.V,3:1,3,1,8527,VIST,VIST
VODAFONE GROUP PLC-SP ADR,1:1,1,1,8064,VOD,VOD
WALGREENS BOOTS ALLIANCE INC,3:1,3,1,8542,WBA,WBA
WALMART INC,18:1,18,1,8044,WMT,WMT
WALT DISNEY CO/THE,12:1,12,1,8017,DISN,DIS
WEIBO CORP-SPON ADR,6:1,6,1,8513,WBO,WB
WELLS FARGO & CO,5:1,5,1,8047,WFC,WFC
XEROX HOLDINGS CORP,1:1,1,1,8490,XRX,XRX
XP INC,4:1,4,1,8567,XP,XP
YANKUANG ENERGY GROUP CO. LTD.,2:1,2,1,8397,YZCA,YZCAY
YELP INC,2:1,2,1,8491,YELP,YELP
"ZOOM COMMUNICATIONS, INC",47:1,47,1,8543,ZM,ZM
