date,segment,v13_ideal_nav,byma_model_nav,personal_portfolio_nav,v13_ideal_index_100,byma_model_index_100,v13_ideal_value_usd,byma_model_value_usd
2023-04-12,PRE2025,3.0673672356,2.7041658247,,306.7367235585,270.4165824657,3067.3672355854,2704.1658246566
2023-04-13,PRE2025,3.0978511293,2.7258540588,,309.7851129287,272.5854058766,3097.8511292874,2725.8540587661
2023-04-14,PRE2025,3.0908028238,2.7219793774,,309.0802823826,272.1979377393,3090.8028238259,2721.9793773930
2023-04-17,PRE2025,3.1066021365,2.7426056432,,310.6602136458,274.2605643162,3106.6021364581,2742.6056431621
2023-04-18,PRE2025,3.1141910988,2.7533026536,,311.4191098839,275.3302653622,3114.1910988385,2753.3026536221
2023-04-19,PRE2025,3.0722097787,2.7050735011,,307.2209778689,270.5073501070,3072.2097786894,2705.0735010699
2023-04-20,PRE2025,3.0711119435,2.7181698609,,307.1111943460,271.8169860889,3071.1119434599,2718.1698608887
2023-04-21,PRE2025,3.0552483831,2.6970087087,,305.5248383103,269.7008708684,3055.2483831030,2697.0087086839
2023-04-24,PRE2025,3.0637246428,2.7044987173,,306.3724642823,270.4498717265,3063.7246428228,2704.4987172651
2023-04-25,PRE2025,2.9903120767,2.6480024874,,299.0312076715,264.8002487400,2990.3120767147,2648.0024873996
2023-04-26,PRE2025,3.0065972168,2.6284752874,,300.6597216756,262.8475287443,3006.5972167560,2628.4752874432
2023-04-27,PRE2025,3.0387557362,2.6570286998,,303.8755736227,265.7028699793,3038.7557362273,2657.0286997934
2023-04-28,PRE2025,3.0748389588,2.6877327741,,307.4838958795,268.7732774103,3074.8389587952,2687.7327741025
2023-05-01,PRE2025,3.0777381000,2.6810773920,,307.7738099986,268.1077392036,3077.7380999859,2681.0773920359
2023-05-02,PRE2025,3.0115213571,2.6377746727,,301.1521357114,263.7774672700,3011.5213571141,2637.7746727005
2023-05-03,PRE2025,2.9898880074,2.6271881507,,298.9888007413,262.7188150654,2989.8880074130,2627.1881506541
2023-05-04,PRE2025,2.9529178115,2.5878618713,,295.2917811511,258.7861871326,2952.9178115108,2587.8618713257
2023-05-05,PRE2025,3.0089358326,2.6485264596,,300.8935832581,264.8526459581,3008.9358325809,2648.5264595807
2023-05-08,PRE2025,3.0289891177,2.6691945970,,302.8989117740,266.9194596960,3028.9891177396,2669.1945969605
2023-05-09,PRE2025,3.0242300445,2.6705392764,,302.4230044534,267.0539276424,3024.2300445338,2670.5392764241
2023-05-10,PRE2025,3.0389234965,2.6694658661,,303.8923496454,266.9465866073,3038.9234964539,2669.4658660727
2023-05-11,PRE2025,3.0260705527,2.6622904516,,302.6070552666,266.2290451650,3026.0705526661,2662.2904516499
2023-05-12,PRE2025,3.0316564214,2.6696935558,,303.1656421448,266.9693555775,3031.6564214484,2669.6935557753
2023-05-15,PRE2025,3.0658593695,2.6936010428,,306.5859369545,269.3601042806,3065.8593695449,2693.6010428061
2023-05-16,PRE2025,3.0281569345,2.6540116078,,302.8156934502,265.4011607789,3028.1569345021,2654.0116077886
2023-05-17,PRE2025,3.0899523465,2.7045835552,,308.9952346543,270.4583555223,3089.9523465432,2704.5835552227
2023-05-18,PRE2025,3.1477564720,2.7304442460,,314.7756472005,273.0444246019,3147.7564720053,2730.4442460190
2023-05-19,PRE2025,3.1448820204,2.7354691919,,314.4882020402,273.5469191857,3144.8820204017,2735.4691918567
2023-05-22,PRE2025,3.1551656429,2.7392886764,,315.5165642906,273.9288676444,3155.1656429060,2739.2886764440
2023-05-23,PRE2025,3.1182431832,2.7206683606,,311.8243183165,272.0668360560,3118.2431831648,2720.6683605604
2023-05-24,PRE2025,3.1155815494,2.7269410377,,311.5581549426,272.6941037715,3115.5815494262,2726.9410377155
2023-05-25,PRE2025,3.1780806694,2.7777654475,,317.8080669391,277.7765447521,3178.0806693908,2777.7654475214
2023-05-26,PRE2025,3.2454965849,2.8418217563,,324.5496584945,284.1821756333,3245.4965849455,2841.8217563330
2023-05-30,PRE2025,3.2223715846,2.8222683114,,322.2371584630,282.2268311398,3222.3715846300,2822.2683113982
2023-05-31,PRE2025,3.1928442169,2.7994583020,,319.2844216857,279.9458301984,3192.8442168572,2799.4583019837
2023-06-01,PRE2025,3.2424761778,2.8575761971,,324.2476177818,285.7576197135,3242.4761778184,2857.5761971348
2023-06-02,PRE2025,3.3116450856,2.9133930416,,331.1645085612,291.3393041561,3311.6450856117,2913.3930415614
2023-06-05,PRE2025,3.3259595695,2.9283740071,,332.5959569477,292.8374007107,3325.9595694773,2928.3740071067
2023-06-06,PRE2025,3.3492360398,2.9481936474,,334.9236039798,294.8193647417,3349.2360397977,2948.1936474169
2023-06-07,PRE2025,3.3503066702,2.9435635502,,335.0306670227,294.3563550198,3350.3066702266,2943.5635501976
2023-06-08,PRE2025,3.3697757924,2.9637588801,,336.9775792432,296.3758880128,3369.7757924316,2963.7588801278
2023-06-09,PRE2025,3.3698181043,2.9634691457,,336.9818104339,296.3469145698,3369.8181043391,2963.4691456978
2023-06-12,PRE2025,3.3924858193,2.9748345915,,339.2485819255,297.4834591505,3392.4858192552,2974.8345915051
2023-06-13,PRE2025,3.4279838134,3.0037276144,,342.7983813388,300.3727614446,3427.9838133883,3003.7276144465
2023-06-14,PRE2025,3.4293087393,3.0160762934,,342.9308739257,301.6076293413,3429.3087392572,3016.0762934129
2023-06-15,PRE2025,3.4688788792,3.0613333311,,346.8878879238,306.1333331078,3468.8788792380,3061.3333310782
2023-06-16,PRE2025,3.4690359507,3.0750333609,,346.9035950749,307.5033360894,3469.0359507494,3075.0333608937
2023-06-20,PRE2025,3.4437732047,3.0660023254,,344.3773204672,306.6002325404,3443.7732046716,3066.0023254044
2023-06-21,PRE2025,3.4475672619,3.0739498082,,344.7567261919,307.3949808178,3447.5672619186,3073.9498081775
2023-06-22,PRE2025,3.4320417139,3.0504098800,,343.2041713856,305.0409880045,3432.0417138560,3050.4098800448
2023-06-23,PRE2025,3.4068944718,3.0230958544,,340.6894471820,302.3095854433,3406.8944718203,3023.0958544331
2023-06-26,PRE2025,3.4358354947,3.0479597226,,343.5835494748,304.7959722617,3435.8354947480,3047.9597226169
2023-06-27,PRE2025,3.4669989412,3.0667988882,,346.6998941244,306.6798888155,3466.9989412436,3066.7988881552
2023-06-28,PRE2025,3.4669842870,3.0502009528,,346.6984286994,305.0200952825,3466.9842869938,3050.2009528248
2023-06-29,PRE2025,3.4900272238,3.0663493428,,349.0027223817,306.6349342793,3490.0272238169,3066.3493427931
2023-06-30,PRE2025,3.5194059794,3.0845516574,,351.9405979391,308.4551657439,3519.4059793908,3084.5516574394
2023-07-03,PRE2025,3.5374909249,3.1073850737,,353.7490924933,310.7385073681,3537.4909249331,3107.3850736811
2023-07-05,PRE2025,3.5052466460,3.0854493583,,350.5246645994,308.5449358306,3505.2466459942,3085.4493583062
2023-07-06,PRE2025,3.4400052161,3.0219854025,,344.0005216067,302.1985402478,3440.0052160671,3021.9854024783
2023-07-07,PRE2025,3.4761172618,3.0615103859,,347.6117261788,306.1510385930,3476.1172617878,3061.5103859303
2023-07-10,PRE2025,3.5148306970,3.1045120009,,351.4830697022,310.4512000855,3514.8306970218,3104.5120008554
2023-07-11,PRE2025,3.5572450490,3.1453618192,,355.7245049048,314.5361819177,3557.2450490475,3145.3618191774
2023-07-12,PRE2025,3.5867194677,3.1765094769,,358.6719467691,317.6509476858,3586.7194676910,3176.5094768582
2023-07-13,PRE2025,3.6408074598,3.2345617895,,364.0807459752,323.4561789531,3640.8074597515,3234.5617895314
2023-07-14,PRE2025,3.5871486409,3.1741753370,,358.7148640945,317.4175337033,3587.1486409447,3174.1753370333
2023-07-17,PRE2025,3.6418840608,3.2287136589,,364.1884060751,322.8713658929,3641.8840607507,3228.7136589286
2023-07-18,PRE2025,3.6839946899,3.2629318184,,368.3994689862,326.2931818351,3683.9946898617,3262.9318183512
2023-07-19,PRE2025,3.6689764094,3.2453689524,,366.8976409395,324.5368952430,3668.9764093954,3245.3689524298
2023-07-20,PRE2025,3.6216258744,3.1953840595,,362.1625874402,319.5384059457,3621.6258744022,3195.3840594567
2023-07-21,PRE2025,3.6438348924,3.2153128129,,364.3834892384,321.5312812930,3643.8348923836,3215.3128129304
2023-07-24,PRE2025,3.6579494149,3.2252254205,,365.7949414897,322.5225420508,3657.9494148971,3225.2254205081
2023-07-25,PRE2025,3.6895708622,3.2522313984,,368.9570862248,325.2231398397,3689.5708622479,3252.2313983968
2023-07-26,PRE2025,3.6796863024,3.2513482878,,367.9686302422,325.1348287831,3679.6863024224,3251.3482878310
2023-07-27,PRE2025,3.6171095469,3.2067127440,,361.7109546905,320.6712743955,3617.1095469046,3206.7127439546
2023-07-28,PRE2025,3.6705589955,3.2481400720,,367.0558995483,324.8140072033,3670.5589954829,3248.1400720331
2023-07-31,PRE2025,3.7103426638,3.2719233202,,371.0342663837,327.1923320250,3710.3426638372,3271.9233202496
2023-08-01,PRE2025,3.7136713820,3.2484334724,,371.3671381991,324.8433472371,3713.6713819905,3248.4334723711
2023-08-02,PRE2025,3.6299030331,3.1773920049,,362.9903033138,317.7392004906,3629.9030331380,3177.3920049057
2023-08-03,PRE2025,3.6249568371,3.1658570770,,362.4956837059,316.5857076957,3624.9568370591,3165.8570769574
2023-08-04,PRE2025,3.5748086327,3.1408185954,,357.4808632701,314.0818595368,3574.8086327009,3140.8185953683
2023-08-07,PRE2025,3.5981360639,3.1622618615,,359.8136063865,316.2261861546,3598.1360638652,3162.2618615455
2023-08-08,PRE2025,3.5836841696,3.1675919863,,358.3684169646,316.7591986283,3583.6841696459,3167.5919862827
2023-08-09,PRE2025,3.5593487030,3.1389616527,,355.9348703028,313.8961652657,3559.3487030283,3138.9616526575
2023-08-10,PRE2025,3.5628447732,3.1454535624,,356.2844773233,314.5453562449,3562.8447732328,3145.4535624487
2023-08-11,PRE2025,3.5528077336,3.1415465770,,355.2807733624,314.1546577006,3552.8077336238,3141.5465770064
2023-08-14,PRE2025,3.5790637483,3.1477413019,,357.9063748316,314.7741301902,3579.0637483156,3147.7413019022
2023-08-15,PRE2025,3.5435947815,3.1167943552,,354.3594781534,311.6794355227,3543.5947815339,3116.7943552268
2023-08-16,PRE2025,3.5202827409,3.1087850912,,352.0282740871,310.8785091202,3520.2827408709,3108.7850912024
2023-08-17,PRE2025,3.4803733498,3.0718285822,,348.0373349778,307.1828582219,3480.3733497781,3071.8285822187
2023-08-18,PRE2025,3.4979690688,3.0945053421,,349.7969068770,309.4505342134,3497.9690687696,3094.5053421345
2023-08-21,PRE2025,3.5492691061,3.1426673541,,354.9269106089,314.2667354147,3549.2691060892,3142.6673541470
2023-08-22,PRE2025,3.5589305297,3.1532975416,,355.8930529665,315.3297541593,3558.9305296655,3153.2975415934
2023-08-23,PRE2025,3.6226749305,3.2196698078,,362.2674930511,321.9669807795,3622.6749305113,3219.6698077945
2023-08-24,PRE2025,3.5379478564,3.1482808217,,353.7947856415,314.8280821743,3537.9478564148,3148.2808217427
2023-08-25,PRE2025,3.5697785710,3.1608155056,,356.9778571020,316.0815505624,3569.7785710205,3160.8155056242
2023-08-28,PRE2025,3.6034280306,3.2070199315,,360.3428030645,320.7019931513,3603.4280306448,3207.0199315128
2023-08-29,PRE2025,3.6632789925,3.2522628259,,366.3278992487,325.2262825851,3663.2789924866,3252.2628258505
2023-08-30,PRE2025,3.6790998835,3.2597590137,,367.9099883497,325.9759013746,3679.0998834975,3259.7590137462
2023-08-31,PRE2025,3.6799043606,3.2531201971,,367.9904360629,325.3120197129,3679.9043606294,3253.1201971295
2023-09-01,PRE2025,3.6930312559,3.2556988228,,369.3031255883,325.5698822780,3693.0312558834,3255.6988227803
2023-09-05,PRE2025,3.6782437895,3.2221186934,,367.8243789506,322.2118693362,3678.2437895056,3222.1186933625
2023-09-06,PRE2025,3.6633576409,3.2047881244,,366.3357640916,320.4788124414,3663.3576409162,3204.7881244139
2023-09-07,PRE2025,3.6279570930,3.1644965465,,362.7957092981,316.4496546508,3627.9570929811,3164.4965465084
2023-09-08,PRE2025,3.6223123614,3.1495810242,,362.2312361386,314.9581024197,3622.3123613861,3149.5810241972
2023-09-11,PRE2025,3.6272030795,3.1526014655,,362.7203079494,315.2601465454,3627.2030794941,3152.6014654539
2023-09-12,PRE2025,3.6045082708,3.1481365243,,360.4508270760,314.8136524287,3604.5082707603,3148.1365242873
2023-09-13,PRE2025,3.6041102853,3.1592613206,,360.4110285349,315.9261320620,3604.1102853492,3159.2613206199
2023-09-14,PRE2025,3.6441038072,3.2091820606,,364.4103807227,320.9182060645,3644.1038072269,3209.1820606446
2023-09-15,PRE2025,3.5773409783,3.1616736104,,357.7340978276,316.1673610447,3577.3409782759,3161.6736104474
2023-09-18,PRE2025,3.5923147308,3.1829965901,,359.2314730771,318.2996590086,3592.3147307710,3182.9965900863
2023-09-19,PRE2025,3.5749290967,3.1598451046,,357.4929096740,315.9845104634,3574.9290967401,3159.8451046341
2023-09-20,PRE2025,3.5505948775,3.1423766865,,355.0594877548,314.2376686524,3550.5948775480,3142.3766865242
2023-09-21,PRE2025,3.4836944039,3.0935132087,,348.3694403908,309.3513208745,3483.6944039078,3093.5132087449
